Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CAJA RURAL CB ZAMORA,2,0,T. Roberts,20:07,16,1,7,14.3,2,7,28.6,3,14,21.4,8,11,72.7,2,0,2,2,2,2,0,0,0,2,8,-7,12,2813978,https://imagenes.feb.es/foto.aspx?c=2813978,1207
CAJA RURAL CB ZAMORA,3,1,C. Rogers,33:11,28,5,6,83.3,6,13,46.2,11,19,57.9,0,1,0.0,1,4,5,1,3,4,0,0,0,4,2,10,24,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1991
CAJA RURAL CB ZAMORA,4,0,J. Round,13:39,5,1,1,100.0,1,4,25.0,2,5,40.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1,0,0,3,2335424,https://imagenes.feb.es/foto.aspx?c=2335424,819
CAJA RURAL CB ZAMORA,9,0,J. Peris Crespo,06:47,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,1,1,0,2,1,0,0,0,4,1,-7,-3,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,407
CAJA RURAL CB ZAMORA,13,1,A. Martinez Clariana,27:35,12,5,9,55.6,0,0,0.0,5,9,55.6,2,4,50.0,3,7,10,1,1,0,0,0,0,1,2,6,17,1890908,https://imagenes.feb.es/foto.aspx?c=1890908,1655
CAJA RURAL CB ZAMORA,14,0,D. Kristensen,05:35,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,-9,1,2819218,https://imagenes.feb.es/foto.aspx?c=2819218,335
CAJA RURAL CB ZAMORA,15,1,O. Lo       ,26:39,7,3,7,42.9,0,0,0.0,3,7,42.9,1,1,100.0,2,4,6,1,0,1,0,0,0,1,2,-1,12,2432888,https://imagenes.feb.es/foto.aspx?c=2432888,1599
CAJA RURAL CB ZAMORA,17,1,T. Naspler Peraire,26:05,10,4,5,80.0,0,0,0.0,4,5,80.0,2,2,100.0,3,2,5,7,2,2,0,0,0,3,1,10,19,1947677,https://imagenes.feb.es/foto.aspx?c=1947677,1565
CAJA RURAL CB ZAMORA,21,1,J. Van Zegeren,22:51,8,3,8,37.5,0,0,0.0,3,8,37.5,2,3,66.7,3,1,4,1,2,0,2,0,1,4,2,23,5,2335179,https://imagenes.feb.es/foto.aspx?c=2335179,1371
CAJA RURAL CB ZAMORA,34,0,S. Thrastarson,25:10,14,3,7,42.9,2,3,66.7,5,10,50.0,2,4,50.0,2,1,3,1,1,2,0,1,0,0,5,-3,17,2814245,https://imagenes.feb.es/foto.aspx?c=2814245,1510
CAJA RURAL CB ZAMORA,55,0,J. Paukstè,17:21,2,0,1,0.0,0,0,0.0,0,1,0.0,2,4,50.0,3,4,7,0,1,0,0,0,0,1,2,-12,6,2334629,https://imagenes.feb.es/foto.aspx?c=2334629,1041
CAJA RURAL CB ZAMORA,80,0,P. Montesdeoca Santana,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087017,https://imagenes.feb.es/foto.aspx?c=2087017,0
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,26:22,15,3,6,50.0,2,7,28.6,5,13,38.5,3,4,75.0,2,5,7,4,3,1,0,0,0,5,3,-5,13,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1582
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,10:52,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,2,3,1,0,0,0,0,3,0,-1,3,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,652
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,32:01,7,0,2,0.0,2,7,28.6,2,9,22.2,1,2,50.0,0,2,2,4,3,0,0,1,0,5,4,12,1,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1921
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,19:16,5,1,1,100.0,0,2,0.0,1,3,33.3,3,6,50.0,0,2,2,3,1,1,0,0,0,4,7,1,8,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1156
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,0
ALIMERKA OVIEDO BALONCESTO,14,0,D. Shelist,13:39,10,2,2,100.0,2,3,66.7,4,5,80.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,-1,9,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,819
ALIMERKA OVIEDO BALONCESTO,24,0,C. Hermanson,19:04,10,2,5,40.0,2,6,33.3,4,11,36.4,0,0,0.0,2,0,2,1,0,0,0,1,0,1,0,-10,5,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,1144
ALIMERKA OVIEDO BALONCESTO,35,1,F. Nwaokorie,37:00,12,2,2,100.0,2,10,20.0,4,12,33.3,2,4,50.0,3,5,8,2,1,1,1,0,2,2,4,-1,15,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,2220
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,28:07,11,1,2,50.0,3,4,75.0,4,6,66.7,0,0,0.0,5,3,8,2,1,0,0,0,0,2,1,-4,17,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1687
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,0
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,38:39,30,5,8,62.5,6,10,60.0,11,18,61.1,2,2,100.0,2,7,9,1,4,4,0,0,0,4,2,-1,31,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,2319
