Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MELILLA CIUDAD DEL DEPORTE,0,0,J. Godspower Johnson,07:08,3,0,0,0.0,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,0,0,1,0,-11,1,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,428
MELILLA CIUDAD DEL DEPORTE,1,1,D. Poirier,23:58,12,3,6,50.0,2,4,50.0,5,10,50.0,0,0,0.0,0,5,5,1,7,0,2,0,1,3,0,-11,5,2451278,https://imagenes.feb.es/foto.aspx?c=2451278,1438
MELILLA CIUDAD DEL DEPORTE,4,0,S. Peno,14:01,2,0,1,0.0,0,0,0.0,0,1,0.0,2,2,100.0,0,0,0,1,3,0,0,0,0,2,2,-26,-1,2814862,https://imagenes.feb.es/foto.aspx?c=2814862,841
MELILLA CIUDAD DEL DEPORTE,5,1,M. Heron,29:25,8,2,6,33.3,0,3,0.0,2,9,22.2,4,4,100.0,0,3,3,1,5,0,0,0,0,1,4,-21,3,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,1765
MELILLA CIUDAD DEL DEPORTE,7,1,P. Cordoba Muro,16:29,5,2,2,100.0,0,1,0.0,2,3,66.7,1,1,100.0,0,4,4,1,0,2,0,0,0,2,4,-13,13,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,989
MELILLA CIUDAD DEL DEPORTE,12,0,P. Krutous,14:57,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,3,0,0,0,0,0,0,0,-4,5,2734873,https://imagenes.feb.es/foto.aspx?c=2734873,897
MELILLA CIUDAD DEL DEPORTE,21,0,L. Debaut,16:02,9,3,4,75.0,0,1,0.0,3,5,60.0,3,4,75.0,2,4,6,0,2,1,0,0,1,2,3,-19,12,2647156,https://imagenes.feb.es/foto.aspx?c=2647156,962
MELILLA CIUDAD DEL DEPORTE,22,1,C. Diaz Rodriguez,22:39,6,1,2,50.0,0,1,0.0,1,3,33.3,4,4,100.0,0,2,2,1,0,0,0,0,0,2,6,2,11,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1359
MELILLA CIUDAD DEL DEPORTE,23,1,R. Stumbris,24:48,8,2,2,100.0,1,3,33.3,3,5,60.0,1,2,50.0,1,4,5,2,0,2,1,0,0,3,1,-3,13,2739848,https://imagenes.feb.es/foto.aspx?c=2739848,1488
MELILLA CIUDAD DEL DEPORTE,33,0,M. Stilma,12:36,7,0,2,0.0,2,4,50.0,2,6,33.3,1,2,50.0,0,1,1,0,3,0,0,0,0,2,1,-15,-1,2734242,https://imagenes.feb.es/foto.aspx?c=2734242,756
