Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HLA ALICANTE,3,0,U. Mendicote Rubio,04:14,1,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,0,0,0,0,0,0,0,2,6,3,1869378,https://imagenes.feb.es/foto.aspx?c=1869378,254
HLA ALICANTE,4,0,S. Ceccardi,13:39,5,2,2,100.0,0,1,0.0,2,3,66.7,1,1,100.0,0,2,2,6,2,0,0,0,0,1,3,9,12,2787126,https://imagenes.feb.es/foto.aspx?c=2787126,819
HLA ALICANTE,8,0,J. Mwema,17:57,6,0,0,0.0,2,3,66.7,2,3,66.7,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,-5,7,2734619,https://imagenes.feb.es/foto.aspx?c=2734619,1077
HLA ALICANTE,12,0,B. Coulibaly,17:33,10,3,4,75.0,0,0,0.0,3,4,75.0,4,6,66.7,0,4,4,0,0,1,1,0,2,1,3,-8,15,2818653,https://imagenes.feb.es/foto.aspx?c=2818653,1053
HLA ALICANTE,13,1,K. Larsen,19:10,13,2,2,100.0,3,5,60.0,5,7,71.4,0,0,0.0,0,7,7,3,0,1,0,0,0,1,0,24,21,2433482,https://imagenes.feb.es/foto.aspx?c=2433482,1150
HLA ALICANTE,14,0,I. Tamba Villen,11:55,0,0,2,0.0,0,2,0.0,0,4,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,-1,-3,1997161,https://imagenes.feb.es/foto.aspx?c=1997161,715
HLA ALICANTE,15,1,T. Richardson,24:37,10,2,2,100.0,2,3,66.7,4,5,80.0,0,0,0.0,0,3,3,4,3,1,0,0,1,0,1,17,15,2836470,https://imagenes.feb.es/foto.aspx?c=2836470,1477
HLA ALICANTE,21,0,A. Jorda Rodriguez,16:08,5,1,2,50.0,1,4,25.0,2,6,33.3,0,0,0.0,0,1,1,2,1,1,0,1,0,2,2,-1,4,1676991,https://imagenes.feb.es/foto.aspx?c=1676991,968
HLA ALICANTE,22,1,J. Walker,26:07,20,2,3,66.7,4,7,57.1,6,10,60.0,4,5,80.0,0,5,5,4,4,2,0,0,0,2,4,15,24,2736303,https://imagenes.feb.es/foto.aspx?c=2736303,1567
HLA ALICANTE,23,1,D. Geu,22:19,16,4,6,66.7,1,3,33.3,5,9,55.6,5,5,100.0,3,4,7,1,0,1,0,2,2,4,3,25,20,2817123,https://imagenes.feb.es/foto.aspx?c=2817123,1339
HLA ALICANTE,24,0,S. Llorente Paz,04:15,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,-1,-2,1381662,https://imagenes.feb.es/foto.aspx?c=1381662,255
HLA ALICANTE,33,1,M. Torres Cuevas,22:06,9,0,3,0.0,3,5,60.0,3,8,37.5,0,0,0.0,0,1,1,4,1,0,0,1,0,3,2,10,7,1285873,https://imagenes.feb.es/foto.aspx?c=1285873,1326
GRUPO CAESA SEGUROS FC CARTAGENA CB,0,1,J. Davis,09:39,0,0,3,0.0,0,1,0.0,0,4,0.0,0,0,0.0,0,0,0,1,0,1,0,0,0,1,0,-22,-3,2371571,https://imagenes.feb.es/foto.aspx?c=2371571,579
GRUPO CAESA SEGUROS FC CARTAGENA CB,1,0,C. Polynice,16:59,4,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0.0,1,5,6,2,2,0,0,0,0,0,0,4,10,2862304,https://imagenes.feb.es/foto.aspx?c=2862304,1019
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,0,A. Garuba Alari,18:59,4,2,3,66.7,0,1,0.0,2,4,50.0,0,0,0.0,0,3,3,1,1,2,0,0,1,4,1,6,4,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,1139
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,0,I. Rivera Carroll,18:16,13,3,5,60.0,2,8,25.0,5,13,38.5,1,1,100.0,1,3,4,1,1,0,1,0,0,2,1,8,9,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,1096
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,0,A. Martin Marin,18:44,12,2,4,50.0,2,4,50.0,4,8,50.0,2,2,100.0,1,2,3,4,0,2,0,0,0,1,4,8,20,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,1124
GRUPO CAESA SEGUROS FC CARTAGENA CB,10,1,K. Webster,23:37,10,1,3,33.3,2,4,50.0,3,7,42.9,2,2,100.0,0,1,1,4,1,0,0,0,0,2,3,-27,11,2862296,https://imagenes.feb.es/foto.aspx?c=2862296,1417
GRUPO CAESA SEGUROS FC CARTAGENA CB,11,1,E. Idehen Idehen,13:05,4,2,4,50.0,0,0,0.0,2,4,50.0,0,2,0.0,1,0,1,0,4,0,0,0,0,5,1,-12,-7,2525411,https://imagenes.feb.es/foto.aspx?c=2525411,785
GRUPO CAESA SEGUROS FC CARTAGENA CB,12,1,A. Domenech Fontana,18:23,4,2,2,100.0,0,3,0.0,2,5,40.0,0,0,0.0,0,1,1,0,1,0,1,0,0,0,1,-16,3,1923881,https://imagenes.feb.es/foto.aspx?c=1923881,1103
GRUPO CAESA SEGUROS FC CARTAGENA CB,13,0,V. Faverani Tatsch,26:55,12,2,4,50.0,2,6,33.3,4,10,40.0,2,2,100.0,0,4,4,2,0,0,1,1,1,0,3,-6,16,2820135,https://imagenes.feb.es/foto.aspx?c=2820135,1615
