Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FIBWI MALLORCA BASQUET PALMA ,0,0,A. Scariolo Ares,16:18,12,3,6,50.0,0,1,0.0,3,7,42.9,6,7,85.7,1,3,4,2,0,0,0,2,0,2,7,7,18,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,978
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,19:30,6,3,3,100.0,0,0,0.0,3,3,100.0,0,4,0.0,3,5,8,0,2,0,1,0,2,3,2,3,8,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,1170
FIBWI MALLORCA BASQUET PALMA ,5,0,L. Menuge,12:02,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,4,4,0,0,0,0,0,0,1,0,5,6,2838797,https://imagenes.feb.es/foto.aspx?c=2838797,722
FIBWI MALLORCA BASQUET PALMA ,6,1,J. Bocca,17:37,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,0,0,3,1,-10,1,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,1057
FIBWI MALLORCA BASQUET PALMA ,13,1,O. Matulionis,29:06,1,0,2,0.0,0,1,0.0,0,3,0.0,1,2,50.0,0,0,0,1,0,1,1,0,0,2,1,13,-1,2027826,https://imagenes.feb.es/foto.aspx?c=2027826,1746
FIBWI MALLORCA BASQUET PALMA ,15,0,O. Siquier Costa,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008018,https://imagenes.feb.es/foto.aspx?c=2008018,0
FIBWI MALLORCA BASQUET PALMA ,23,1,J. Aramburu Lamy,27:58,16,5,9,55.6,1,4,25.0,6,13,46.2,3,6,50.0,3,5,8,1,2,1,0,0,1,2,5,-3,17,1509876,https://imagenes.feb.es/foto.aspx?c=1509876,1678
FIBWI MALLORCA BASQUET PALMA ,24,0,L. Capalbo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818075,https://imagenes.feb.es/foto.aspx?c=2818075,0
FIBWI MALLORCA BASQUET PALMA ,30,0,J. Martinez Cabezudo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241485,https://imagenes.feb.es/foto.aspx?c=1241485,0
FIBWI MALLORCA BASQUET PALMA ,33,1,L. Bracey,31:45,12,2,7,28.6,0,3,0.0,2,10,20.0,8,9,88.9,0,2,2,3,1,0,0,0,0,4,5,0,8,2583212,https://imagenes.feb.es/foto.aspx?c=2583212,1905
FIBWI MALLORCA BASQUET PALMA ,44,0,B. Vazquez Arraiza,25:14,14,2,5,40.0,3,8,37.5,5,13,38.5,1,2,50.0,0,2,2,0,1,0,0,0,0,5,1,-4,2,2783882,https://imagenes.feb.es/foto.aspx?c=2783882,1514
FIBWI MALLORCA BASQUET PALMA ,99,1,P. Bombino Parada,20:30,15,6,12,50.0,0,0,0.0,6,12,50.0,3,5,60.0,4,5,9,1,3,0,0,0,1,1,4,-1,17,2819257,https://imagenes.feb.es/foto.aspx?c=2819257,1230
PALMER BASKET MALLORCA PALMA,0,1,H. Atencia Suarez,26:13,21,4,7,57.1,3,8,37.5,7,15,46.7,4,4,100.0,0,2,2,0,2,0,0,0,0,2,3,4,14,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1573
PALMER BASKET MALLORCA PALMA,5,1,P. Scrubb,28:10,18,3,6,50.0,2,5,40.0,5,11,45.5,6,6,100.0,0,3,3,3,2,0,1,1,0,3,3,10,17,2863891,https://imagenes.feb.es/foto.aspx?c=2863891,1690
PALMER BASKET MALLORCA PALMA,7,0,D. Sanadze,20:06,7,1,4,25.0,1,7,14.3,2,11,18.2,2,2,100.0,1,0,1,1,1,0,0,1,0,2,1,-12,-2,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1206
