Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HESTIA MENORCA,0,1,E. Vicedo Ayala,33:30,12,3,4,75.0,2,8,25.0,5,12,41.7,0,0,0.0,1,3,4,1,2,1,0,0,0,1,1,0,9,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,2010
HESTIA MENORCA,1,0,J. Cone,17:38,10,2,2,100.0,2,4,50.0,4,6,66.7,0,0,0.0,1,2,3,1,2,0,0,0,0,1,0,0,9,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,1058
HESTIA MENORCA,3,0,N. Galette,06:30,5,2,2,100.0,0,0,0.0,2,2,100.0,1,2,50.0,3,1,4,0,1,0,0,0,0,2,2,10,7,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,390
HESTIA MENORCA,8,1,F. Schott,09:38,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,4,0,1,-6,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,578
HESTIA MENORCA,10,1,F. Zurbriggen,19:29,9,1,1,100.0,1,2,50.0,2,3,66.7,4,4,100.0,0,6,6,6,0,0,0,0,0,4,6,14,22,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1169
HESTIA MENORCA,11,0,S. Littleson,23:36,17,4,6,66.7,2,5,40.0,6,11,54.5,3,4,75.0,0,0,0,2,1,0,0,0,0,3,2,8,11,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1416
HESTIA MENORCA,13,1,J. Lobo Martorell,11:41,5,1,1,100.0,1,3,33.3,2,4,50.0,0,0,0.0,1,1,2,2,2,0,0,0,0,1,1,4,5,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,701
HESTIA MENORCA,15,0,P. Molins Calderon,02:24,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,0,0,-4,2,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,144
HESTIA MENORCA,21,0,T. Mcfadden,22:38,8,0,1,0.0,2,8,25.0,2,9,22.2,2,2,100.0,1,2,3,4,3,1,0,1,0,1,3,12,8,2325133,https://imagenes.feb.es/foto.aspx?c=2325133,1358
HESTIA MENORCA,23,0,E. Wembi,28:13,7,1,4,25.0,0,0,0.0,1,4,25.0,5,6,83.3,2,2,4,0,0,0,0,0,0,3,3,13,7,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,1693
HESTIA MENORCA,55,1,A. Sola Iddrisu,22:34,7,2,5,40.0,1,1,100.0,3,6,50.0,0,0,0.0,1,3,4,2,0,2,0,0,0,1,3,-4,14,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1354
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,02:09,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,-4,-2,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,129
FLEXICAR FUENLABRADA,0,1,I. Aurrecoechea Alcolado,26:18,21,8,9,88.9,0,0,0.0,8,9,88.9,5,6,83.3,4,4,8,3,0,0,0,0,0,1,6,6,35,1384981,https://imagenes.feb.es/foto.aspx?c=1384981,1578
FLEXICAR FUENLABRADA,7,1,M. Diaz,30:47,10,2,4,50.0,1,4,25.0,3,8,37.5,3,4,75.0,0,6,6,6,4,0,0,0,0,4,4,4,12,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1847
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,28:14,13,4,6,66.7,1,3,33.3,5,9,55.6,2,3,66.7,0,1,1,1,2,1,0,0,0,5,1,-5,5,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1694
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,29:22,6,3,7,42.9,0,3,0.0,3,10,30.0,0,0,0.0,1,4,5,2,1,2,0,0,0,1,2,-2,8,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1762
FLEXICAR FUENLABRADA,12,0,P. Suárez Custodio,02:44,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-5,0,2559072,https://imagenes.feb.es/foto.aspx?c=2559072,164
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,0
FLEXICAR FUENLABRADA,22,0,B. De Bisschop,13:58,4,2,6,33.3,0,1,0.0,2,7,28.6,0,0,0.0,0,1,1,1,0,0,1,0,0,2,0,-16,0,2703151,https://imagenes.feb.es/foto.aspx?c=2703151,838
FLEXICAR FUENLABRADA,30,0,P. Rigot,16:28,6,1,3,33.3,1,2,50.0,2,5,40.0,1,1,100.0,3,1,4,0,2,0,0,0,0,2,4,0,7,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,988
FLEXICAR FUENLABRADA,32,0,G. Renfroe,18:17,7,1,2,50.0,1,1,100.0,2,3,66.7,2,2,100.0,0,1,1,1,1,0,0,0,0,2,1,-14,6,2236015,https://imagenes.feb.es/foto.aspx?c=2236015,1097
FLEXICAR FUENLABRADA,35,1,J. Belemene-Dzabatou,24:17,0,0,3,0.0,0,2,0.0,0,5,0.0,0,2,0.0,0,1,1,0,0,1,0,0,0,1,3,-2,-3,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1457
FLEXICAR FUENLABRADA,88,0,J. Kasibabu Shilala,09:35,3,1,2,50.0,0,0,0.0,1,2,50.0,1,2,50.0,3,1,4,2,3,0,0,0,0,3,2,-16,3,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,575
