Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MONBUS OBRADOIRO,1,0,M. Speight,24:18,6,0,4,0.0,1,1,100.0,1,5,20.0,3,3,100.0,1,1,2,7,2,3,0,0,0,0,6,6,18,2433193,https://imagenes.feb.es/foto.aspx?c=2433193,1458
MONBUS OBRADOIRO,5,0,R. Andersson,18:07,6,3,3,100.0,0,2,0.0,3,5,60.0,0,0,0.0,0,2,2,1,0,0,1,0,1,2,0,0,6,2524084,https://imagenes.feb.es/foto.aspx?c=2524084,1087
MONBUS OBRADOIRO,7,1,F. Dos Anjos De Paula,17:40,11,4,5,80.0,0,0,0.0,4,5,80.0,3,4,75.0,1,5,6,1,1,0,0,0,2,2,3,-9,16,2219665,https://imagenes.feb.es/foto.aspx?c=2219665,1060
MONBUS OBRADOIRO,9,1,L. Westermann,15:42,11,1,1,100.0,3,6,50.0,4,7,57.1,0,2,0.0,1,0,1,7,1,1,0,0,0,4,3,-2,13,2436780,https://imagenes.feb.es/foto.aspx?c=2436780,942
MONBUS OBRADOIRO,10,0,A. Grela Rojas,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533473,https://imagenes.feb.es/foto.aspx?c=2533473,0
MONBUS OBRADOIRO,11,0,D. Kravic,22:13,14,7,10,70.0,0,0,0.0,7,10,70.0,0,0,0.0,5,1,6,3,1,0,0,0,0,2,0,11,17,2371461,https://imagenes.feb.es/foto.aspx?c=2371461,1333
MONBUS OBRADOIRO,16,0,A. Etxeguren Gonzalez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082696,https://imagenes.feb.es/foto.aspx?c=2082696,0
MONBUS OBRADOIRO,23,1,Y. Barrueta,28:27,11,2,2,100.0,2,4,50.0,4,6,66.7,1,1,100.0,0,2,2,1,0,0,0,0,0,3,2,-4,11,2524267,https://imagenes.feb.es/foto.aspx?c=2524267,1707
MONBUS OBRADOIRO,24,0,D. De Sousa Anjo Brito,13:32,5,1,2,50.0,1,4,25.0,2,6,33.3,0,0,0.0,1,0,1,1,0,0,0,0,1,2,0,9,1,2528063,https://imagenes.feb.es/foto.aspx?c=2528063,812
MONBUS OBRADOIRO,25,0,S. Quintela Salvador,07:40,5,0,2,0.0,1,2,50.0,1,4,25.0,2,2,100.0,1,0,1,1,2,1,0,0,0,2,1,-3,2,2220063,https://imagenes.feb.es/foto.aspx?c=2220063,460
