Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
INVEREADY GIPUZKOA,0,0,A. Ngom,21:12,14,4,5,80.0,0,0,0.0,4,5,80.0,6,10,60.0,2,4,6,1,1,1,5,0,1,4,7,8,24,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,1272
INVEREADY GIPUZKOA,1,0,J. Tate,19:08,10,4,4,100.0,0,0,0.0,4,4,100.0,2,2,100.0,1,0,1,6,3,0,0,0,0,5,4,9,13,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,1148
INVEREADY GIPUZKOA,2,0,O. Hanzlik,15:11,4,0,0,0.0,0,2,0.0,0,2,0.0,4,4,100.0,0,1,1,0,0,1,0,0,0,2,2,-8,4,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,911
INVEREADY GIPUZKOA,4,0,E. Martinez Cendon,00:38,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,2303399,https://imagenes.feb.es/foto.aspx?c=2303399,38
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,0
INVEREADY GIPUZKOA,9,1,M. Motos Cabodevilla,22:01,4,2,6,33.3,0,0,0.0,2,6,33.3,0,0,0.0,3,1,4,0,2,1,0,0,0,3,1,5,1,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,1321
INVEREADY GIPUZKOA,10,0,M. Ansorregui Deba,18:27,5,2,3,66.7,0,1,0.0,2,4,50.0,1,1,100.0,1,1,2,0,0,0,0,0,0,0,1,-2,6,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1107
INVEREADY GIPUZKOA,11,0,G. Maiza Apecechea,16:08,5,0,0,0.0,1,3,33.3,1,3,33.3,2,2,100.0,0,1,1,1,3,0,0,0,0,0,2,-4,4,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,968
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,18:10,8,3,7,42.9,0,0,0.0,3,7,42.9,2,3,66.7,3,1,4,2,2,2,0,1,0,1,2,3,10,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,1090
INVEREADY GIPUZKOA,13,1,T. Mcghie,27:46,20,2,3,66.7,5,10,50.0,7,13,53.8,1,1,100.0,0,4,4,0,0,1,0,0,0,1,0,19,18,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1666
INVEREADY GIPUZKOA,22,1,G. Korsantia,22:11,11,5,11,45.5,0,0,0.0,5,11,45.5,1,2,50.0,2,6,8,1,0,0,0,0,1,3,3,13,13,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1331
INVEREADY GIPUZKOA,24,1,I. Arroyo Varela,19:08,7,1,1,100.0,1,5,20.0,2,6,33.3,2,2,100.0,0,0,0,2,2,0,0,0,0,0,1,12,4,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,1148
GRUPO ALEGA CANTABRIA,2,0,J. Powell,18:38,6,1,1,100.0,1,4,25.0,2,5,40.0,1,2,50.0,0,0,0,5,3,2,0,0,0,2,1,5,5,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,1118
