Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,26:02,19,2,7,28.6,1,3,33.3,3,10,30.0,12,14,85.7,0,7,7,3,5,0,0,1,0,4,9,5,20,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1562
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,26:31,16,5,7,71.4,1,1,100.0,6,8,75.0,3,5,60.0,3,6,9,2,2,1,0,0,0,4,3,-7,21,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,1591
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,28:53,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,1,1,2,1,0,0,0,0,0,0,14,0,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1733
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,18:00,2,0,1,0.0,0,1,0.0,0,2,0.0,2,2,100.0,0,1,1,5,3,1,0,0,0,2,2,-5,4,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1080
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,0
ALIMERKA OVIEDO BALONCESTO,14,0,D. Shelist,18:06,4,2,5,40.0,0,1,0.0,2,6,33.3,0,0,0.0,1,2,3,1,4,0,0,1,0,2,0,-7,-2,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1086
ALIMERKA OVIEDO BALONCESTO,24,0,C. Hermanson,13:08,6,1,3,33.3,1,4,25.0,2,7,28.6,1,2,50.0,1,0,1,0,0,0,0,2,0,2,2,-8,1,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,788
ALIMERKA OVIEDO BALONCESTO,35,1,F. Nwaokorie,25:33,13,3,3,100.0,1,6,16.7,4,9,44.4,4,4,100.0,2,3,5,0,1,2,1,0,2,1,2,9,16,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1533
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,11:30,4,2,4,50.0,0,0,0.0,2,4,50.0,0,1,0.0,2,6,8,1,2,0,0,0,0,2,2,8,8,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,690
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,01:10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-4,-1,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,70
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,31:07,11,1,1,100.0,3,6,50.0,4,7,57.1,0,0,0.0,1,2,3,1,1,0,2,0,0,4,2,5,11,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,1867
CLUB OURENSE BALONCESTO,3,1,K. Smith,19:17,2,1,2,50.0,0,2,0.0,1,4,25.0,0,0,0.0,0,2,2,0,0,1,0,0,0,0,0,-10,2,2819338,https://imagenes.feb.es/foto.aspx?c=2819338,1157
CLUB OURENSE BALONCESTO,9,0,C. Okanu,21:17,12,6,8,75.0,0,0,0.0,6,8,75.0,0,0,0.0,2,3,5,1,0,0,2,0,2,3,3,-1,18,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,1277
CLUB OURENSE BALONCESTO,10,0,I. Vazquez Perez,13:17,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,1,1,1,0,0,0,0,0,3,1,13,0,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,797
CLUB OURENSE BALONCESTO,11,0,M. Fernandez Carballo,14:09,8,1,2,50.0,0,1,0.0,1,3,33.3,6,8,75.0,0,2,2,0,1,1,0,0,0,1,5,11,10,1886852,https://imagenes.feb.es/foto.aspx?c=1886852,849
CLUB OURENSE BALONCESTO,12,0,S. Huguet Carrasco,00:15,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765084,https://imagenes.feb.es/foto.aspx?c=1765084,15
CLUB OURENSE BALONCESTO,22,1,G. Kalscheur,16:21,4,2,6,33.3,0,4,0.0,2,10,20.0,0,0,0.0,0,0,0,0,1,0,0,0,0,5,4,-12,-6,2819327,https://imagenes.feb.es/foto.aspx?c=2819327,981
CLUB OURENSE BALONCESTO,23,0,D. Saraiva Seixas,10:20,1,0,1,0.0,0,1,0.0,0,2,0.0,1,2,50.0,0,0,0,0,0,1,0,0,0,2,1,4,-2,2819332,https://imagenes.feb.es/foto.aspx?c=2819332,620
CLUB OURENSE BALONCESTO,24,1,S. Mc Donnell,31:09,13,5,9,55.6,0,3,0.0,5,12,41.7,3,3,100.0,1,1,2,1,1,0,0,2,0,1,2,-11,9,2781800,https://imagenes.feb.es/foto.aspx?c=2781800,1869
