Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
SÚPER AGROPAL PALENCIA,2,1,A. Wintering,17:17,6,3,5,60.0,0,0,0.0,3,5,60.0,0,0,0.0,1,2,3,3,2,1,0,0,0,4,1,4,6,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,1037
SÚPER AGROPAL PALENCIA,4,0,O. Gomez Fernandez,01:20,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,2186516,https://imagenes.feb.es/foto.aspx?c=2186516,80
SÚPER AGROPAL PALENCIA,5,1,A. Kunkel,21:26,14,4,5,80.0,2,9,22.2,6,14,42.9,0,1,0.0,1,1,2,1,2,1,0,0,0,4,2,7,5,2734949,https://imagenes.feb.es/foto.aspx?c=2734949,1286
SÚPER AGROPAL PALENCIA,6,1,T. Borg,26:17,19,2,3,66.7,5,8,62.5,7,11,63.6,0,0,0.0,0,3,3,1,0,1,0,1,0,2,1,12,19,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1577
SÚPER AGROPAL PALENCIA,7,0,X. Oroz Uria,21:36,4,2,3,66.7,0,2,0.0,2,5,40.0,0,0,0.0,1,2,3,2,1,3,0,1,0,1,0,17,7,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,1296
SÚPER AGROPAL PALENCIA,8,0,I. Jakovics,24:17,12,1,1,100.0,2,7,28.6,3,8,37.5,4,7,57.1,1,6,7,0,2,1,0,0,0,1,7,5,16,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,1457
SÚPER AGROPAL PALENCIA,9,0,M. Kamba,22:28,8,1,1,100.0,1,4,25.0,2,5,40.0,3,5,60.0,0,3,3,0,1,0,0,0,1,1,3,11,7,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,1348
SÚPER AGROPAL PALENCIA,11,0,M. Rodriguez Barrientos,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376540,https://imagenes.feb.es/foto.aspx?c=1376540,0
SÚPER AGROPAL PALENCIA,13,1,J. Vrankic,25:19,10,4,4,100.0,0,1,0.0,4,5,80.0,2,3,66.7,1,2,3,1,0,0,0,0,1,5,2,4,9,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1519
SÚPER AGROPAL PALENCIA,15,0,J. Gonzalez Calvo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382607,https://imagenes.feb.es/foto.aspx?c=1382607,0
SÚPER AGROPAL PALENCIA,17,1,M. Armus,17:03,5,2,5,40.0,0,0,0.0,2,5,40.0,1,2,50.0,2,4,6,2,0,2,0,0,0,3,1,12,9,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,1023
SÚPER AGROPAL PALENCIA,31,0,S. Ugochukwu,22:57,13,5,6,83.3,0,0,0.0,5,6,83.3,3,4,75.0,2,3,5,1,2,0,2,0,2,3,2,3,16,2738742,https://imagenes.feb.es/foto.aspx?c=2738742,1377
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,26:53,8,0,3,0.0,2,5,40.0,2,8,25.0,2,3,66.7,0,1,1,0,1,0,0,0,0,2,4,-2,3,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1613
GRUPO URETA TIZONA BURGOS,8,1,F. Terins,20:14,9,0,0,0.0,3,9,33.3,3,9,33.3,0,0,0.0,1,3,4,2,1,1,0,0,0,4,2,6,7,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,1214
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,24:01,19,3,9,33.3,3,6,50.0,6,15,40.0,4,4,100.0,3,8,11,1,3,0,0,1,1,2,5,-5,22,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1441
GRUPO URETA TIZONA BURGOS,13,1,R. Vila Soley,19:01,5,1,1,100.0,1,2,50.0,2,3,66.7,0,0,0.0,1,0,1,4,1,0,1,0,0,2,0,-2,7,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1141
GRUPO URETA TIZONA BURGOS,21,0,G. Gil Garcia,17:08,8,3,4,75.0,0,1,0.0,3,5,60.0,2,2,100.0,0,5,5,3,1,0,0,1,0,4,2,5,11,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,1028
