Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HESTIA MENORCA,0,1,E. Vicedo Ayala,09:49,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,5,-3,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,589
HESTIA MENORCA,1,0,J. Cone,15:58,0,0,1,0.0,0,2,0.0,0,3,0.0,0,0,0.0,1,0,1,0,1,1,0,0,0,2,0,-1,-4,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,958
HESTIA MENORCA,3,0,N. Galette,30:11,11,1,2,50.0,3,6,50.0,4,8,50.0,0,0,0.0,0,3,3,3,1,0,0,0,0,1,2,8,13,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,1811
HESTIA MENORCA,8,1,F. Schott,10:26,8,4,4,100.0,0,0,0.0,4,4,100.0,0,0,0.0,1,3,4,0,0,0,0,0,2,4,0,9,8,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,626
HESTIA MENORCA,10,1,F. Zurbriggen,24:02,14,2,2,100.0,3,6,50.0,5,8,62.5,1,2,50.0,0,3,3,4,0,2,1,0,0,3,2,14,19,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1442
HESTIA MENORCA,11,0,S. Littleson,31:53,27,8,11,72.7,3,7,42.9,11,18,61.1,2,2,100.0,0,3,3,1,2,2,0,0,1,0,4,5,28,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1913
HESTIA MENORCA,13,0,J. Lobo Martorell,10:18,3,1,2,50.0,0,2,0.0,1,4,25.0,1,2,50.0,0,1,1,2,0,0,0,0,0,2,2,-6,2,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,618
HESTIA MENORCA,15,0,P. Molins Calderon,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,0
HESTIA MENORCA,21,1,T. Mcfadden,17:43,5,1,3,33.3,1,4,25.0,2,7,28.6,0,0,0.0,0,2,2,4,0,0,0,1,0,0,2,15,8,2325133,https://imagenes.feb.es/foto.aspx?c=2325133,1063
HESTIA MENORCA,23,0,E. Wembi,16:08,11,5,5,100.0,0,0,0.0,5,5,100.0,1,1,100.0,1,3,4,2,1,0,0,0,0,5,1,0,12,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,968
