Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
PALMER BASKET MALLORCA PALMA,0,1,H. Atencia Suarez,27:29,21,4,6,66.7,2,8,25.0,6,14,42.9,7,7,100.0,0,1,1,1,1,1,0,0,0,1,4,-2,18,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1649
PALMER BASKET MALLORCA PALMA,5,1,P. Scrubb,31:16,15,1,5,20.0,3,8,37.5,4,13,30.8,4,6,66.7,0,4,4,2,5,1,0,0,0,1,6,-5,11,2863891,https://imagenes.feb.es/foto.aspx?c=2863891,1876
PALMER BASKET MALLORCA PALMA,7,0,D. Sanadze,19:18,5,2,6,33.3,0,1,0.0,2,7,28.6,1,2,50.0,0,1,1,0,1,1,0,0,0,3,1,1,-2,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1158
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,04:37,0,0,2,0.0,0,1,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,-1,-3,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,277
PALMER BASKET MALLORCA PALMA,9,0,A. Urdiain Labayen,12:29,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,1,1,2,0,0,0,0,0,1,0,0,3,2,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,749
PALMER BASKET MALLORCA PALMA,10,1,G. Dike Egun,09:24,0,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0.0,4,2,6,0,1,0,0,0,0,1,1,4,2,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,564
PALMER BASKET MALLORCA PALMA,12,1,J. Carralero Martin,20:51,2,1,5,20.0,0,2,0.0,1,7,14.3,0,0,0.0,0,0,0,1,2,1,0,0,0,3,0,-9,-7,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,1251
PALMER BASKET MALLORCA PALMA,15,0,J. Feliu Espejo,07:08,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,2,0,-9,-3,1688669,https://imagenes.feb.es/foto.aspx?c=1688669,428
PALMER BASKET MALLORCA PALMA,22,1,N. Camacho De Sá,17:43,5,0,1,0.0,1,2,50.0,1,3,33.3,2,3,66.7,0,2,2,0,0,0,0,0,0,1,4,-10,7,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,1063
PALMER BASKET MALLORCA PALMA,23,0,J. Roberts,10:47,7,3,4,75.0,0,0,0.0,3,4,75.0,1,2,50.0,3,4,7,0,1,0,0,0,2,2,2,0,11,2860169,https://imagenes.feb.es/foto.aspx?c=2860169,647
PALMER BASKET MALLORCA PALMA,24,0,A. Comendador Femenias,19:09,4,1,2,50.0,0,0,0.0,1,2,50.0,2,3,66.7,2,3,5,0,2,0,1,0,0,0,2,1,8,1766217,https://imagenes.feb.es/foto.aspx?c=1766217,1149
PALMER BASKET MALLORCA PALMA,47,0,A. Izaw Bolavie,19:49,2,1,3,33.3,0,0,0.0,1,3,33.3,0,2,0.0,3,3,6,0,2,2,1,0,1,3,1,-13,3,2812898,https://imagenes.feb.es/foto.aspx?c=2812898,1189
INVEREADY GIPUZKOA,0,0,A. Ngom,21:57,14,7,7,100.0,0,0,0.0,7,7,100.0,0,0,0.0,1,12,13,0,2,1,0,0,1,3,2,16,25,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,1317
INVEREADY GIPUZKOA,1,0,J. Tate,29:29,18,8,11,72.7,0,1,0.0,8,12,66.7,2,2,100.0,0,1,1,4,5,3,0,1,1,3,4,10,18,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,1769
INVEREADY GIPUZKOA,2,0,O. Hanzlik,13:37,2,1,2,50.0,0,4,0.0,1,6,16.7,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,-7,-4,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,817
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,0
INVEREADY GIPUZKOA,9,1,M. Motos Cabodevilla,21:20,5,0,1,0.0,1,1,100.0,1,2,50.0,2,2,100.0,2,3,5,3,2,0,0,1,0,1,2,5,11,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,1280
INVEREADY GIPUZKOA,10,0,M. Ansorregui Deba,18:17,6,2,3,66.7,0,1,0.0,2,4,50.0,2,2,100.0,1,4,5,0,0,1,0,0,0,3,1,14,8,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1097
INVEREADY GIPUZKOA,11,1,G. Maiza Apecechea,24:52,3,0,2,0.0,1,5,20.0,1,7,14.3,0,0,0.0,0,0,0,3,2,1,0,0,0,3,4,-2,0,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,1492
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,16:44,2,0,1,0.0,0,0,0.0,0,1,0.0,2,2,100.0,0,2,2,1,1,1,0,0,0,3,1,-7,2,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,1004
INVEREADY GIPUZKOA,13,1,T. Mcghie,23:06,5,0,3,0.0,1,4,25.0,1,7,14.3,2,2,100.0,0,1,1,2,1,1,0,0,0,2,2,2,2,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1386
