p1m,p1a,p1p,p2m,p2a,p2p,p3m,p3a,p3p,fgm,fga,fgp,min,minFormatted,sta,bs,tc,mt,ro,rd,rt,rf,to,st,ind,pllss,val,assist,reb,pf,pts,inn,captain,id,no,name,logo,team_name
0,0,"0,0",4,6,"66,7",1,4,"25,0",5,10,"50,0",1721,28:41,,0,0,0,0,6,6,2,2,3,,16,20,8,6,3,11,1,0,2839186,3,M. TOWNES VILLAR,https://imagenes.feb.es/foto.aspx?c=2839186,ALIMERKA OVIEDO BALONCESTO
0,0,"0,0",1,4,"25,0",0,1,"0,0",1,5,"20,0",990,16:30,,0,0,1,1,3,4,0,2,4,,17,0,0,4,4,2,1,0,1853585,4,A. FAURE RIBES,https://imagenes.feb.es/foto.aspx?c=1853585,ALIMERKA OVIEDO BALONCESTO
3,3,"100,0",2,6,"33,3",3,6,"50,0",5,12,"41,7",1489,24:49,,0,0,0,0,1,1,2,3,0,,22,9,2,1,2,16,1,0,2815325,5,G. PARHAM II,https://imagenes.feb.es/foto.aspx?c=2815325,ALIMERKA OVIEDO BALONCESTO
2,2,"100,0",1,3,"33,3",2,5,"40,0",3,8,"37,5",1286,21:26,,0,1,0,1,0,1,3,5,0,,9,6,5,1,3,10,0,0,2822575,7,D. DUSCAK,https://imagenes.feb.es/foto.aspx?c=2822575,ALIMERKA OVIEDO BALONCESTO
0,0,"0,0",3,3,"100,0",2,2,"100,0",5,5,"100,0",1372,22:52,,0,0,0,0,7,7,1,1,2,,6,18,1,7,4,12,0,0,2822577,11,F. COPES,https://imagenes.feb.es/foto.aspx?c=2822577,ALIMERKA OVIEDO BALONCESTO
0,0,"0,0",2,4,"50,0",1,1,"100,0",3,5,"60,0",1255,20:55,,0,0,0,1,4,5,0,0,1,,-3,10,0,5,1,7,0,0,2822578,14,D. SHELIST,https://imagenes.feb.es/foto.aspx?c=2822578,ALIMERKA OVIEDO BALONCESTO
0,0,"0,0",0,0,"0,0",5,9,"55,6",5,9,"55,6",677,11:17,,0,0,0,1,3,4,1,1,1,,9,15,0,4,1,15,1,0,2735658,24,C. HERMANSON,https://imagenes.feb.es/foto.aspx?c=2735658,ALIMERKA OVIEDO BALONCESTO
0,0,"0,0",1,1,"100,0",0,6,"0,0",1,7,"14,3",1515,25:15,,0,0,0,2,3,5,1,1,0,,22,2,1,5,0,2,1,0,2819514,35,F. NWAOKORIE,https://imagenes.feb.es/foto.aspx?c=2819514,ALIMERKA OVIEDO BALONCESTO
0,2,"0,0",1,5,"20,0",0,1,"0,0",1,6,"16,7",1336,22:16,,1,1,0,3,3,6,3,0,2,,4,8,4,6,3,2,0,0,1662155,41,R. COSIALLS BORRAS,https://imagenes.feb.es/foto.aspx?c=1662155,ALIMERKA OVIEDO BALONCESTO
0,0,"0,0",0,0,"0,0",2,3,"66,7",2,3,"66,7",359,05:59,,0,0,0,0,1,1,0,0,0,,-7,6,0,1,0,6,0,0,1821152,44,P. GONZALEZ LONGARELA,https://imagenes.feb.es/foto.aspx?c=1821152,ALIMERKA OVIEDO BALONCESTO
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1981938,48,J. ARIAS GONZALEZ,https://imagenes.feb.es/foto.aspx?c=1981938,ALIMERKA OVIEDO BALONCESTO
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1978545,55,R. LOBACO MUÑOZ,https://imagenes.feb.es/foto.aspx?c=1978545,ALIMERKA OVIEDO BALONCESTO
4,4,"100,0",0,3,"0,0",0,1,"0,0",0,4,"0,0",1297,21:37,,1,0,0,0,1,1,3,1,2,,-1,7,2,1,1,4,0,0,1843906,0,A. SCARIOLO ARES,https://imagenes.feb.es/foto.aspx?c=1843906,FIBWI MALLORCA BASQUET PALMA 
1,3,"33,3",4,5,"80,0",0,0,"0,0",4,5,"80,0",1387,23:07,,0,0,2,4,3,7,2,4,0,,-12,8,0,7,3,9,0,0,2788739,1,L. SMITH,https://imagenes.feb.es/foto.aspx?c=2788739,FIBWI MALLORCA BASQUET PALMA 
0,0,"0,0",0,0,"0,0",0,1,"0,0",0,1,"0,0",533,08:53,,0,0,0,0,0,0,0,0,0,,-17,-3,0,0,2,0,0,0,2821058,6,J. BOCCA,https://imagenes.feb.es/foto.aspx?c=2821058,FIBWI MALLORCA BASQUET PALMA 
