Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HLA ALICANTE,4,0,S. Ceccardi,17:37,5,1,1,100.0,1,3,33.3,2,4,50.0,0,0,0.0,0,3,3,1,3,0,0,0,0,0,2,-8,6,2787126,https://imagenes.feb.es/foto.aspx?c=2787126,1057
HLA ALICANTE,8,0,J. Mwema,16:43,0,0,0,0.0,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,3,0,1,0,0,0,2,1,-6,2,2734619,https://imagenes.feb.es/foto.aspx?c=2734619,1003
HLA ALICANTE,9,0,S. Val Gutierrez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2557718,https://imagenes.feb.es/foto.aspx?c=2557718,0
HLA ALICANTE,10,0,E. Polanco Tavarez,25:27,36,8,10,80.0,3,3,100.0,11,13,84.6,11,13,84.6,1,4,5,1,4,2,0,0,0,3,7,2,40,2863973,https://imagenes.feb.es/foto.aspx?c=2863973,1527
HLA ALICANTE,12,0,B. Coulibaly,09:07,6,1,4,25.0,0,0,0.0,1,4,25.0,4,5,80.0,2,0,2,0,0,0,1,0,0,1,3,-2,7,2818653,https://imagenes.feb.es/foto.aspx?c=2818653,547
HLA ALICANTE,13,1,K. Larsen,30:26,11,3,7,42.9,0,3,0.0,3,10,30.0,5,6,83.3,2,3,5,2,0,0,0,0,0,0,3,-6,13,2433482,https://imagenes.feb.es/foto.aspx?c=2433482,1826
HLA ALICANTE,14,0,I. Tamba Villen,04:52,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1997161,https://imagenes.feb.es/foto.aspx?c=1997161,292
HLA ALICANTE,15,1,T. Richardson,22:33,3,0,2,0.0,1,3,33.3,1,5,20.0,0,0,0.0,0,0,0,4,1,1,0,0,0,0,0,-2,3,2836470,https://imagenes.feb.es/foto.aspx?c=2836470,1353
HLA ALICANTE,21,1,A. Jorda Rodriguez,17:27,6,0,1,0.0,2,5,40.0,2,6,33.3,0,0,0.0,0,1,1,2,0,0,0,1,0,3,0,-7,2,1676991,https://imagenes.feb.es/foto.aspx?c=1676991,1047
HLA ALICANTE,23,1,D. Geu,27:25,16,1,4,25.0,4,7,57.1,5,11,45.5,2,2,100.0,2,3,5,2,0,1,0,0,0,4,2,3,16,2817123,https://imagenes.feb.es/foto.aspx?c=2817123,1645
HLA ALICANTE,24,0,S. Llorente Paz,03:51,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,-4,-1,1381662,https://imagenes.feb.es/foto.aspx?c=1381662,231
HLA ALICANTE,33,1,M. Torres Cuevas,24:32,4,2,6,33.3,0,1,0.0,2,7,28.6,0,0,0.0,1,2,3,3,0,0,1,0,0,5,3,-4,4,1285873,https://imagenes.feb.es/foto.aspx?c=1285873,1472
LEYMA CORUÑA,0,0,D. Cuevas Simarro,21:46,10,1,3,33.3,2,6,33.3,3,9,33.3,2,4,50.0,2,3,5,8,1,0,0,2,0,0,3,4,17,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1306
LEYMA CORUÑA,4,1,P. Jorgensen,17:42,4,1,4,25.0,0,4,0.0,1,8,12.5,2,2,100.0,1,1,2,8,0,2,0,0,0,2,1,3,8,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1062
LEYMA CORUÑA,5,1,G. Jou Coll,23:32,8,1,1,100.0,2,6,33.3,3,7,42.9,0,0,0.0,0,4,4,0,1,1,0,0,0,1,1,-1,8,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,1412
LEYMA CORUÑA,6,0,M. Braz,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,0
LEYMA CORUÑA,8,1,D. Radoncic,21:23,14,3,4,75.0,2,2,100.0,5,6,83.3,2,2,100.0,0,3,3,0,2,1,0,0,0,2,1,1,14,2843861,https://imagenes.feb.es/foto.aspx?c=2843861,1283
LEYMA CORUÑA,9,1,C. De Souza Pacheco,20:37,12,3,4,75.0,2,4,50.0,5,8,62.5,0,1,0.0,0,1,1,4,1,0,0,0,0,0,2,1,14,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,1237
LEYMA CORUÑA,13,0,D. Brnovic,06:20,7,2,2,100.0,1,2,50.0,3,4,75.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,6,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,380
LEYMA CORUÑA,21,0,I. Diop Gaye,21:03,7,1,2,50.0,1,2,50.0,2,4,50.0,2,2,100.0,3,3,6,0,2,0,0,0,0,3,3,1,9,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1263
LEYMA CORUÑA,24,0,J. Cremo,22:18,22,4,6,66.7,1,4,25.0,5,10,50.0,11,11,100.0,1,1,2,4,0,1,0,0,0,3,7,4,28,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1338
LEYMA CORUÑA,34,1,S. Barro,17:24,10,5,6,83.3,0,0,0.0,5,6,83.3,0,0,0.0,2,2,4,0,1,1,1,0,1,3,0,6,11,2862313,https://imagenes.feb.es/foto.aspx?c=2862313,1044
LEYMA CORUÑA,44,0,A. Thiam,13:50,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,3,3,0,2,0,0,0,0,5,1,1,-2,2815798,https://imagenes.feb.es/foto.aspx?c=2815798,830
LEYMA CORUÑA,50,0,J. Diaz Alejano,14:05,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,4,4,0,0,0,0,0,0,2,1,10,2,1541543,https://imagenes.feb.es/foto.aspx?c=1541543,845
