Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
INVEREADY GIPUZKOA,0,0,A. Ngom,20:55,12,6,7,85.7,0,0,0.0,6,7,85.7,0,2,0.0,1,4,5,2,2,1,5,0,4,3,1,15,18,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,1255
INVEREADY GIPUZKOA,1,0,J. Tate,25:26,16,5,10,50.0,1,5,20.0,6,15,40.0,3,3,100.0,0,1,1,7,1,1,0,0,0,4,5,25,16,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,1526
INVEREADY GIPUZKOA,2,0,O. Hanzlik,24:26,11,3,3,100.0,1,3,33.3,4,6,66.7,2,2,100.0,0,3,3,0,0,0,0,0,2,3,2,3,11,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,1466
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,0
INVEREADY GIPUZKOA,10,1,M. Ansorregui Deba,24:17,9,3,6,50.0,0,2,0.0,3,8,37.5,3,4,75.0,1,6,7,1,0,2,0,0,0,3,2,4,12,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1457
INVEREADY GIPUZKOA,11,1,G. Maiza Apecechea,24:40,2,0,1,0.0,0,3,0.0,0,4,0.0,2,2,100.0,0,0,0,1,1,0,0,0,0,2,2,-13,-2,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,1480
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,18:52,0,0,4,0.0,0,0,0.0,0,4,0.0,0,0,0.0,3,4,7,1,0,0,2,0,0,1,0,-10,5,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,1132
INVEREADY GIPUZKOA,13,1,T. Mcghie,30:32,12,3,5,60.0,2,6,33.3,5,11,45.5,0,0,0.0,1,3,4,0,1,1,0,1,0,1,3,-3,12,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1832
INVEREADY GIPUZKOA,22,1,G. Korsantia,30:52,12,5,10,50.0,0,3,0.0,5,13,38.5,2,2,100.0,3,4,7,3,1,2,1,0,0,2,3,4,17,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1852
INVEREADY GIPUZKOA,24,0,I. Arroyo Varela,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,0
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,29:46,12,2,11,18.2,2,5,40.0,4,16,25.0,2,5,40.0,3,5,8,4,5,0,1,2,0,1,6,-1,10,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1786
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,16:21,2,1,4,25.0,0,0,0.0,1,4,25.0,0,2,0.0,2,3,5,0,2,1,0,2,1,4,1,-10,-2,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,981
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,29:46,11,1,6,16.7,2,7,28.6,3,13,23.1,3,3,100.0,1,3,4,3,1,2,0,0,0,2,2,7,9,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1786
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,16:57,7,0,2,0.0,1,3,33.3,1,5,20.0,4,4,100.0,0,4,4,1,2,0,0,0,0,5,3,-13,4,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1017
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,19:24,10,1,3,33.3,2,4,50.0,3,7,42.9,2,2,100.0,0,4,4,0,0,0,0,1,0,0,3,-8,13,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,1164
ALIMERKA OVIEDO BALONCESTO,14,1,D. Shelist,29:10,14,2,3,66.7,3,5,60.0,5,8,62.5,1,1,100.0,0,4,4,0,0,0,0,1,1,2,1,0,14,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1750
ALIMERKA OVIEDO BALONCESTO,35,1,F. Nwaokorie,25:31,4,1,2,50.0,0,5,0.0,1,7,14.3,2,3,66.7,0,2,2,0,1,0,0,1,0,1,2,-10,-1,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1531
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,23:26,9,2,5,40.0,1,1,100.0,3,6,50.0,2,4,50.0,6,2,8,0,0,1,0,1,1,2,1,5,12,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1406
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,09:39,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,2,1,3,2,0,0,0,0,0,1,0,5,2,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,579
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,0
