Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FLEXICAR FUENLABRADA,0,0,I. Aurrecoechea Alcolado,16:20,8,3,6,50.0,0,0,0.0,3,6,50.0,2,2,100.0,1,4,5,1,4,0,0,1,0,2,3,19,8,1384981,https://imagenes.feb.es/foto.aspx?c=1384981,980
FLEXICAR FUENLABRADA,7,1,M. Diaz,20:09,8,1,2,50.0,2,3,66.7,3,5,60.0,0,0,0.0,0,4,4,2,1,0,1,0,0,1,2,12,13,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1209
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,22:19,19,6,9,66.7,2,8,25.0,8,17,47.1,1,1,100.0,2,2,4,2,4,1,0,1,0,2,3,13,14,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1339
FLEXICAR FUENLABRADA,9,0,B. Vidarte Cano,04:30,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,-2,2178977,https://imagenes.feb.es/foto.aspx?c=2178977,270
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,19:34,7,2,7,28.6,1,3,33.3,3,10,30.0,0,0,0.0,0,1,1,1,0,2,0,0,0,3,0,13,1,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1174
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,02:14,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-4,-2,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,134
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,04:55,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,0,-4,-2,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,295
FLEXICAR FUENLABRADA,22,1,B. De Bisschop,23:40,7,3,5,60.0,0,0,0.0,3,5,60.0,1,3,33.3,3,6,9,3,2,0,0,1,0,3,4,-1,14,2703151,https://imagenes.feb.es/foto.aspx?c=2703151,1420
FLEXICAR FUENLABRADA,30,0,P. Rigot,13:29,2,0,0,0.0,0,1,0.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,0,0,0,1,1,4,2,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,809
FLEXICAR FUENLABRADA,32,0,G. Renfroe,26:10,8,1,1,100.0,1,3,33.3,2,4,50.0,3,4,75.0,2,5,7,6,1,2,0,0,0,3,3,13,19,2236015,https://imagenes.feb.es/foto.aspx?c=2236015,1570
FLEXICAR FUENLABRADA,35,1,J. Belemene-Dzabatou,27:11,8,1,2,50.0,2,4,50.0,3,6,50.0,0,0,0.0,4,1,5,0,0,2,1,1,0,1,2,11,14,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1631
