Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HESTIA MENORCA,0,1,E. Vicedo Ayala,04:29,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,1,1,0,1,0,1,1,0,1,0,-5,1,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,269
HESTIA MENORCA,1,0,J. Cone,19:55,9,0,0,0.0,3,6,50.0,3,6,50.0,0,2,0.0,1,1,2,2,1,1,0,0,0,4,2,-2,6,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,1195
HESTIA MENORCA,3,0,N. Galette,35:13,15,3,3,100.0,2,5,40.0,5,8,62.5,3,4,75.0,1,9,10,2,0,2,1,0,0,1,2,12,27,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,2113
HESTIA MENORCA,8,1,F. Schott,19:27,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,4,4,1,1,0,1,0,0,2,2,4,4,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,1167
HESTIA MENORCA,10,1,F. Zurbriggen,23:44,14,4,6,66.7,0,1,0.0,4,7,57.1,6,7,85.7,3,2,5,3,2,0,2,0,0,3,6,13,21,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1424
HESTIA MENORCA,11,0,S. Littleson,27:16,11,3,9,33.3,1,3,33.3,4,12,33.3,2,2,100.0,2,1,3,1,4,2,0,2,0,1,4,14,8,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1636
HESTIA MENORCA,13,0,J. Lobo Martorell,08:10,9,1,4,25.0,2,3,66.7,3,7,42.9,1,2,50.0,0,0,0,1,0,1,0,1,0,0,1,8,7,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,490
HESTIA MENORCA,15,0,P. Molins Calderon,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,0
HESTIA MENORCA,21,1,T. Mcfadden,20:49,3,1,2,50.0,0,6,0.0,1,8,12.5,1,3,33.3,1,1,2,4,2,2,0,0,0,1,1,-4,0,2325133,https://imagenes.feb.es/foto.aspx?c=2325133,1249
HESTIA MENORCA,23,0,E. Wembi,15:41,4,2,4,50.0,0,0,0.0,2,4,50.0,0,2,0.0,0,0,0,0,1,1,1,0,0,3,2,0,0,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,941
HESTIA MENORCA,55,1,A. Sola Iddrisu,20:24,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,1,0,1,0,0,1,-8,4,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1224
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,04:52,4,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0.0,1,0,1,0,1,0,0,0,0,1,0,3,2,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,292
INVEREADY GIPUZKOA,0,0,A. Ngom,22:37,16,8,8,100.0,0,0,0.0,8,8,100.0,0,2,0.0,5,3,8,0,6,0,2,0,4,4,3,-4,17,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,1357
INVEREADY GIPUZKOA,1,0,J. Tate,20:14,9,3,4,75.0,1,3,33.3,4,7,57.1,0,0,0.0,0,0,0,6,2,0,0,0,0,5,0,4,5,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,1214
INVEREADY GIPUZKOA,2,0,O. Hanzlik,16:02,3,0,0,0.0,1,4,25.0,1,4,25.0,0,0,0.0,0,2,2,0,0,0,1,0,0,0,0,-10,3,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,962
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,06:19,2,1,1,100.0,0,2,0.0,1,3,33.3,0,0,0.0,1,0,1,1,0,0,0,1,0,2,1,-9,1,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,379
INVEREADY GIPUZKOA,10,1,M. Ansorregui Deba,30:08,9,3,9,33.3,1,1,100.0,4,10,40.0,0,0,0.0,0,2,2,2,1,1,1,1,0,0,0,-10,8,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1808
INVEREADY GIPUZKOA,11,1,G. Maiza Apecechea,28:53,6,0,2,0.0,2,4,50.0,2,6,33.3,0,0,0.0,0,2,2,4,4,2,0,2,0,4,6,2,8,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,1733
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,15:06,5,1,4,25.0,0,0,0.0,1,4,25.0,3,3,100.0,0,2,2,0,0,0,0,1,0,4,3,5,3,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,906
INVEREADY GIPUZKOA,13,1,T. Mcghie,30:46,9,2,4,50.0,1,5,20.0,3,9,33.3,2,4,50.0,0,3,3,2,0,2,1,0,0,1,2,-11,10,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1846
INVEREADY GIPUZKOA,22,1,G. Korsantia,25:04,5,2,7,28.6,0,0,0.0,2,7,28.6,1,2,50.0,1,4,5,3,4,4,0,1,0,2,2,-2,7,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1504
INVEREADY GIPUZKOA,24,0,I. Arroyo Varela,04:51,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,-1,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,291
