Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
PALMER BASKET MALLORCA PALMA,0,0,H. Atencia Suarez,29:08,12,2,5,40.0,2,9,22.2,4,14,28.6,2,3,66.7,0,0,0,4,1,0,0,1,0,2,4,-10,6,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1748
PALMER BASKET MALLORCA PALMA,5,1,P. Scrubb,35:56,17,4,6,66.7,2,6,33.3,6,12,50.0,3,3,100.0,1,4,5,8,3,1,2,0,0,1,7,-14,30,2863891,https://imagenes.feb.es/foto.aspx?c=2863891,2156
PALMER BASKET MALLORCA PALMA,7,1,D. Sanadze,33:13,13,2,7,28.6,2,7,28.6,4,14,28.6,3,5,60.0,1,2,3,1,3,0,1,1,0,1,3,7,5,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1993
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,0
PALMER BASKET MALLORCA PALMA,9,0,A. Urdiain Labayen,12:43,9,0,0,0.0,3,5,60.0,3,5,60.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,-6,7,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,763
PALMER BASKET MALLORCA PALMA,10,0,G. Dike Egun,17:06,5,1,1,100.0,1,2,50.0,2,3,66.7,0,0,0.0,0,4,4,2,0,0,0,0,0,4,0,-3,6,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,1026
PALMER BASKET MALLORCA PALMA,12,1,J. Carralero Martin,21:08,3,1,5,20.0,0,1,0.0,1,6,16.7,1,2,50.0,4,1,5,0,1,0,2,0,1,3,1,-3,1,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,1268
PALMER BASKET MALLORCA PALMA,15,1,J. Feliu Espejo,13:03,5,1,2,50.0,1,2,50.0,2,4,50.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,3,3,1688669,https://imagenes.feb.es/foto.aspx?c=1688669,783
PALMER BASKET MALLORCA PALMA,17,0,A. Almenta Macias,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909300,https://imagenes.feb.es/foto.aspx?c=1909300,0
PALMER BASKET MALLORCA PALMA,22,0,N. Camacho De Sá,18:40,9,1,5,20.0,1,3,33.3,2,8,25.0,4,5,80.0,1,0,1,0,0,0,0,0,0,1,2,-12,4,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,1120
PALMER BASKET MALLORCA PALMA,23,0,J. Roberts,09:43,2,0,3,0.0,0,0,0.0,0,3,0.0,2,2,100.0,4,1,5,1,0,0,0,0,0,3,2,2,4,2860169,https://imagenes.feb.es/foto.aspx?c=2860169,583
PALMER BASKET MALLORCA PALMA,47,1,A. Izaw Bolavie,34:20,4,2,6,33.3,0,0,0.0,2,6,33.3,0,0,0.0,2,7,9,1,2,2,4,0,1,4,0,-9,10,2812898,https://imagenes.feb.es/foto.aspx?c=2812898,2060
FLEXICAR FUENLABRADA,0,1,I. Aurrecoechea Alcolado,33:03,20,8,13,61.5,0,0,0.0,8,13,61.5,4,5,80.0,5,9,14,2,4,0,0,3,0,2,6,3,30,1384981,https://imagenes.feb.es/foto.aspx?c=1384981,1983
FLEXICAR FUENLABRADA,7,0,M. Diaz,30:58,15,4,5,80.0,2,4,50.0,6,9,66.7,1,1,100.0,0,2,2,2,1,0,0,0,0,2,2,12,15,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1858
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,32:54,15,2,7,28.6,3,8,37.5,5,15,33.3,2,2,100.0,0,6,6,0,5,0,0,0,0,4,3,2,5,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1974
FLEXICAR FUENLABRADA,9,0,A. Rupérez Vázquez,01:25,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,2224747,https://imagenes.feb.es/foto.aspx?c=2224747,85
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,38:12,20,6,11,54.5,2,5,40.0,8,16,50.0,2,4,50.0,0,4,4,4,0,4,0,3,0,2,4,12,24,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,2292
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,0
FLEXICAR FUENLABRADA,22,0,B. De Bisschop,28:10,6,3,9,33.3,0,0,0.0,3,9,33.3,0,0,0.0,4,3,7,2,0,0,1,2,1,4,1,15,7,2703151,https://imagenes.feb.es/foto.aspx?c=2703151,1690
FLEXICAR FUENLABRADA,32,1,G. Renfroe,27:51,5,1,2,50.0,1,3,33.3,2,5,40.0,0,0,0.0,0,3,3,2,2,0,0,1,0,0,2,-1,7,2236015,https://imagenes.feb.es/foto.aspx?c=2236015,1671
FLEXICAR FUENLABRADA,35,1,J. Belemene-Dzabatou,26:00,6,0,2,0.0,2,4,50.0,2,6,33.3,0,0,0.0,1,1,2,0,1,0,1,0,0,3,0,5,1,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1560
FLEXICAR FUENLABRADA,88,0,J. Kasibabu Shilala,06:27,1,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,1,0,0,0,0,3,1,-4,-3,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,387
