Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
LEYMA CORUÑA,0,0,D. Cuevas Simarro,21:13,4,0,1,0.0,0,2,0.0,0,3,0.0,4,6,66.7,0,2,2,11,2,0,0,0,0,0,4,16,14,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1273
LEYMA CORUÑA,4,1,P. Jorgensen,18:47,4,1,5,20.0,0,3,0.0,1,8,12.5,2,2,100.0,1,1,2,2,0,1,0,0,0,0,1,8,3,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1127
LEYMA CORUÑA,5,1,G. Jou Coll,17:05,12,1,1,100.0,3,5,60.0,4,6,66.7,1,1,100.0,1,4,5,2,0,0,0,0,0,2,2,17,17,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,1025
LEYMA CORUÑA,6,0,M. Braz,04:59,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,1,2,0,1,0,1,0,0,0,0,0,1,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,299
LEYMA CORUÑA,8,1,D. Radoncic,20:06,10,3,4,75.0,1,4,25.0,4,8,50.0,1,2,50.0,1,2,3,3,1,0,0,0,0,3,3,11,10,2843861,https://imagenes.feb.es/foto.aspx?c=2843861,1206
LEYMA CORUÑA,9,1,C. De Souza Pacheco,18:47,6,1,4,25.0,1,3,33.3,2,7,28.6,1,1,100.0,0,0,0,4,2,1,0,0,0,4,1,6,1,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,1127
LEYMA CORUÑA,13,0,D. Brnovic,11:17,6,0,0,0.0,2,4,50.0,2,4,50.0,0,0,0.0,1,4,5,0,0,1,0,0,0,0,0,14,10,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,677
LEYMA CORUÑA,21,0,I. Diop Gaye,18:47,6,3,5,60.0,0,2,0.0,3,7,42.9,0,0,0.0,4,6,10,1,1,1,0,0,0,3,1,-2,11,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1127
LEYMA CORUÑA,24,0,J. Cremo,21:13,16,1,4,25.0,4,6,66.7,5,10,50.0,2,2,100.0,1,3,4,1,1,1,0,1,0,3,2,14,15,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1273
LEYMA CORUÑA,34,1,S. Barro,15:49,9,2,2,100.0,0,0,0.0,2,2,100.0,5,6,83.3,2,5,7,2,1,0,1,0,0,3,3,13,17,2862313,https://imagenes.feb.es/foto.aspx?c=2862313,949
LEYMA CORUÑA,44,0,A. Thiam,17:33,8,4,11,36.4,0,0,0.0,4,11,36.4,0,0,0.0,2,2,4,1,0,0,0,0,2,2,0,14,4,2815798,https://imagenes.feb.es/foto.aspx?c=2815798,1053
LEYMA CORUÑA,50,0,J. Diaz Alejano,14:24,13,3,3,100.0,2,3,66.7,5,6,83.3,1,1,100.0,1,1,2,0,2,0,0,0,0,1,1,-1,12,1541543,https://imagenes.feb.es/foto.aspx?c=1541543,864
FIBWI MALLORCA BASQUET PALMA ,0,0,A. Scariolo Ares,21:42,9,3,5,60.0,0,1,0.0,3,6,50.0,3,5,60.0,0,1,1,3,1,1,0,1,0,2,6,-15,12,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,1302
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,18:47,8,4,5,80.0,0,0,0.0,4,5,80.0,0,0,0.0,1,0,1,0,0,0,0,0,0,2,0,-9,6,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,1127
FIBWI MALLORCA BASQUET PALMA ,6,1,J. Bocca,28:03,7,0,1,0.0,2,3,66.7,2,4,50.0,1,3,33.3,0,1,1,2,0,1,0,0,0,2,2,-12,7,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,1683
FIBWI MALLORCA BASQUET PALMA ,10,0,A. Bosch Domingo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597927,https://imagenes.feb.es/foto.aspx?c=1597927,0
