Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MONBUS OBRADOIRO,1,0,M. Speight,10:29,3,0,3,0.0,1,2,50.0,1,5,20.0,0,0,0.0,0,1,1,0,1,1,0,0,0,3,0,-6,-3,2433193,https://imagenes.feb.es/foto.aspx?c=2433193,629
MONBUS OBRADOIRO,7,1,F. Dos Anjos De Paula,25:01,18,8,9,88.9,0,0,0.0,8,9,88.9,2,2,100.0,2,1,3,1,0,1,1,0,5,1,1,4,23,2219665,https://imagenes.feb.es/foto.aspx?c=2219665,1501
MONBUS OBRADOIRO,9,1,L. Westermann,28:56,14,1,8,12.5,3,5,60.0,4,13,30.8,3,6,50.0,1,2,3,5,3,3,0,0,0,2,8,18,16,2436780,https://imagenes.feb.es/foto.aspx?c=2436780,1736
MONBUS OBRADOIRO,10,0,A. Grela Rojas,00:35,2,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,1,0,3,2533473,https://imagenes.feb.es/foto.aspx?c=2533473,35
MONBUS OBRADOIRO,11,0,D. Kravic,14:59,4,1,4,25.0,0,0,0.0,1,4,25.0,2,4,50.0,1,4,5,2,1,0,0,0,0,1,2,8,6,2371461,https://imagenes.feb.es/foto.aspx?c=2371461,899
MONBUS OBRADOIRO,16,1,A. Etxeguren Gonzalez,15:45,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,0,1,-2,3,2082696,https://imagenes.feb.es/foto.aspx?c=2082696,945
MONBUS OBRADOIRO,23,1,Y. Barrueta,28:01,9,3,3,100.0,1,6,16.7,4,9,44.4,0,0,0.0,2,7,9,1,0,0,0,0,1,0,0,0,14,2524267,https://imagenes.feb.es/foto.aspx?c=2524267,1681
MONBUS OBRADOIRO,24,0,D. De Sousa Anjo Brito,17:46,5,1,2,50.0,1,2,50.0,2,4,50.0,0,0,0.0,0,3,3,3,0,1,0,1,0,2,1,15,9,2528063,https://imagenes.feb.es/foto.aspx?c=2528063,1066
MONBUS OBRADOIRO,25,0,S. Quintela Salvador,19:11,11,3,9,33.3,1,2,50.0,4,11,36.4,2,3,66.7,2,3,5,4,2,3,0,0,0,2,4,6,15,2220063,https://imagenes.feb.es/foto.aspx?c=2220063,1151
MONBUS OBRADOIRO,28,1,A. Barcello,24:49,16,2,6,33.3,2,4,50.0,4,10,40.0,6,6,100.0,0,4,4,4,0,2,0,1,0,0,4,6,24,2640794,https://imagenes.feb.es/foto.aspx?c=2640794,1489
MONBUS OBRADOIRO,46,0,D. Maseda Soilan,00:19,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0,2108616,https://imagenes.feb.es/foto.aspx?c=2108616,19
MONBUS OBRADOIRO,57,0,A. Galan Pozo ,14:09,5,1,2,50.0,1,2,50.0,2,4,50.0,0,0,0.0,0,0,0,0,0,0,1,0,1,5,0,14,-1,1836771,https://imagenes.feb.es/foto.aspx?c=1836771,849
HLA ALICANTE,3,0,U. Mendicote Rubio,17:09,5,2,4,50.0,0,1,0.0,2,5,40.0,1,2,50.0,0,2,2,0,0,0,0,1,0,0,3,-16,6,1869378,https://imagenes.feb.es/foto.aspx?c=1869378,1029
HLA ALICANTE,4,0,S. Ceccardi,16:57,8,1,2,50.0,1,3,33.3,2,5,40.0,3,3,100.0,0,2,2,4,3,0,0,0,0,2,3,-16,9,2787126,https://imagenes.feb.es/foto.aspx?c=2787126,1017
HLA ALICANTE,8,0,J. Mwema,19:22,11,1,1,100.0,3,4,75.0,4,5,80.0,0,0,0.0,0,5,5,0,0,0,1,0,0,2,1,-15,15,2734619,https://imagenes.feb.es/foto.aspx?c=2734619,1162
HLA ALICANTE,10,1,E. Polanco Tavarez,29:03,12,2,5,40.0,2,4,50.0,4,9,44.4,2,2,100.0,0,6,6,1,3,1,0,0,0,3,2,-13,11,2863973,https://imagenes.feb.es/foto.aspx?c=2863973,1743
HLA ALICANTE,12,0,B. Coulibaly,11:33,4,1,2,50.0,0,0,0.0,1,2,50.0,2,2,100.0,2,2,4,0,1,0,0,0,0,1,1,3,6,2818653,https://imagenes.feb.es/foto.aspx?c=2818653,693
HLA ALICANTE,13,1,K. Larsen,28:27,3,0,5,0.0,1,5,20.0,1,10,10.0,0,0,0.0,1,2,3,3,2,1,1,0,0,0,0,-15,0,2433482,https://imagenes.feb.es/foto.aspx?c=2433482,1707
HLA ALICANTE,14,0,I. Tamba Villen,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997161,https://imagenes.feb.es/foto.aspx?c=1997161,0
HLA ALICANTE,15,1,T. Richardson,21:29,12,3,4,75.0,2,5,40.0,5,9,55.6,0,0,0.0,0,9,9,2,4,1,0,0,0,3,0,4,13,2836470,https://imagenes.feb.es/foto.aspx?c=2836470,1289
HLA ALICANTE,21,0,A. Jorda Rodriguez,10:57,5,1,1,100.0,1,4,25.0,2,5,40.0,0,0,0.0,0,0,0,0,3,0,0,0,0,1,1,1,-1,1676991,https://imagenes.feb.es/foto.aspx?c=1676991,657
HLA ALICANTE,23,1,D. Geu,21:30,12,3,4,75.0,2,4,50.0,5,8,62.5,0,2,0.0,2,2,4,0,0,0,0,1,0,5,1,0,7,2817123,https://imagenes.feb.es/foto.aspx?c=2817123,1290
HLA ALICANTE,24,0,S. Llorente Paz,01:57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,3,0,1381662,https://imagenes.feb.es/foto.aspx?c=1381662,117
HLA ALICANTE,33,1,M. Torres Cuevas,21:36,3,0,2,0.0,0,2,0.0,0,4,0.0,3,4,75.0,2,1,3,5,2,1,0,0,0,4,4,4,5,1285873,https://imagenes.feb.es/foto.aspx?c=1285873,1296
