Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MOVISTAR ESTUDIANTES,1,0,A. González Pérez,05:00,4,2,4,50.0,0,0,0.0,2,4,50.0,0,0,0.0,4,1,5,1,0,0,0,1,0,1,2,3,9,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,300
MOVISTAR ESTUDIANTES,6,0,L. Giovannetti,13:18,5,1,1,100.0,1,3,33.3,2,4,50.0,0,0,0.0,1,0,1,0,0,1,0,0,0,2,0,15,3,2433615,https://imagenes.feb.es/foto.aspx?c=2433615,798
MOVISTAR ESTUDIANTES,8,0,G. Filipovic,17:14,8,1,5,20.0,0,3,0.0,1,8,12.5,6,7,85.7,1,0,1,1,1,1,0,0,1,2,4,15,4,2524266,https://imagenes.feb.es/foto.aspx?c=2524266,1034
MOVISTAR ESTUDIANTES,9,0,S. Salin,23:05,14,2,4,50.0,2,6,33.3,4,10,40.0,4,6,66.7,0,0,0,2,1,1,0,0,0,2,2,19,8,2815072,https://imagenes.feb.es/foto.aspx?c=2815072,1385
MOVISTAR ESTUDIANTES,10,1,S. Garcia Calvo,25:23,12,2,2,100.0,2,5,40.0,4,7,57.1,2,4,50.0,0,5,5,3,3,0,0,0,0,2,2,-9,12,1517914,https://imagenes.feb.es/foto.aspx?c=1517914,1523
MOVISTAR ESTUDIANTES,15,0,T. Mc Grew,20:02,9,1,1,100.0,0,2,0.0,1,3,33.3,7,8,87.5,1,6,7,1,1,0,0,0,0,3,5,15,15,2818742,https://imagenes.feb.es/foto.aspx?c=2818742,1202
MOVISTAR ESTUDIANTES,18,0,M. Sola Idrisu,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2161529,https://imagenes.feb.es/foto.aspx?c=2161529,0
MOVISTAR ESTUDIANTES,19,0,H. Lopez Barrantes,13:38,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,5,6,1,2,0,0,0,0,2,0,2,5,2032354,https://imagenes.feb.es/foto.aspx?c=2032354,818
MOVISTAR ESTUDIANTES,22,1,J. Vaulet,24:54,6,3,5,60.0,0,0,0.0,3,5,60.0,0,0,0.0,1,2,3,0,2,0,0,0,0,2,2,-3,5,2818741,https://imagenes.feb.es/foto.aspx?c=2818741,1494
MOVISTAR ESTUDIANTES,24,1,L. Nwogbo,16:26,7,2,2,100.0,0,0,0.0,2,2,100.0,3,6,50.0,1,4,5,0,3,0,0,0,0,3,5,-3,8,2648543,https://imagenes.feb.es/foto.aspx?c=2648543,986
MOVISTAR ESTUDIANTES,29,1,P. Garino Gullotta ,27:42,14,4,7,57.1,1,2,50.0,5,9,55.6,3,4,75.0,1,3,4,0,0,1,0,0,1,3,3,-5,14,2275135,https://imagenes.feb.es/foto.aspx?c=2275135,1662
MOVISTAR ESTUDIANTES,51,1,O. Silverio Grullon,13:18,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,1,0,0,0,2,2,-14,-2,2790189,https://imagenes.feb.es/foto.aspx?c=2790189,798
GRUPO ALEGA CANTABRIA,2,0,J. Powell,11:06,6,1,4,25.0,1,3,33.3,2,7,28.6,1,1,100.0,0,0,0,0,1,1,0,0,0,2,2,-4,1,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,666
GRUPO ALEGA CANTABRIA,6,0,C. Taboada Heiskanen,04:23,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,0,-1,1899194,https://imagenes.feb.es/foto.aspx?c=1899194,263
GRUPO ALEGA CANTABRIA,8,0,S. Rodríguez Ramos,23:11,16,3,4,75.0,2,5,40.0,5,9,55.6,4,5,80.0,1,1,2,1,0,0,0,0,0,0,6,-9,20,841966,https://imagenes.feb.es/foto.aspx?c=841966,1391
GRUPO ALEGA CANTABRIA,9,1,B. Lugarini,23:27,2,1,3,33.3,0,2,0.0,1,5,20.0,0,0,0.0,0,5,5,2,2,1,1,0,0,3,2,-2,4,2481151,https://imagenes.feb.es/foto.aspx?c=2481151,1407
GRUPO ALEGA CANTABRIA,10,1,G. Martinez Diaz,16:32,7,2,3,66.7,1,2,50.0,3,5,60.0,0,0,0.0,0,0,0,3,2,0,0,0,0,5,1,4,2,1821694,https://imagenes.feb.es/foto.aspx?c=1821694,992
GRUPO ALEGA CANTABRIA,11,0,J. Yu,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2815820,https://imagenes.feb.es/foto.aspx?c=2815820,0
GRUPO ALEGA CANTABRIA,12,1,D. Alderete Diaz,15:50,4,2,2,100.0,0,1,0.0,2,3,66.7,0,0,0.0,0,1,1,0,0,2,0,0,0,0,2,2,8,1676845,https://imagenes.feb.es/foto.aspx?c=1676845,950
