Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO CAESA SEGUROS FC CARTAGENA CB,1,0,C. Polynice,02:59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,-3,1,2862304,https://imagenes.feb.es/foto.aspx?c=2862304,179
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,1,A. Garuba Alari,36:40,23,4,5,80.0,3,7,42.9,7,12,58.3,6,8,75.0,0,2,2,1,1,2,0,1,0,2,8,9,26,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,2200
GRUPO CAESA SEGUROS FC CARTAGENA CB,3,0,D. Yañez Gambin,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064697,https://imagenes.feb.es/foto.aspx?c=2064697,0
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,1,I. Rivera Carroll,25:13,5,1,6,16.7,1,2,50.0,2,8,25.0,0,0,0.0,2,2,4,3,0,0,0,1,0,0,0,2,6,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,1513
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,0,A. Martin Marin,23:17,9,1,3,33.3,1,2,50.0,2,5,40.0,4,5,80.0,0,0,0,2,3,0,0,0,0,5,6,-6,5,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,1397
GRUPO CAESA SEGUROS FC CARTAGENA CB,10,1,K. Webster,41:40,16,5,14,35.7,2,11,18.2,7,25,28.0,0,1,0.0,0,5,5,6,2,2,0,0,0,4,2,20,6,2862296,https://imagenes.feb.es/foto.aspx?c=2862296,2500
GRUPO CAESA SEGUROS FC CARTAGENA CB,11,1,E. Idehen Idehen,27:09,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,4,8,12,0,1,1,0,1,0,5,0,19,7,2525411,https://imagenes.feb.es/foto.aspx?c=2525411,1629
GRUPO CAESA SEGUROS FC CARTAGENA CB,12,1,A. Domenech Fontana,38:19,23,6,9,66.7,2,3,66.7,8,12,66.7,5,6,83.3,0,3,3,0,0,5,2,0,3,4,5,20,29,1923881,https://imagenes.feb.es/foto.aspx?c=1923881,2299
GRUPO CAESA SEGUROS FC CARTAGENA CB,13,0,V. Faverani Tatsch,22:36,6,1,4,25.0,0,0,0.0,1,4,25.0,4,4,100.0,2,6,8,0,1,1,1,1,0,2,5,-17,15,2820135,https://imagenes.feb.es/foto.aspx?c=2820135,1356
GRUPO CAESA SEGUROS FC CARTAGENA CB,15,0,M. Ayesa Rodriguez,02:46,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,2736779,https://imagenes.feb.es/foto.aspx?c=2736779,166
