Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,23:00,23,4,7,57.1,3,5,60.0,7,12,58.3,6,7,85.7,0,2,2,7,2,2,0,1,0,1,8,16,33,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1380
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,17:28,8,4,5,80.0,0,0,0.0,4,5,80.0,0,0,0.0,2,3,5,0,1,0,0,0,1,2,1,10,10,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,1048
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,29:08,17,1,5,20.0,4,7,57.1,5,12,41.7,3,3,100.0,0,5,5,2,0,0,0,0,0,2,3,23,18,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1748
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,25:39,13,1,3,33.3,3,7,42.9,4,10,40.0,2,3,66.7,0,1,1,4,0,1,0,0,0,4,4,22,12,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1539
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,0
ALIMERKA OVIEDO BALONCESTO,14,0,D. Shelist,20:33,7,1,1,100.0,1,4,25.0,2,5,40.0,2,2,100.0,0,4,4,0,1,1,0,0,1,1,1,13,8,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1233
ALIMERKA OVIEDO BALONCESTO,35,1,F. Nwaokorie,22:35,11,1,1,100.0,3,5,60.0,4,6,66.7,0,0,0.0,0,3,3,1,0,0,0,0,0,1,0,21,12,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1355
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,20:52,3,1,3,33.3,0,3,0.0,1,6,16.7,1,4,25.0,5,7,12,3,2,2,0,0,0,2,3,19,11,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1252
ALIMERKA OVIEDO BALONCESTO,44,1,P. Gonzalez Longarela,18:35,7,0,0,0.0,2,5,40.0,2,5,40.0,1,4,25.0,1,0,1,3,2,0,1,0,0,5,3,15,2,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,1115
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,22:10,12,0,0,0.0,4,5,80.0,4,5,80.0,0,0,0.0,2,2,4,1,0,0,0,0,0,0,1,16,17,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,1330
MELILLA CIUDAD DEL DEPORTE,0,0,J. Godspower Johnson,12:54,7,2,2,100.0,1,1,100.0,3,3,100.0,0,1,0.0,0,2,2,1,1,0,0,0,0,4,1,-8,5,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,774
MELILLA CIUDAD DEL DEPORTE,1,0,D. Poirier,14:21,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,4,4,0,2,0,0,0,0,2,0,-6,-1,2451278,https://imagenes.feb.es/foto.aspx?c=2451278,861
MELILLA CIUDAD DEL DEPORTE,5,0,M. Heron,24:45,15,3,8,37.5,3,6,50.0,6,14,42.9,0,0,0.0,0,2,2,1,0,0,0,0,0,0,1,-23,11,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,1485
MELILLA CIUDAD DEL DEPORTE,7,1,P. Cordoba Muro,20:24,11,1,1,100.0,3,5,60.0,4,6,66.7,0,0,0.0,1,0,1,2,2,0,0,0,0,2,2,-21,10,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,1224
MELILLA CIUDAD DEL DEPORTE,9,1,I. Cruz Uceda,25:45,9,2,6,33.3,1,3,33.3,3,9,33.3,2,2,100.0,1,5,6,4,3,0,0,0,0,2,1,-16,9,1382710,https://imagenes.feb.es/foto.aspx?c=1382710,1545
MELILLA CIUDAD DEL DEPORTE,12,0,P. Krutous,10:41,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,5,0,2734873,https://imagenes.feb.es/foto.aspx?c=2734873,641
MELILLA CIUDAD DEL DEPORTE,13,1,S. Rodriguez Febles,16:31,4,2,6,33.3,0,3,0.0,2,9,22.2,0,0,0.0,1,3,4,2,0,0,0,1,0,3,2,-12,2,1373532,https://imagenes.feb.es/foto.aspx?c=1373532,991
MELILLA CIUDAD DEL DEPORTE,21,1,L. Debaut,22:44,11,1,2,50.0,1,2,50.0,2,4,50.0,6,9,66.7,1,3,4,0,1,3,1,0,0,4,6,-22,15,2647156,https://imagenes.feb.es/foto.aspx?c=2647156,1364
MELILLA CIUDAD DEL DEPORTE,22,0,C. Diaz Rodriguez,17:30,7,0,4,0.0,1,3,33.3,1,7,14.3,4,4,100.0,0,1,1,2,0,0,0,0,0,1,4,-5,7,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1050
MELILLA CIUDAD DEL DEPORTE,33,0,M. Stilma,04:16,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,-10,3,2734242,https://imagenes.feb.es/foto.aspx?c=2734242,256
MELILLA CIUDAD DEL DEPORTE,44,1,J. Garcia Sanchez,21:04,4,1,3,33.3,0,1,0.0,1,4,25.0,2,2,100.0,0,0,0,3,1,0,0,0,0,2,1,-19,2,1978541,https://imagenes.feb.es/foto.aspx?c=1978541,1264
MELILLA CIUDAD DEL DEPORTE,63,0,J. Ezquerra Trelles,09:05,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,3,0,-18,-5,2864599,https://imagenes.feb.es/foto.aspx?c=2864599,545
