Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
SÚPER AGROPAL PALENCIA,2,1,A. Wintering,25:25,6,3,9,33.3,0,1,0.0,3,10,30.0,0,0,0.0,2,4,6,4,2,2,0,0,0,3,0,11,6,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,1525
SÚPER AGROPAL PALENCIA,6,1,T. Borg,28:31,15,1,3,33.3,3,4,75.0,4,7,57.1,4,6,66.7,0,3,3,0,4,1,0,0,0,3,7,15,14,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1711
SÚPER AGROPAL PALENCIA,7,0,X. Oroz Uria,14:08,3,1,3,33.3,0,1,0.0,1,4,25.0,1,2,50.0,1,1,2,0,1,0,0,1,0,2,1,-2,-1,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,848
SÚPER AGROPAL PALENCIA,8,0,I. Jakovics,28:07,26,5,6,83.3,3,4,75.0,8,10,80.0,7,9,77.8,0,2,2,4,0,1,0,1,0,3,10,12,36,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,1687
SÚPER AGROPAL PALENCIA,9,1,M. Kamba,28:02,9,4,4,100.0,0,0,0.0,4,4,100.0,1,3,33.3,1,0,1,0,0,1,0,0,0,2,3,-5,10,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,1682
SÚPER AGROPAL PALENCIA,11,0,M. Rodriguez Barrientos,03:54,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,-5,0,1376540,https://imagenes.feb.es/foto.aspx?c=1376540,234
SÚPER AGROPAL PALENCIA,13,1,J. Vrankic,26:05,12,4,5,80.0,0,4,0.0,4,9,44.4,4,5,80.0,2,3,5,1,0,0,0,0,0,4,4,7,12,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1565
SÚPER AGROPAL PALENCIA,15,0,J. Gonzalez Calvo,01:34,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,-3,-1,1382607,https://imagenes.feb.es/foto.aspx?c=1382607,94
SÚPER AGROPAL PALENCIA,17,1,M. Armus,25:53,12,5,9,55.6,0,0,0.0,5,9,55.6,2,2,100.0,3,2,5,1,1,1,0,2,1,4,1,27,11,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,1553
SÚPER AGROPAL PALENCIA,31,0,S. Ugochukwu,12:02,0,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,1,2,-17,0,2738742,https://imagenes.feb.es/foto.aspx?c=2738742,722
