Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,19:43,6,0,0,0.0,2,6,33.3,2,6,33.3,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,4,2,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1183
GRUPO URETA TIZONA BURGOS,8,1,F. Terins,13:01,5,1,1,100.0,1,2,50.0,2,3,66.7,0,0,0.0,0,2,2,1,3,3,0,0,0,4,1,16,4,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,781
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,22:24,10,2,4,50.0,1,3,33.3,3,7,42.9,3,6,50.0,0,2,2,2,2,2,0,0,1,2,4,5,9,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1344
GRUPO URETA TIZONA BURGOS,13,0,R. Vila Soley,15:16,4,1,3,33.3,0,0,0.0,1,3,33.3,2,4,50.0,1,1,2,1,0,2,0,1,1,4,2,-12,3,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,916
GRUPO URETA TIZONA BURGOS,21,0,G. Gil Garcia,17:19,11,1,3,33.3,2,5,40.0,3,8,37.5,3,4,75.0,1,2,3,1,2,1,0,0,0,5,2,-9,5,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,1039
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,11:20,2,1,1,100.0,0,1,0.0,1,2,50.0,0,0,0.0,0,0,0,1,2,2,0,0,0,1,1,-5,2,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,680
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,17:36,5,1,3,33.3,1,2,50.0,2,5,40.0,0,0,0.0,1,2,3,0,0,1,0,0,0,1,0,-1,5,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,1056
GRUPO URETA TIZONA BURGOS,31,1,J. Brown-Ferguson,24:41,9,4,4,100.0,0,0,0.0,4,4,100.0,1,2,50.0,4,7,11,2,2,0,2,0,1,2,2,16,21,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,1481
GRUPO URETA TIZONA BURGOS,33,0,A. Alonso Cuevas,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,0
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,22:20,8,1,2,50.0,1,2,50.0,2,4,50.0,3,4,75.0,2,3,5,1,4,0,0,1,0,2,2,14,7,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1340
GRUPO URETA TIZONA BURGOS,55,0,G. Jofresa Sarret,20:17,14,1,1,100.0,3,6,50.0,4,7,57.1,3,4,75.0,1,1,2,0,4,1,0,0,0,1,3,0,11,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,1217
GRUPO URETA TIZONA BURGOS,60,0,A. Alonso Ruiz,16:03,6,2,5,40.0,0,0,0.0,2,5,40.0,2,2,100.0,0,0,0,2,2,1,0,0,0,1,1,-8,4,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,963
FIBWI MALLORCA BASQUET PALMA ,0,0,A. Scariolo Ares,26:08,6,2,4,50.0,0,2,0.0,2,6,33.3,2,3,66.7,0,1,1,7,5,2,0,1,0,2,3,14,7,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,1568
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,20:31,10,5,5,100.0,0,0,0.0,5,5,100.0,0,0,0.0,0,5,5,0,1,1,0,0,1,0,2,1,17,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,1231
