Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MONBUS OBRADOIRO,1,0,M. Speight,19:25,6,1,3,33.3,1,3,33.3,2,6,33.3,1,1,100.0,2,2,4,3,4,3,0,0,0,2,2,5,8,2433193,https://imagenes.feb.es/foto.aspx?c=2433193,1165
MONBUS OBRADOIRO,5,0,R. Andersson,12:15,2,0,0,0.0,0,3,0.0,0,3,0.0,2,3,66.7,0,3,3,0,1,0,1,0,0,1,2,-5,2,2524084,https://imagenes.feb.es/foto.aspx?c=2524084,735
MONBUS OBRADOIRO,7,1,F. Dos Anjos De Paula,18:33,20,9,9,100.0,0,0,0.0,9,9,100.0,2,2,100.0,2,1,3,0,0,1,2,0,3,3,4,23,27,2219665,https://imagenes.feb.es/foto.aspx?c=2219665,1113
MONBUS OBRADOIRO,9,1,L. Westermann,22:17,7,2,7,28.6,1,1,100.0,3,8,37.5,0,0,0.0,0,5,5,3,5,1,0,0,0,3,2,12,5,2436780,https://imagenes.feb.es/foto.aspx?c=2436780,1337
MONBUS OBRADOIRO,11,0,D. Kravic,16:35,6,3,7,42.9,0,0,0.0,3,7,42.9,0,0,0.0,1,4,5,1,0,1,0,0,0,1,1,0,9,2371461,https://imagenes.feb.es/foto.aspx?c=2371461,995
MONBUS OBRADOIRO,16,0,A. Etxeguren Gonzalez,04:52,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,-5,0,2082696,https://imagenes.feb.es/foto.aspx?c=2082696,292
MONBUS OBRADOIRO,22,0,T. Munnings,04:50,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,3,1,0,0,0,0,1,0,5,6,2734244,https://imagenes.feb.es/foto.aspx?c=2734244,290
MONBUS OBRADOIRO,23,1,Y. Barrueta,14:53,6,0,1,0.0,2,3,66.7,2,4,50.0,0,0,0.0,0,2,2,0,0,0,0,0,0,3,0,5,3,2524267,https://imagenes.feb.es/foto.aspx?c=2524267,893
MONBUS OBRADOIRO,24,0,D. De Sousa Anjo Brito,19:14,9,1,2,50.0,1,2,50.0,2,4,50.0,4,6,66.7,0,0,0,1,0,1,0,0,0,2,3,12,8,2528063,https://imagenes.feb.es/foto.aspx?c=2528063,1154
MONBUS OBRADOIRO,25,0,S. Quintela Salvador,22:48,6,1,4,25.0,0,3,0.0,1,7,14.3,4,4,100.0,2,3,5,2,3,2,0,0,0,4,6,11,8,2220063,https://imagenes.feb.es/foto.aspx?c=2220063,1368
MONBUS OBRADOIRO,28,1,A. Barcello,21:23,7,2,3,66.7,0,1,0.0,2,4,50.0,3,4,75.0,0,0,0,3,2,2,0,0,0,1,2,9,8,2640794,https://imagenes.feb.es/foto.aspx?c=2640794,1283
MONBUS OBRADOIRO,57,1,A. Galan Pozo ,22:55,14,4,5,80.0,0,0,0.0,4,5,80.0,6,8,75.0,1,4,5,2,1,0,0,0,3,2,6,18,21,1836771,https://imagenes.feb.es/foto.aspx?c=1836771,1375
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,24:25,10,2,4,50.0,2,6,33.3,4,10,40.0,0,0,0.0,0,2,2,2,4,2,0,0,0,3,1,-21,4,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1465
ALIMERKA OVIEDO BALONCESTO,4,1,A. Faure Ribes,13:15,6,3,4,75.0,0,0,0.0,3,4,75.0,0,0,0.0,3,2,5,1,3,1,0,0,1,2,1,-6,8,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,795
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,22:12,8,1,3,33.3,0,6,0.0,1,9,11.1,6,6,100.0,1,0,1,0,2,1,0,0,0,2,4,-16,2,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1332
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,21:10,5,0,4,0.0,1,3,33.3,1,7,14.3,2,2,100.0,2,0,2,3,1,3,0,1,0,4,3,-1,5,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1270
