Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CLOUD.GAL OURENSE BALONCESTO ,3,1,K. Smith,17:32,0,0,1,0.0,0,5,0.0,0,6,0.0,0,0,0.0,1,0,1,3,0,1,0,0,0,2,0,-4,-3,2819338,https://imagenes.feb.es/foto.aspx?c=2819338,1052
CLOUD.GAL OURENSE BALONCESTO ,9,0,C. Okanu,17:15,4,2,8,25.0,0,0,0.0,2,8,25.0,0,0,0.0,1,1,2,3,1,1,0,0,0,3,1,0,1,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,1035
CLOUD.GAL OURENSE BALONCESTO ,10,0,I. Vazquez Perez,23:12,15,3,7,42.9,2,6,33.3,5,13,38.5,3,5,60.0,1,2,3,3,3,3,0,0,0,3,5,12,13,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,1392
CLOUD.GAL OURENSE BALONCESTO ,12,0,S. Huguet Carrasco,09:22,2,1,1,100.0,0,1,0.0,1,2,50.0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,-8,4,1765084,https://imagenes.feb.es/foto.aspx?c=1765084,562
CLOUD.GAL OURENSE BALONCESTO ,22,1,G. Kalscheur,17:05,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,3,0,0,0,0,2,1,-12,-4,2819327,https://imagenes.feb.es/foto.aspx?c=2819327,1025
CLOUD.GAL OURENSE BALONCESTO ,23,0,D. Saraiva Seixas,10:03,0,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0.0,0,2,2,3,0,0,0,0,0,5,0,3,-3,2819332,https://imagenes.feb.es/foto.aspx?c=2819332,603
CLOUD.GAL OURENSE BALONCESTO ,24,1,S. Mc Donnell,29:19,11,2,7,28.6,1,2,50.0,3,9,33.3,4,6,66.7,4,2,6,1,0,2,0,0,0,2,4,5,14,2781800,https://imagenes.feb.es/foto.aspx?c=2781800,1759
CLOUD.GAL OURENSE BALONCESTO ,27,0,M. Iglesias Fernandez,19:07,10,3,5,60.0,0,3,0.0,3,8,37.5,4,5,80.0,0,5,5,1,1,0,0,0,0,2,4,-1,11,1863291,https://imagenes.feb.es/foto.aspx?c=1863291,1147
CLOUD.GAL OURENSE BALONCESTO ,28,1,R. Dias Marques Lisboa Santos,34:20,19,2,5,40.0,5,9,55.6,7,14,50.0,0,0,0.0,2,2,4,3,3,2,0,1,0,2,2,-7,18,2650871,https://imagenes.feb.es/foto.aspx?c=2650871,2060
CLOUD.GAL OURENSE BALONCESTO ,35,1,R. Gill,22:45,8,4,5,80.0,0,0,0.0,4,5,80.0,0,2,0.0,2,4,6,0,0,1,0,1,2,3,2,-3,11,2654188,https://imagenes.feb.es/foto.aspx?c=2654188,1365
FLEXICAR FUENLABRADA,0,1,I. Aurrecoechea Alcolado,28:04,12,4,6,66.7,0,0,0.0,4,6,66.7,4,5,80.0,4,7,11,5,2,1,0,0,0,3,5,-4,26,1384981,https://imagenes.feb.es/foto.aspx?c=1384981,1684
FLEXICAR FUENLABRADA,3,0,A. Rupérez Vázquez,00:28,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2224747,https://imagenes.feb.es/foto.aspx?c=2224747,28
FLEXICAR FUENLABRADA,7,0,M. Diaz,22:29,5,0,5,0.0,1,4,25.0,1,9,11.1,2,2,100.0,0,5,5,6,5,1,0,0,0,2,2,0,4,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1349
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,29:42,11,1,5,20.0,2,8,25.0,3,13,23.1,3,4,75.0,0,0,0,4,5,0,0,0,0,2,1,4,-2,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1782
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,27:24,13,2,4,50.0,2,2,100.0,4,6,66.7,3,3,100.0,1,2,3,2,3,1,0,0,0,2,3,1,15,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1644
