Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO ALEGA CANTABRIA,2,0,J. Powell,17:29,15,1,3,33.3,4,7,57.1,5,10,50.0,1,1,100.0,1,0,1,1,1,0,0,0,0,2,1,-3,10,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,1049
GRUPO ALEGA CANTABRIA,6,0,C. Taboada Heiskanen,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899194,https://imagenes.feb.es/foto.aspx?c=1899194,0
GRUPO ALEGA CANTABRIA,8,1,S. Rodríguez Ramos,25:12,4,1,2,50.0,0,1,0.0,1,3,33.3,2,4,50.0,0,2,2,1,2,0,0,0,1,2,7,6,6,841966,https://imagenes.feb.es/foto.aspx?c=841966,1512
GRUPO ALEGA CANTABRIA,9,0,B. Lugarini,14:48,7,3,6,50.0,0,0,0.0,3,6,50.0,1,2,50.0,1,5,6,0,0,0,0,1,0,2,1,0,8,2481151,https://imagenes.feb.es/foto.aspx?c=2481151,888
GRUPO ALEGA CANTABRIA,10,1,G. Martinez Diaz,29:33,7,3,3,100.0,0,4,0.0,3,7,42.9,1,2,50.0,0,8,8,2,3,1,0,0,0,4,3,2,9,1821694,https://imagenes.feb.es/foto.aspx?c=1821694,1773
GRUPO ALEGA CANTABRIA,11,0,J. Yu,20:17,8,3,4,75.0,0,1,0.0,3,5,60.0,2,2,100.0,2,5,7,4,0,0,1,1,2,0,2,-3,20,2815820,https://imagenes.feb.es/foto.aspx?c=2815820,1217
GRUPO ALEGA CANTABRIA,12,0,D. Alderete Diaz,06:13,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-7,-2,1676845,https://imagenes.feb.es/foto.aspx?c=1676845,373
GRUPO ALEGA CANTABRIA,15,1,P. Hernandez Montenegro,20:54,6,3,4,75.0,0,3,0.0,3,7,42.9,0,0,0.0,0,0,0,2,1,0,0,0,0,1,0,5,2,1442713,https://imagenes.feb.es/foto.aspx?c=1442713,1254
GRUPO ALEGA CANTABRIA,23,0,C. Lutete Iv,17:58,6,0,1,0.0,2,5,40.0,2,6,33.3,0,0,0.0,1,2,3,1,1,0,0,0,0,0,1,7,6,2815518,https://imagenes.feb.es/foto.aspx?c=2815518,1078
GRUPO ALEGA CANTABRIA,31,0,M. Lapornik,02:11,2,0,0,0.0,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,0,1,1,7,1,2864604,https://imagenes.feb.es/foto.aspx?c=2864604,131
GRUPO ALEGA CANTABRIA,32,1,R. Johnson Jr,25:42,14,3,5,60.0,2,3,66.7,5,8,62.5,2,3,66.7,1,1,2,4,2,0,0,0,0,4,5,7,15,2274998,https://imagenes.feb.es/foto.aspx?c=2274998,1542
GRUPO ALEGA CANTABRIA,34,1,G. Kande Kieli,19:43,9,4,5,80.0,0,0,0.0,4,5,80.0,1,2,50.0,2,3,5,0,2,0,0,0,2,3,2,9,9,2446696,https://imagenes.feb.es/foto.aspx?c=2446696,1183
GRUPO CAESA SEGUROS FC CARTAGENA CB,1,0,C. Polynice,09:38,2,1,1,100.0,0,1,0.0,1,2,50.0,0,0,0.0,0,1,1,1,1,0,0,0,0,2,0,-14,0,2862304,https://imagenes.feb.es/foto.aspx?c=2862304,578
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,1,A. Garuba Alari,10:38,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,1,1,1,2,0,0,0,0,3,0,-1,-3,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,638
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,1,I. Rivera Carroll,19:45,7,2,4,50.0,1,3,33.3,3,7,42.9,0,0,0.0,1,2,3,1,0,0,0,0,0,2,0,-12,5,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,1185
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,0,A. Martin Marin,16:18,8,2,3,66.7,0,4,0.0,2,7,28.6,4,4,100.0,0,2,2,3,0,1,0,0,0,0,5,4,14,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,978
GRUPO CAESA SEGUROS FC CARTAGENA CB,10,1,K. Webster,26:17,13,6,9,66.7,0,6,0.0,6,15,40.0,1,2,50.0,1,0,1,2,0,2,0,0,0,3,3,-9,8,2862296,https://imagenes.feb.es/foto.aspx?c=2862296,1577
GRUPO CAESA SEGUROS FC CARTAGENA CB,11,1,E. Idehen Idehen,29:37,8,3,5,60.0,0,0,0.0,3,5,60.0,2,6,33.3,4,9,13,1,0,0,0,1,0,2,7,6,21,2525411,https://imagenes.feb.es/foto.aspx?c=2525411,1777
GRUPO CAESA SEGUROS FC CARTAGENA CB,12,1,A. Domenech Fontana,26:39,5,1,1,100.0,1,3,33.3,2,4,50.0,0,0,0.0,0,4,4,0,2,1,2,0,0,5,1,-15,4,1923881,https://imagenes.feb.es/foto.aspx?c=1923881,1599
GRUPO CAESA SEGUROS FC CARTAGENA CB,15,0,M. Ayesa Rodriguez,25:57,17,1,1,100.0,5,11,45.5,6,12,50.0,0,0,0.0,1,1,2,0,0,0,0,0,0,3,0,15,10,2736779,https://imagenes.feb.es/foto.aspx?c=2736779,1557
GRUPO CAESA SEGUROS FC CARTAGENA CB,19,0,A. Harguindey Maneiro,11:51,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,3,1,5,-2,1997544,https://imagenes.feb.es/foto.aspx?c=1997544,711
GRUPO CAESA SEGUROS FC CARTAGENA CB,20,0,S. Svejcar,23:20,10,0,7,0.0,2,4,50.0,2,11,18.2,4,5,80.0,1,1,2,0,1,1,0,0,0,1,3,-9,4,2816849,https://imagenes.feb.es/foto.aspx?c=2816849,1400
