Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MELILLA CIUDAD DEL DEPORTE,0,0,J. Godspower Johnson,07:29,0,0,0,0.0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,2,2,0,0,0,0,1,0,-5,-3,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,449
MELILLA CIUDAD DEL DEPORTE,3,1,J. Ezquerra Trelles,21:06,0,0,6,0.0,0,2,0.0,0,8,0.0,0,0,0.0,4,0,4,4,6,2,0,0,0,2,2,-14,-4,2864599,https://imagenes.feb.es/foto.aspx?c=2864599,1266
MELILLA CIUDAD DEL DEPORTE,5,1,M. Heron,19:14,16,5,8,62.5,2,3,66.7,7,11,63.6,0,0,0.0,1,0,1,0,3,0,0,0,1,2,1,-17,9,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,1154
MELILLA CIUDAD DEL DEPORTE,7,0,P. Cordoba Muro,19:26,6,0,2,0.0,2,4,50.0,2,6,33.3,0,0,0.0,1,2,3,1,2,1,0,1,0,3,1,-22,3,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,1166
MELILLA CIUDAD DEL DEPORTE,9,1,I. Cruz Uceda,20:30,10,2,3,66.7,2,5,40.0,4,8,50.0,0,0,0.0,2,6,8,3,0,1,0,0,0,1,2,-10,19,1382710,https://imagenes.feb.es/foto.aspx?c=1382710,1230
MELILLA CIUDAD DEL DEPORTE,12,0,P. Krutous,05:50,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,-8,-1,2734873,https://imagenes.feb.es/foto.aspx?c=2734873,350
MELILLA CIUDAD DEL DEPORTE,13,1,S. Rodriguez Febles,21:01,10,3,5,60.0,1,3,33.3,4,8,50.0,1,2,50.0,3,1,4,2,0,0,0,1,0,0,3,-20,14,1373532,https://imagenes.feb.es/foto.aspx?c=1373532,1261
MELILLA CIUDAD DEL DEPORTE,21,0,L. Debaut,21:34,11,5,7,71.4,0,1,0.0,5,8,62.5,1,2,50.0,2,3,5,1,1,1,1,0,3,1,3,-20,16,2647156,https://imagenes.feb.es/foto.aspx?c=2647156,1294
MELILLA CIUDAD DEL DEPORTE,22,0,C. Diaz Rodriguez,19:24,6,0,2,0.0,2,3,66.7,2,5,40.0,0,0,0.0,1,0,1,2,0,2,0,1,0,1,0,-13,7,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1164
MELILLA CIUDAD DEL DEPORTE,33,0,M. Stilma,11:15,5,1,1,100.0,1,3,33.3,2,4,50.0,0,0,0.0,0,3,3,2,1,0,0,0,0,3,0,6,4,2734242,https://imagenes.feb.es/foto.aspx?c=2734242,675
