Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HESTIA MENORCA,0,1,E. Vicedo Ayala,27:07,4,2,2,100.0,0,2,0.0,2,4,50.0,0,0,0.0,2,5,7,0,0,1,0,0,0,2,2,1,10,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1627
HESTIA MENORCA,1,0,J. Cone,12:31,7,2,3,66.7,1,4,25.0,3,7,42.9,0,0,0.0,0,0,0,1,0,1,0,0,0,3,1,8,3,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,751
HESTIA MENORCA,3,0,N. Galette,12:53,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0.0,2,1,3,0,1,1,2,0,0,2,0,7,8,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,773
HESTIA MENORCA,8,1,F. Schott,18:26,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,2,3,0,1,0,0,2,0,-3,0,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,1106
HESTIA MENORCA,10,1,F. Zurbriggen,27:27,15,3,8,37.5,1,1,100.0,4,9,44.4,6,10,60.0,2,11,13,5,1,2,1,0,0,4,7,10,29,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1647
HESTIA MENORCA,11,0,S. Littleson,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,0
HESTIA MENORCA,13,0,J. Lobo Martorell,17:44,21,2,2,100.0,4,7,57.1,6,9,66.7,5,7,71.4,0,0,0,0,2,1,0,0,0,3,4,1,16,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,1064
HESTIA MENORCA,15,0,P. Molins Calderon,05:09,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,2,1,1,0,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,309
HESTIA MENORCA,21,1,T. Mcfadden,26:30,22,4,6,66.7,2,8,25.0,6,14,42.9,8,8,100.0,0,2,2,1,3,0,0,0,0,0,5,1,19,2325133,https://imagenes.feb.es/foto.aspx?c=2325133,1590
HESTIA MENORCA,23,0,E. Wembi,17:18,6,1,5,20.0,0,0,0.0,1,5,20.0,4,6,66.7,2,1,3,3,1,0,0,0,0,3,4,8,6,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,1038
HESTIA MENORCA,55,1,A. Sola Iddrisu,30:39,9,1,2,50.0,2,4,50.0,3,6,50.0,1,1,100.0,0,3,3,0,0,0,0,0,0,3,1,3,7,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1839
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,04:16,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,0,3,0,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,256
GRUPO ALEGA CANTABRIA,2,0,J. Powell,23:06,11,1,2,50.0,0,6,0.0,1,8,12.5,9,9,100.0,0,1,1,2,2,1,0,1,0,3,4,-12,7,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,1386
GRUPO ALEGA CANTABRIA,6,0,C. Taboada Heiskanen,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899194,https://imagenes.feb.es/foto.aspx?c=1899194,0
GRUPO ALEGA CANTABRIA,8,1,S. Rodríguez Ramos,23:34,14,1,4,25.0,2,3,66.7,3,7,42.9,6,7,85.7,0,5,5,0,1,1,0,0,0,2,4,-4,16,841966,https://imagenes.feb.es/foto.aspx?c=841966,1414
GRUPO ALEGA CANTABRIA,9,0,B. Lugarini,14:58,0,0,1,0.0,0,2,0.0,0,3,0.0,0,0,0.0,0,1,1,2,1,0,0,0,0,2,1,-4,-2,2481151,https://imagenes.feb.es/foto.aspx?c=2481151,898
GRUPO ALEGA CANTABRIA,10,1,G. Martinez Diaz,28:04,8,1,1,100.0,0,4,0.0,1,5,20.0,6,7,85.7,2,3,5,8,1,2,0,0,0,4,4,-9,17,1821694,https://imagenes.feb.es/foto.aspx?c=1821694,1684
GRUPO ALEGA CANTABRIA,11,1,J. Yu,24:50,15,3,5,60.0,1,3,33.3,4,8,50.0,6,7,85.7,0,2,2,2,2,0,0,0,1,4,5,-2,13,2815820,https://imagenes.feb.es/foto.aspx?c=2815820,1490
GRUPO ALEGA CANTABRIA,12,1,D. Alderete Diaz,24:21,4,2,4,50.0,0,1,0.0,2,5,40.0,0,0,0.0,2,3,5,0,0,1,0,1,0,0,0,2,7,1676845,https://imagenes.feb.es/foto.aspx?c=1676845,1461
GRUPO ALEGA CANTABRIA,15,0,P. Hernandez Montenegro,14:04,7,1,3,33.3,1,3,33.3,2,6,33.3,2,2,100.0,1,1,2,2,1,0,0,1,0,3,4,-1,7,1442713,https://imagenes.feb.es/foto.aspx?c=1442713,844
GRUPO ALEGA CANTABRIA,32,1,R. Johnson Jr,31:53,20,3,8,37.5,4,6,66.7,7,14,50.0,2,3,66.7,0,2,2,3,3,1,0,1,0,4,2,-4,13,2274998,https://imagenes.feb.es/foto.aspx?c=2274998,1913
GRUPO ALEGA CANTABRIA,34,0,G. Kande Kieli,15:10,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,2,0,2,0,1,0,0,0,0,3,1,-6,1,2446696,https://imagenes.feb.es/foto.aspx?c=2446696,910
