Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MOVISTAR ESTUDIANTES,1,1,A. González Pérez,23:46,2,0,1,0.0,0,0,0.0,0,1,0.0,2,6,33.3,0,3,3,0,2,1,0,0,0,2,3,-20,0,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,1426
MOVISTAR ESTUDIANTES,6,0,L. Giovannetti,25:09,7,2,2,100.0,0,1,0.0,2,3,66.7,3,5,60.0,3,0,3,0,1,1,0,0,1,2,2,-14,7,2433615,https://imagenes.feb.es/foto.aspx?c=2433615,1509
MOVISTAR ESTUDIANTES,7,0,M. Niang,08:30,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,2,1,1,-3,2865685,https://imagenes.feb.es/foto.aspx?c=2865685,510
MOVISTAR ESTUDIANTES,8,0,G. Filipovic,13:37,2,1,2,50.0,0,2,0.0,1,4,25.0,0,0,0.0,0,0,0,1,1,0,0,0,0,1,0,-7,-2,2524266,https://imagenes.feb.es/foto.aspx?c=2524266,817
MOVISTAR ESTUDIANTES,9,0,S. Salin,10:02,7,1,1,100.0,1,4,25.0,2,5,40.0,2,2,100.0,0,3,3,1,2,0,0,0,0,2,5,-7,9,2815072,https://imagenes.feb.es/foto.aspx?c=2815072,602
MOVISTAR ESTUDIANTES,10,1,S. Garcia Calvo,26:23,6,1,2,50.0,1,6,16.7,2,8,25.0,1,2,50.0,1,4,5,5,3,1,0,0,0,1,4,-15,10,1517914,https://imagenes.feb.es/foto.aspx?c=1517914,1583
MOVISTAR ESTUDIANTES,15,0,T. Mc Grew,19:41,8,2,2,100.0,1,3,33.3,3,5,60.0,1,2,50.0,0,2,2,2,0,0,0,0,0,4,2,-7,7,2818742,https://imagenes.feb.es/foto.aspx?c=2818742,1181
MOVISTAR ESTUDIANTES,18,0,M. Sola Idrisu,01:39,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0,2161529,https://imagenes.feb.es/foto.aspx?c=2161529,99
MOVISTAR ESTUDIANTES,20,0,P. Robles Llanos,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2165733,https://imagenes.feb.es/foto.aspx?c=2165733,0
MOVISTAR ESTUDIANTES,22,1,J. Vaulet,28:44,21,7,11,63.6,1,4,25.0,8,15,53.3,4,4,100.0,1,3,4,1,1,1,0,0,1,2,5,-18,22,2818741,https://imagenes.feb.es/foto.aspx?c=2818741,1724
MOVISTAR ESTUDIANTES,29,1,P. Garino Gullotta ,19:34,6,0,0,0.0,1,4,25.0,1,4,25.0,3,3,100.0,0,1,1,3,1,1,0,0,0,4,3,-8,6,2275135,https://imagenes.feb.es/foto.aspx?c=2275135,1174
MOVISTAR ESTUDIANTES,51,1,O. Silverio Grullon,22:55,13,4,5,80.0,1,5,20.0,5,10,50.0,2,2,100.0,0,1,1,1,2,0,0,0,0,0,2,-19,10,2790189,https://imagenes.feb.es/foto.aspx?c=2790189,1375
