Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
ALIMERKA OVIEDO BALONCESTO,3,0,M. Townes Villar,29:26,25,2,4,50.0,4,6,66.7,6,10,60.0,9,12,75.0,0,4,4,4,6,2,0,0,1,2,8,-4,28,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1766
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,23:18,9,4,5,80.0,0,0,0.0,4,5,80.0,1,5,20.0,1,6,7,0,2,1,1,0,2,4,5,3,12,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,1398
ALIMERKA OVIEDO BALONCESTO,5,0,G. Parham Ii,23:00,14,4,5,80.0,1,4,25.0,5,9,55.6,3,4,75.0,0,0,0,2,1,0,0,1,0,2,3,-2,11,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1380
ALIMERKA OVIEDO BALONCESTO,7,1,D. Duscak,15:24,3,0,1,0.0,1,2,50.0,1,3,33.3,0,2,0.0,2,2,4,2,2,1,0,0,0,5,4,1,3,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,924
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,0
ALIMERKA OVIEDO BALONCESTO,14,1,D. Shelist,19:52,3,1,1,100.0,0,1,0.0,1,2,50.0,1,3,33.3,0,1,1,1,3,0,0,0,0,1,2,-1,0,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1192
ALIMERKA OVIEDO BALONCESTO,24,1,C. Hermanson,17:26,10,1,2,50.0,2,3,66.7,3,5,60.0,2,3,66.7,0,1,1,0,1,1,1,0,0,2,1,1,8,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,1046
ALIMERKA OVIEDO BALONCESTO,35,0,F. Nwaokorie,22:09,9,2,4,50.0,1,3,33.3,3,7,42.9,2,3,66.7,2,1,3,0,1,1,1,2,1,2,2,-10,8,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1329
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,09:20,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,3,3,0,1,2,0,0,0,3,0,-6,3,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,560
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,0
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,11:45,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,3,0,-4,-3,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,705
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,28:20,9,1,1,100.0,2,5,40.0,3,6,50.0,1,2,50.0,0,1,1,1,2,0,0,0,0,2,2,-3,5,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,1700
LEYMA CORUÑA,0,1,D. Cuevas Simarro,20:18,0,0,0,0.0,0,9,0.0,0,9,0.0,0,2,0.0,0,2,2,7,1,3,0,0,0,4,3,-3,-1,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1218
LEYMA CORUÑA,4,0,P. Jorgensen,16:59,4,2,6,33.3,0,4,0.0,2,10,20.0,0,0,0.0,0,2,2,0,0,1,0,2,0,1,1,1,-1,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1019
LEYMA CORUÑA,5,1,G. Jou Coll,16:03,9,1,1,100.0,2,5,40.0,3,6,50.0,1,1,100.0,0,1,1,1,0,2,0,0,0,4,2,-3,8,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,963
LEYMA CORUÑA,6,0,M. Braz,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,0
LEYMA CORUÑA,8,1,D. Radoncic,21:05,6,1,2,50.0,0,0,0.0,1,2,50.0,4,6,66.7,1,2,3,1,2,0,1,0,0,1,3,7,8,2843861,https://imagenes.feb.es/foto.aspx?c=2843861,1265
LEYMA CORUÑA,9,0,C. De Souza Pacheco,21:48,24,8,12,66.7,0,2,0.0,8,14,57.1,8,9,88.9,1,2,3,7,2,3,0,1,0,2,7,7,33,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,1308
LEYMA CORUÑA,13,0,D. Brnovic,03:04,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,184
LEYMA CORUÑA,21,0,I. Diop Gaye,24:35,15,4,5,80.0,1,2,50.0,5,7,71.4,4,5,80.0,1,3,4,0,3,1,0,0,2,3,3,4,14,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1475
LEYMA CORUÑA,24,1,J. Cremo,24:43,18,3,8,37.5,3,5,60.0,6,13,46.2,3,3,100.0,3,1,4,1,2,3,0,0,0,4,1,8,14,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1483
LEYMA CORUÑA,34,1,S. Barro,12:41,8,3,3,100.0,0,0,0.0,3,3,100.0,2,3,66.7,1,1,2,0,1,0,0,0,1,4,5,-1,9,2862313,https://imagenes.feb.es/foto.aspx?c=2862313,761
LEYMA CORUÑA,44,0,A. Thiam,20:02,2,1,4,25.0,0,0,0.0,1,4,25.0,0,0,0.0,3,2,5,2,2,1,1,0,0,3,0,2,3,2815798,https://imagenes.feb.es/foto.aspx?c=2815798,1202
LEYMA CORUÑA,50,0,J. Diaz Alejano,18:42,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,1,2,3,0,0,1,1,0,0,1,1,3,8,1541543,https://imagenes.feb.es/foto.aspx?c=1541543,1122
