Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CAJA RURAL CB ZAMORA,2,1,T. Roberts,21:59,12,3,7,42.9,2,8,25.0,5,15,33.3,0,0,0.0,0,0,0,4,3,1,1,1,0,2,4,-16,7,2813978,https://imagenes.feb.es/foto.aspx?c=2813978,1319
CAJA RURAL CB ZAMORA,3,1,C. Rogers,18:12,9,1,3,33.3,2,7,28.6,3,10,30.0,1,2,50.0,1,1,2,0,0,0,0,0,0,1,1,-11,3,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1092
CAJA RURAL CB ZAMORA,4,0,J. Round,17:52,6,0,0,0.0,2,4,50.0,2,4,50.0,0,0,0.0,0,0,0,0,2,1,0,0,0,1,0,-9,2,2335424,https://imagenes.feb.es/foto.aspx?c=2335424,1072
CAJA RURAL CB ZAMORA,9,0,J. Peris Crespo,18:55,17,1,5,20.0,2,8,25.0,3,13,23.1,9,11,81.8,0,2,2,0,2,0,0,1,0,3,6,-4,8,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,1135
CAJA RURAL CB ZAMORA,13,1,A. Martinez Clariana,20:48,14,4,6,66.7,1,1,100.0,5,7,71.4,3,3,100.0,2,2,4,1,1,1,0,0,0,1,3,-2,19,1890908,https://imagenes.feb.es/foto.aspx?c=1890908,1248
CAJA RURAL CB ZAMORA,14,0,D. Kristensen,13:47,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,1,2,0,0,0,0,3,1,-3,0,2819218,https://imagenes.feb.es/foto.aspx?c=2819218,827
CAJA RURAL CB ZAMORA,15,1,O. Lo       ,21:10,3,1,3,33.3,0,1,0.0,1,4,25.0,1,4,25.0,2,3,5,1,2,0,1,0,1,2,2,-15,2,2432888,https://imagenes.feb.es/foto.aspx?c=2432888,1270
CAJA RURAL CB ZAMORA,17,0,T. Naspler Peraire,18:25,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,3,3,4,1,3,0,0,0,3,0,-4,8,1947677,https://imagenes.feb.es/foto.aspx?c=1947677,1105
CAJA RURAL CB ZAMORA,21,1,J. Van Zegeren,07:04,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,2,0,0,0,0,5,0,-9,-6,2335179,https://imagenes.feb.es/foto.aspx?c=2335179,424
CAJA RURAL CB ZAMORA,34,0,S. Thrastarson,22:39,8,1,2,50.0,1,3,33.3,2,5,40.0,3,3,100.0,0,2,2,1,1,1,1,0,0,1,3,1,11,2814245,https://imagenes.feb.es/foto.aspx?c=2814245,1359
CAJA RURAL CB ZAMORA,55,0,J. Paukstè,19:09,6,3,6,50.0,0,0,0.0,3,6,50.0,0,0,0.0,2,5,7,0,0,0,0,1,0,2,2,-3,10,2334629,https://imagenes.feb.es/foto.aspx?c=2334629,1149
CAJA RURAL CB ZAMORA,80,0,P. Montesdeoca Santana,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087017,https://imagenes.feb.es/foto.aspx?c=2087017,0
MONBUS OBRADOIRO,1,0,M. Speight,21:33,8,1,5,20.0,2,3,66.7,3,8,37.5,0,0,0.0,1,3,4,1,3,1,0,2,0,5,1,3,2,2433193,https://imagenes.feb.es/foto.aspx?c=2433193,1293
MONBUS OBRADOIRO,5,1,R. Andersson,13:55,3,0,0,0.0,1,3,33.3,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,-6,-2,2524084,https://imagenes.feb.es/foto.aspx?c=2524084,835
MONBUS OBRADOIRO,7,1,F. Dos Anjos De Paula,21:36,10,3,5,60.0,0,0,0.0,3,5,60.0,4,6,66.7,2,6,8,0,2,0,1,0,1,1,8,-1,20,2219665,https://imagenes.feb.es/foto.aspx?c=2219665,1296
MONBUS OBRADOIRO,9,1,L. Westermann,18:16,10,2,2,100.0,2,6,33.3,4,8,50.0,0,0,0.0,0,1,1,1,4,0,0,0,0,5,1,14,0,2436780,https://imagenes.feb.es/foto.aspx?c=2436780,1096
MONBUS OBRADOIRO,11,0,D. Kravic,14:26,10,4,6,66.7,0,0,0.0,4,6,66.7,2,2,100.0,0,1,1,2,0,0,1,0,0,0,2,11,14,2371461,https://imagenes.feb.es/foto.aspx?c=2371461,866
MONBUS OBRADOIRO,16,0,A. Etxeguren Gonzalez,01:07,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082696,https://imagenes.feb.es/foto.aspx?c=2082696,67
MONBUS OBRADOIRO,22,0,T. Munnings,14:40,2,1,2,50.0,0,3,0.0,1,5,20.0,0,0,0.0,2,0,2,4,0,1,0,0,0,2,1,13,4,2734244,https://imagenes.feb.es/foto.aspx?c=2734244,880
MONBUS OBRADOIRO,23,1,Y. Barrueta,24:01,10,2,3,66.7,2,9,22.2,4,12,33.3,0,1,0.0,1,5,6,1,0,0,0,1,0,2,2,12,8,2524267,https://imagenes.feb.es/foto.aspx?c=2524267,1441
MONBUS OBRADOIRO,24,0,D. De Sousa Anjo Brito,16:00,6,2,3,66.7,0,3,0.0,2,6,33.3,2,2,100.0,0,2,2,0,1,0,0,0,0,1,1,7,3,2528063,https://imagenes.feb.es/foto.aspx?c=2528063,960
MONBUS OBRADOIRO,25,0,S. Quintela Salvador,16:03,12,4,7,57.1,0,2,0.0,4,9,44.4,4,4,100.0,1,2,3,2,1,3,0,0,0,2,4,11,16,2220063,https://imagenes.feb.es/foto.aspx?c=2220063,963
MONBUS OBRADOIRO,28,1,A. Barcello,20:43,15,3,4,75.0,2,3,66.7,5,7,71.4,3,4,75.0,2,2,4,3,0,1,0,0,0,1,2,-3,21,2640794,https://imagenes.feb.es/foto.aspx?c=2640794,1243
MONBUS OBRADOIRO,57,0,A. Galan Pozo ,17:40,6,2,3,66.7,0,1,0.0,2,4,50.0,2,2,100.0,1,2,3,1,0,0,1,0,0,1,1,14,9,1836771,https://imagenes.feb.es/foto.aspx?c=1836771,1060
