Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HLA ALICANTE,3,0,U. Mendicote Rubio,13:22,6,2,3,66.7,0,0,0.0,2,3,66.7,2,5,40.0,2,1,3,1,0,2,0,0,0,2,3,6,9,1869378,https://imagenes.feb.es/foto.aspx?c=1869378,802
HLA ALICANTE,4,0,S. Ceccardi,18:03,5,1,2,50.0,1,3,33.3,2,5,40.0,0,0,0.0,1,2,3,4,1,0,0,1,0,3,5,12,10,2787126,https://imagenes.feb.es/foto.aspx?c=2787126,1083
HLA ALICANTE,8,0,J. Mwema,25:04,9,1,2,50.0,1,2,50.0,2,4,50.0,4,4,100.0,0,4,4,5,2,3,0,0,0,1,2,16,18,2734619,https://imagenes.feb.es/foto.aspx?c=2734619,1504
HLA ALICANTE,10,1,E. Polanco Tavarez,24:22,9,0,4,0.0,1,4,25.0,1,8,12.5,6,6,100.0,0,5,5,5,3,0,0,0,0,1,7,-2,15,2863973,https://imagenes.feb.es/foto.aspx?c=2863973,1462
HLA ALICANTE,12,0,B. Coulibaly,09:56,1,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,2,2,0,2,0,1,0,0,2,1,-4,0,2818653,https://imagenes.feb.es/foto.aspx?c=2818653,596
HLA ALICANTE,13,1,K. Larsen,27:48,19,4,10,40.0,0,4,0.0,4,14,28.6,11,13,84.6,3,2,5,2,1,1,1,0,0,1,6,17,20,2433482,https://imagenes.feb.es/foto.aspx?c=2433482,1668
HLA ALICANTE,14,0,I. Tamba Villen,12:39,7,2,2,100.0,1,1,100.0,3,3,100.0,0,0,0.0,0,1,1,0,0,0,1,0,1,0,0,-6,9,1997161,https://imagenes.feb.es/foto.aspx?c=1997161,759
HLA ALICANTE,15,1,T. Richardson,13:21,2,1,2,50.0,0,2,0.0,1,4,25.0,0,0,0.0,0,4,4,0,0,0,0,0,0,1,1,-8,3,2836470,https://imagenes.feb.es/foto.aspx?c=2836470,801
HLA ALICANTE,21,0,A. Jorda Rodriguez,19:51,8,1,2,50.0,2,4,50.0,3,6,50.0,0,0,0.0,1,1,2,2,1,0,0,0,0,4,0,3,4,1676991,https://imagenes.feb.es/foto.aspx?c=1676991,1191
HLA ALICANTE,23,1,D. Geu,10:15,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,4,4,0,0,0,0,0,0,1,0,0,5,2817123,https://imagenes.feb.es/foto.aspx?c=2817123,615
HLA ALICANTE,24,0,S. Llorente Paz,02:42,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,-6,-2,1381662,https://imagenes.feb.es/foto.aspx?c=1381662,162
HLA ALICANTE,33,1,M. Torres Cuevas,22:37,10,2,7,28.6,2,3,66.7,4,10,40.0,0,0,0.0,0,2,2,1,0,0,0,0,0,3,1,7,5,1285873,https://imagenes.feb.es/foto.aspx?c=1285873,1357
MELILLA CIUDAD DEL DEPORTE,0,0,J. Godspower Johnson,14:38,14,1,1,100.0,4,5,80.0,5,6,83.3,0,0,0.0,0,1,1,0,1,1,0,0,0,4,0,-2,10,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,878
MELILLA CIUDAD DEL DEPORTE,3,0,J. Ezquerra Trelles,13:26,3,0,3,0.0,1,2,50.0,1,5,20.0,0,0,0.0,0,1,1,0,2,1,0,0,0,3,1,-6,-3,2864599,https://imagenes.feb.es/foto.aspx?c=2864599,806
MELILLA CIUDAD DEL DEPORTE,6,0,J. Bergstedt,12:11,2,1,5,20.0,0,1,0.0,1,6,16.7,0,0,0.0,2,2,4,0,0,0,1,1,0,1,2,5,3,2865599,https://imagenes.feb.es/foto.aspx?c=2865599,731
MELILLA CIUDAD DEL DEPORTE,7,0,P. Cordoba Muro,19:47,9,3,6,50.0,1,2,50.0,4,8,50.0,0,0,0.0,2,6,8,0,1,1,0,1,0,5,2,1,10,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,1187
MELILLA CIUDAD DEL DEPORTE,9,1,I. Cruz Uceda,22:55,9,0,5,0.0,3,6,50.0,3,11,27.3,0,0,0.0,2,11,13,3,3,1,0,0,0,0,1,0,16,1382710,https://imagenes.feb.es/foto.aspx?c=1382710,1375
MELILLA CIUDAD DEL DEPORTE,10,1,N. Hoover,29:26,14,5,6,83.3,1,7,14.3,6,13,46.2,1,1,100.0,1,1,2,1,0,1,0,0,0,1,1,4,11,2532075,https://imagenes.feb.es/foto.aspx?c=2532075,1766
MELILLA CIUDAD DEL DEPORTE,13,0,S. Rodriguez Febles,20:20,9,2,2,100.0,1,2,50.0,3,4,75.0,2,2,100.0,2,0,2,1,0,0,0,0,0,1,2,-15,12,1373532,https://imagenes.feb.es/foto.aspx?c=1373532,1220
MELILLA CIUDAD DEL DEPORTE,21,1,L. Debaut,13:11,2,0,4,0.0,0,0,0.0,0,4,0.0,2,2,100.0,2,1,3,0,0,0,0,0,0,4,1,-10,-2,2647156,https://imagenes.feb.es/foto.aspx?c=2647156,791
MELILLA CIUDAD DEL DEPORTE,22,1,C. Diaz Rodriguez,23:06,8,1,3,33.3,2,6,33.3,3,9,33.3,0,2,0.0,2,1,3,4,4,0,0,0,0,3,5,3,5,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1386
MELILLA CIUDAD DEL DEPORTE,24,1,M. Caicedo Sanchez,19:07,1,0,2,0.0,0,4,0.0,0,6,0.0,1,2,50.0,2,1,3,2,1,0,0,1,0,2,3,-6,-1,2866764,https://imagenes.feb.es/foto.aspx?c=2866764,1147
MELILLA CIUDAD DEL DEPORTE,33,0,M. Stilma,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2734242,https://imagenes.feb.es/foto.aspx?c=2734242,0
MELILLA CIUDAD DEL DEPORTE,44,0,J. Garcia Sanchez,11:53,0,0,2,0.0,0,1,0.0,0,3,0.0,0,0,0.0,0,1,1,1,1,1,0,0,0,3,2,-9,-2,1978541,https://imagenes.feb.es/foto.aspx?c=1978541,713
