Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FIBWI MALLORCA BASQUET PALMA ,0,0,A. Scariolo Ares,19:04,8,2,3,66.7,1,2,50.0,3,5,60.0,1,2,50.0,0,0,0,4,2,1,0,0,0,1,2,-2,9,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,1144
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,22:24,6,3,6,50.0,0,0,0.0,3,6,50.0,0,0,0.0,5,3,8,1,2,1,3,0,1,1,2,1,15,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,1344
FIBWI MALLORCA BASQUET PALMA ,4,0,S. Niang Beye,27:21,6,0,1,0.0,2,5,40.0,2,6,33.3,0,0,0.0,1,4,5,2,0,0,0,1,0,2,2,15,9,2319991,https://imagenes.feb.es/foto.aspx?c=2319991,1641
FIBWI MALLORCA BASQUET PALMA ,6,0,J. Bocca,16:02,3,0,1,0.0,1,4,25.0,1,5,20.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,0,-1,-2,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,962
FIBWI MALLORCA BASQUET PALMA ,13,1,O. Matulionis,30:45,27,6,8,75.0,5,6,83.3,11,14,78.6,0,0,0.0,2,1,3,1,1,3,0,0,0,4,0,4,26,2027826,https://imagenes.feb.es/foto.aspx?c=2027826,1845
FIBWI MALLORCA BASQUET PALMA ,15,0,O. Siquier Costa,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008018,https://imagenes.feb.es/foto.aspx?c=2008018,0
FIBWI MALLORCA BASQUET PALMA ,23,1,J. Aramburu Lamy,23:42,5,2,2,100.0,0,2,0.0,2,4,50.0,1,2,50.0,0,4,4,3,1,2,4,0,1,2,3,-6,15,1509876,https://imagenes.feb.es/foto.aspx?c=1509876,1422
FIBWI MALLORCA BASQUET PALMA ,24,1,L. Capalbo,21:57,9,2,4,50.0,1,5,20.0,3,9,33.3,2,2,100.0,0,3,3,5,3,0,0,2,0,1,2,1,9,2818075,https://imagenes.feb.es/foto.aspx?c=2818075,1317
FIBWI MALLORCA BASQUET PALMA ,30,0,J. Martinez Cabezudo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241485,https://imagenes.feb.es/foto.aspx?c=1241485,0
FIBWI MALLORCA BASQUET PALMA ,33,1,L. Bracey,20:10,8,0,3,0.0,2,5,40.0,2,8,25.0,2,2,100.0,1,0,1,1,3,0,0,0,0,2,2,-6,1,2583212,https://imagenes.feb.es/foto.aspx?c=2583212,1210
