Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
INVEREADY GIPUZKOA,0,0,A. Ngom,15:16,10,3,3,100.0,0,0,0.0,3,3,100.0,4,6,66.7,1,7,8,1,1,0,2,0,3,2,4,20,20,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,916
INVEREADY GIPUZKOA,1,1,J. Tate,21:10,11,5,8,62.5,0,2,0.0,5,10,50.0,1,1,100.0,1,4,5,3,2,0,0,2,0,3,2,21,11,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,1270
INVEREADY GIPUZKOA,2,1,O. Hanzlik,22:29,13,2,2,100.0,3,5,60.0,5,7,71.4,0,2,0.0,1,3,4,0,0,0,0,0,0,1,2,0,14,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,1349
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,13:41,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,4,1,0,0,0,0,3,0,11,0,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,821
INVEREADY GIPUZKOA,9,0,M. Motos Cabodevilla,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,0
INVEREADY GIPUZKOA,10,1,M. Ansorregui Deba,26:21,7,2,4,50.0,0,3,0.0,2,7,28.6,3,4,75.0,3,1,4,1,0,0,0,0,0,3,2,13,5,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1581
INVEREADY GIPUZKOA,11,0,G. Maiza Apecechea,16:31,15,1,1,100.0,2,4,50.0,3,5,60.0,7,7,100.0,0,0,0,1,1,0,0,0,0,2,5,7,16,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,991
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,20:45,6,3,5,60.0,0,0,0.0,3,5,60.0,0,4,0.0,1,3,4,4,2,1,2,0,1,2,4,12,11,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,1245
INVEREADY GIPUZKOA,13,0,T. Mcghie,20:19,14,2,4,50.0,2,5,40.0,4,9,44.4,4,4,100.0,0,1,1,0,0,0,0,0,0,1,2,22,11,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1219
INVEREADY GIPUZKOA,22,0,G. Korsantia,19:55,6,3,5,60.0,0,0,0.0,3,5,60.0,0,2,0.0,1,5,6,4,2,1,0,0,0,3,1,10,9,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1195
INVEREADY GIPUZKOA,24,1,I. Arroyo Varela,23:33,11,0,0,0.0,2,4,50.0,2,4,50.0,5,5,100.0,0,2,2,2,2,0,0,0,0,2,3,24,12,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,1413
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,23:03,11,1,3,33.3,2,6,33.3,3,9,33.3,3,4,75.0,0,1,1,1,1,2,1,1,0,3,3,-28,8,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1383
GRUPO URETA TIZONA BURGOS,8,1,F. Terins,25:54,7,1,4,25.0,1,5,20.0,2,9,22.2,2,3,66.7,0,1,1,8,2,0,0,1,0,4,3,-15,5,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,1554
