Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
SÚPER AGROPAL PALENCIA,1,0,M. Heron,11:29,4,2,3,66.7,0,4,0.0,2,7,28.6,0,0,0.0,0,0,0,1,2,0,0,0,0,4,0,-10,-6,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,689
SÚPER AGROPAL PALENCIA,4,0,O. Gomez Fernandez,01:22,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,-1,-2,2186516,https://imagenes.feb.es/foto.aspx?c=2186516,82
SÚPER AGROPAL PALENCIA,6,0,T. Borg,26:09,8,1,2,50.0,2,5,40.0,3,7,42.9,0,0,0.0,0,1,1,3,0,1,0,1,0,1,2,18,10,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1569
SÚPER AGROPAL PALENCIA,7,0,X. Oroz Uria,17:07,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,5,5,4,0,0,0,0,0,2,1,4,7,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,1027
SÚPER AGROPAL PALENCIA,8,1,I. Jakovics,29:32,18,3,4,75.0,3,7,42.9,6,11,54.5,3,3,100.0,0,2,2,4,1,1,0,1,0,3,3,16,19,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,1772
SÚPER AGROPAL PALENCIA,9,1,M. Kamba,23:07,17,5,6,83.3,2,3,66.7,7,9,77.8,1,2,50.0,2,2,4,1,3,4,0,0,0,1,1,12,20,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,1387
SÚPER AGROPAL PALENCIA,11,1,M. Rodriguez Barrientos,06:45,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,2,-3,1376540,https://imagenes.feb.es/foto.aspx?c=1376540,405
SÚPER AGROPAL PALENCIA,13,0,J. Vrankic,21:33,20,6,8,75.0,1,5,20.0,7,13,53.8,5,6,83.3,1,3,4,1,0,2,1,0,1,4,3,19,20,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1293
SÚPER AGROPAL PALENCIA,17,1,M. Armus,19:28,4,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0.0,0,5,5,0,1,0,0,1,1,0,2,5,9,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,1168
SÚPER AGROPAL PALENCIA,33,0,V. Vucetic,16:01,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,6,7,1,1,0,0,0,0,2,2,12,9,2217440,https://imagenes.feb.es/foto.aspx?c=2217440,961
SÚPER AGROPAL PALENCIA,35,1,A. Muñoz Borchers,22:56,10,2,6,33.3,2,3,66.7,4,9,44.4,0,0,0.0,3,5,8,3,0,0,0,1,0,1,0,4,15,1253254,https://imagenes.feb.es/foto.aspx?c=1253254,1376
SÚPER AGROPAL PALENCIA,88,0,G. Levy,04:31,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,1,1,0,0,-1,0,2866321,https://imagenes.feb.es/foto.aspx?c=2866321,271
