Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO ALEGA CANTABRIA,2,0,J. Powell,20:08,4,1,2,50.0,0,3,0.0,1,5,20.0,2,2,100.0,1,2,3,1,3,0,0,0,0,2,1,-14,0,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,1208
GRUPO ALEGA CANTABRIA,6,0,C. Taboada Heiskanen,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899194,https://imagenes.feb.es/foto.aspx?c=1899194,0
GRUPO ALEGA CANTABRIA,8,1,S. Rodríguez Ramos,25:06,10,3,3,100.0,1,3,33.3,4,6,66.7,1,2,50.0,1,2,3,2,3,0,0,0,1,2,3,3,10,841966,https://imagenes.feb.es/foto.aspx?c=841966,1506
GRUPO ALEGA CANTABRIA,9,0,B. Lugarini,15:18,5,0,0,0.0,1,2,50.0,1,2,50.0,2,2,100.0,0,4,4,0,1,0,0,0,0,2,2,-13,7,2481151,https://imagenes.feb.es/foto.aspx?c=2481151,918
GRUPO ALEGA CANTABRIA,10,1,G. Martinez Diaz,25:52,6,0,2,0.0,2,6,33.3,2,8,25.0,0,0,0.0,2,3,5,4,1,0,0,0,0,2,0,-2,6,1821694,https://imagenes.feb.es/foto.aspx?c=1821694,1552
GRUPO ALEGA CANTABRIA,11,1,J. Yu,29:03,27,9,11,81.8,0,0,0.0,9,11,81.8,9,10,90.0,3,9,12,2,5,1,2,0,2,4,8,9,40,2815820,https://imagenes.feb.es/foto.aspx?c=2815820,1743
GRUPO ALEGA CANTABRIA,12,1,D. Alderete Diaz,20:05,3,1,4,25.0,0,1,0.0,1,5,20.0,1,1,100.0,0,2,2,2,0,1,0,2,0,3,2,-1,3,1676845,https://imagenes.feb.es/foto.aspx?c=1676845,1205
GRUPO ALEGA CANTABRIA,15,0,P. Hernandez Montenegro,20:40,4,2,3,66.7,0,1,0.0,2,4,50.0,0,0,0.0,0,3,3,1,1,0,0,0,0,5,0,-2,0,1442713,https://imagenes.feb.es/foto.aspx?c=1442713,1240
GRUPO ALEGA CANTABRIA,21,0,B. De La Llama Ruiz,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2173109,https://imagenes.feb.es/foto.aspx?c=2173109,0
GRUPO ALEGA CANTABRIA,31,0,M. Lapornik,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864604,https://imagenes.feb.es/foto.aspx?c=2864604,0
GRUPO ALEGA CANTABRIA,32,1,R. Johnson Jr,33:03,20,5,12,41.7,1,5,20.0,6,17,35.3,7,8,87.5,0,3,3,2,1,0,0,0,0,3,3,-5,12,2274998,https://imagenes.feb.es/foto.aspx?c=2274998,1983
GRUPO ALEGA CANTABRIA,34,0,G. Kande Kieli,10:45,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,0,0,0,0,2,0,-15,-2,2446696,https://imagenes.feb.es/foto.aspx?c=2446696,645
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,26:10,10,1,7,14.3,1,3,33.3,2,10,20.0,5,6,83.3,0,1,1,1,2,0,0,1,0,1,3,4,3,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1570
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,26:58,11,4,5,80.0,1,6,16.7,5,11,45.5,0,0,0.0,0,2,2,0,3,1,0,0,0,1,3,8,7,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1618
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,22:51,13,2,3,66.7,2,4,50.0,4,7,57.1,3,3,100.0,1,2,3,2,0,0,0,0,0,3,3,5,15,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1371
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,0
ALIMERKA OVIEDO BALONCESTO,14,1,D. Shelist,17:33,8,3,4,75.0,0,2,0.0,3,6,50.0,2,3,66.7,2,2,4,1,0,1,0,0,0,3,2,0,9,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1053
ALIMERKA OVIEDO BALONCESTO,24,0,C. Hermanson,14:35,13,0,2,0.0,3,6,50.0,3,8,37.5,4,5,80.0,0,1,1,0,0,1,0,0,0,1,2,1,10,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,875
ALIMERKA OVIEDO BALONCESTO,35,1,F. Nwaokorie,24:50,9,1,1,100.0,2,6,33.3,3,7,42.9,1,2,50.0,2,2,4,2,0,0,0,0,0,3,2,2,9,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1490
ALIMERKA OVIEDO BALONCESTO,41,0,R. Cosialls Borras,13:46,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,1,4,5,0,0,0,0,1,0,2,1,-5,2,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,826
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,20:03,6,1,2,50.0,0,1,0.0,1,3,33.3,4,4,100.0,1,3,4,0,0,2,0,0,0,2,2,6,10,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,1203
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,03:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,1,-4,1,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,180
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,30:14,17,2,4,50.0,3,8,37.5,5,12,41.7,4,5,80.0,1,3,4,2,1,2,2,0,0,2,6,23,22,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,1814
