Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FIBWI MALLORCA BASQUET PALMA ,0,0,A. Scariolo Ares,15:40,6,3,4,75.0,0,0,0.0,3,4,75.0,0,1,0.0,0,0,0,2,0,0,0,0,0,0,1,-10,7,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,940
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,13:17,7,3,5,60.0,0,0,0.0,3,5,60.0,1,2,50.0,2,0,2,0,2,1,1,1,1,2,1,-3,5,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,797
FIBWI MALLORCA BASQUET PALMA ,4,0,S. Niang Beye,08:17,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,4,0,-4,-5,2319991,https://imagenes.feb.es/foto.aspx?c=2319991,497
FIBWI MALLORCA BASQUET PALMA ,6,0,J. Bocca,12:53,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,0,0,0,3,0,-6,-3,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,773
FIBWI MALLORCA BASQUET PALMA ,13,1,O. Matulionis,29:58,5,2,5,40.0,0,5,0.0,2,10,20.0,1,2,50.0,0,0,0,0,1,0,0,0,0,0,1,-1,-4,2027826,https://imagenes.feb.es/foto.aspx?c=2027826,1798
FIBWI MALLORCA BASQUET PALMA ,15,0,O. Siquier Costa,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008018,https://imagenes.feb.es/foto.aspx?c=2008018,0
FIBWI MALLORCA BASQUET PALMA ,23,1,J. Aramburu Lamy,29:12,12,3,4,75.0,1,1,100.0,4,5,80.0,3,4,75.0,2,6,8,2,0,0,0,0,0,0,4,0,24,1509876,https://imagenes.feb.es/foto.aspx?c=1509876,1752
FIBWI MALLORCA BASQUET PALMA ,24,1,L. Capalbo,19:32,7,2,3,66.7,1,3,33.3,3,6,50.0,0,0,0.0,2,3,5,1,0,1,0,0,0,3,4,5,12,2818075,https://imagenes.feb.es/foto.aspx?c=2818075,1172
FIBWI MALLORCA BASQUET PALMA ,30,0,J. Martinez Cabezudo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241485,https://imagenes.feb.es/foto.aspx?c=1241485,0
FIBWI MALLORCA BASQUET PALMA ,33,1,L. Bracey,22:08,10,1,4,25.0,2,3,66.7,3,7,42.9,2,2,100.0,0,0,0,1,1,3,0,1,0,2,1,-8,8,2583212,https://imagenes.feb.es/foto.aspx?c=2583212,1328
FIBWI MALLORCA BASQUET PALMA ,44,0,B. Vazquez Arraiza,24:44,15,3,6,50.0,1,6,16.7,4,12,33.3,6,7,85.7,0,0,0,3,2,1,0,0,0,3,3,-2,8,2783882,https://imagenes.feb.es/foto.aspx?c=2783882,1484
FIBWI MALLORCA BASQUET PALMA ,99,1,P. Bombino Parada,24:19,7,2,5,40.0,0,0,0.0,2,5,40.0,3,4,75.0,3,7,10,2,1,2,0,0,1,4,6,-6,18,2819257,https://imagenes.feb.es/foto.aspx?c=2819257,1459
HESTIA MENORCA,0,1,E. Vicedo Ayala,29:45,11,3,4,75.0,1,4,25.0,4,8,50.0,2,3,66.7,0,3,3,0,1,1,0,0,0,2,4,10,11,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1785
HESTIA MENORCA,1,0,J. Cone,11:35,3,0,1,0.0,1,1,100.0,1,2,50.0,0,0,0.0,0,2,2,0,1,0,0,0,0,1,0,1,2,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,695
HESTIA MENORCA,3,0,N. Galette,09:09,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,2,0,0,0,0,0,2,0,-1,2,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,549
HESTIA MENORCA,8,1,F. Schott,06:32,1,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,2,1,0,0,0,0,4,1,2,-1,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,392
HESTIA MENORCA,10,1,F. Zurbriggen,31:25,13,2,4,50.0,1,1,100.0,3,5,60.0,6,7,85.7,0,3,3,1,2,0,1,0,0,3,6,10,16,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1885
HESTIA MENORCA,11,0,S. Littleson,27:03,17,4,10,40.0,3,4,75.0,7,14,50.0,0,0,0.0,0,4,4,3,2,0,0,1,0,3,2,1,14,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1623
HESTIA MENORCA,13,1,J. Lobo Martorell,07:18,11,0,1,0.0,3,3,100.0,3,4,75.0,2,2,100.0,0,0,0,0,0,0,0,0,0,2,1,2,9,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,438
HESTIA MENORCA,15,0,P. Molins Calderon,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,0
HESTIA MENORCA,21,0,T. Mcfadden,23:12,5,0,2,0.0,1,5,20.0,1,7,14.3,2,2,100.0,0,1,1,3,3,1,0,0,0,1,1,3,1,2325133,https://imagenes.feb.es/foto.aspx?c=2325133,1392
HESTIA MENORCA,23,0,E. Wembi,31:27,12,6,9,66.7,0,0,0.0,6,9,66.7,0,2,0.0,5,3,8,2,2,0,1,0,2,1,3,10,18,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,1887
HESTIA MENORCA,55,1,A. Sola Iddrisu,20:33,1,0,1,0.0,0,1,0.0,0,2,0.0,1,2,50.0,0,3,3,0,1,2,0,0,0,1,3,2,4,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1233
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,02:01,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-5,1,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,121
