Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
PALMER BASKET MALLORCA PALMA,0,1,H. Atencia Suarez,24:58,10,1,8,12.5,2,5,40.0,3,13,23.1,2,2,100.0,0,1,1,1,1,1,0,0,0,4,4,-16,2,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1498
PALMER BASKET MALLORCA PALMA,5,1,P. Scrubb,31:37,10,2,2,100.0,2,4,50.0,4,6,66.7,0,0,0.0,0,0,0,5,1,0,0,0,0,1,2,-12,13,2863891,https://imagenes.feb.es/foto.aspx?c=2863891,1897
PALMER BASKET MALLORCA PALMA,7,0,D. Sanadze,23:04,8,2,7,28.6,0,2,0.0,2,9,22.2,4,4,100.0,0,1,1,4,2,2,0,1,0,1,3,-12,8,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1384
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,0
PALMER BASKET MALLORCA PALMA,9,1,A. Urdiain Labayen,21:31,2,1,3,33.3,0,1,0.0,1,4,25.0,0,0,0.0,1,4,5,4,0,1,0,0,0,3,1,-8,7,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,1291
PALMER BASKET MALLORCA PALMA,10,0,G. Dike Egun,18:49,4,2,3,66.7,0,0,0.0,2,3,66.7,0,2,0.0,2,2,4,0,0,2,0,0,0,2,1,-15,6,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,1129
PALMER BASKET MALLORCA PALMA,15,0,J. Feliu Espejo,18:07,10,0,0,0.0,3,4,75.0,3,4,75.0,1,2,50.0,1,1,2,2,1,1,0,0,0,1,3,-10,14,1688669,https://imagenes.feb.es/foto.aspx?c=1688669,1087
PALMER BASKET MALLORCA PALMA,17,0,A. Almenta Macias,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909300,https://imagenes.feb.es/foto.aspx?c=1909300,0
PALMER BASKET MALLORCA PALMA,22,1,N. Camacho De Sá,22:14,6,2,5,40.0,0,7,0.0,2,12,16.7,2,2,100.0,3,1,4,0,1,0,0,1,0,1,2,-10,0,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,1334
PALMER BASKET MALLORCA PALMA,23,0,J. Roberts,14:49,6,3,6,50.0,0,0,0.0,3,6,50.0,0,0,0.0,2,2,4,2,2,1,0,0,0,1,0,-8,7,2860169,https://imagenes.feb.es/foto.aspx?c=2860169,889
PALMER BASKET MALLORCA PALMA,24,0,A. Comendador Femenias,06:06,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,-4,2,1766217,https://imagenes.feb.es/foto.aspx?c=1766217,366
PALMER BASKET MALLORCA PALMA,47,1,A. Izaw Bolavie,18:45,7,3,5,60.0,0,0,0.0,3,5,60.0,1,2,50.0,0,1,1,1,1,2,3,1,1,3,2,-5,9,2812898,https://imagenes.feb.es/foto.aspx?c=2812898,1125
LEYMA CORUÑA,0,0,D. Cuevas Simarro,20:44,4,1,1,100.0,0,0,0.0,1,1,100.0,2,2,100.0,2,1,3,7,5,1,0,0,0,1,2,12,11,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1244
LEYMA CORUÑA,4,1,P. Jorgensen,19:16,14,4,6,66.7,2,2,100.0,6,8,75.0,0,0,0.0,0,3,3,0,0,0,0,1,0,0,2,8,17,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1156
LEYMA CORUÑA,5,1,G. Jou Coll,20:47,6,0,1,0.0,2,3,66.7,2,4,50.0,0,0,0.0,0,2,2,3,1,1,0,0,0,1,0,11,8,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,1247
LEYMA CORUÑA,6,0,M. Braz,04:07,2,1,2,50.0,0,0,0.0,1,2,50.0,0,2,0.0,0,0,0,0,0,0,0,0,1,0,1,-2,0,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,247
LEYMA CORUÑA,8,1,D. Radoncic,18:04,6,3,4,75.0,0,0,0.0,3,4,75.0,0,0,0.0,1,2,3,2,1,1,0,1,0,2,0,13,8,2843861,https://imagenes.feb.es/foto.aspx?c=2843861,1084
LEYMA CORUÑA,9,1,C. De Souza Pacheco,19:16,2,1,3,33.3,0,1,0.0,1,4,25.0,0,0,0.0,0,1,1,4,3,1,0,0,0,4,2,8,0,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,1156
