Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,21:07,10,2,3,66.7,2,5,40.0,4,8,50.0,0,0,0.0,1,1,2,2,2,2,0,0,0,0,0,-10,10,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1267
GRUPO URETA TIZONA BURGOS,8,1,F. Terins,26:32,21,0,2,0.0,6,7,85.7,6,9,66.7,3,3,100.0,1,0,1,2,2,0,2,0,0,4,2,-8,19,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,1592
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,15:18,1,0,2,0.0,0,5,0.0,0,7,0.0,1,2,50.0,2,6,8,0,1,1,0,0,0,4,3,-19,0,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,918
GRUPO URETA TIZONA BURGOS,13,1,R. Vila Soley,19:14,5,0,7,0.0,1,1,100.0,1,8,12.5,2,2,100.0,2,1,3,3,3,0,0,0,0,4,3,6,0,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1154
GRUPO URETA TIZONA BURGOS,21,0,G. Gil Garcia,18:52,8,0,1,0.0,2,4,50.0,2,5,40.0,2,2,100.0,1,2,3,3,0,2,0,0,0,2,1,7,12,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,1132
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,04:21,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,0,-1,2,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,261
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,18:15,16,3,4,75.0,2,3,66.7,5,7,71.4,4,5,80.0,0,1,1,1,1,2,0,1,0,3,3,8,16,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,1095
GRUPO URETA TIZONA BURGOS,31,0,J. Brown-Ferguson,19:57,6,2,4,50.0,0,0,0.0,2,4,50.0,2,2,100.0,3,5,8,1,2,0,3,0,2,5,1,-13,10,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,1197
GRUPO URETA TIZONA BURGOS,33,0,A. Alonso Cuevas,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,0
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,24:47,10,3,5,60.0,1,5,20.0,4,10,40.0,1,1,100.0,1,8,9,1,1,0,0,0,0,0,3,-14,16,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1487
GRUPO URETA TIZONA BURGOS,55,0,G. Jofresa Sarret,18:53,7,1,1,100.0,1,4,25.0,2,5,40.0,2,2,100.0,0,2,2,2,2,0,0,0,0,4,3,2,5,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,1133
GRUPO URETA TIZONA BURGOS,60,0,A. Alonso Ruiz,12:44,7,1,4,25.0,0,1,0.0,1,5,20.0,5,6,83.3,0,0,0,1,0,1,0,2,0,1,4,2,7,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,764
CAJA RURAL CB ZAMORA,2,1,T. Roberts,18:50,6,3,8,37.5,0,1,0.0,3,9,33.3,0,0,0.0,0,1,1,1,2,1,0,2,0,2,1,1,0,2813978,https://imagenes.feb.es/foto.aspx?c=2813978,1130
CAJA RURAL CB ZAMORA,3,1,C. Rogers,24:22,19,4,5,80.0,2,7,28.6,6,12,50.0,5,6,83.3,2,2,4,1,1,0,0,0,0,1,3,11,18,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1462
CAJA RURAL CB ZAMORA,4,0,J. Round,13:31,5,1,1,100.0,0,0,0.0,1,1,100.0,3,4,75.0,2,1,3,1,0,1,0,0,0,2,2,-5,9,2335424,https://imagenes.feb.es/foto.aspx?c=2335424,811
CAJA RURAL CB ZAMORA,5,0,J. Peris Crespo,17:59,21,3,8,37.5,4,5,80.0,7,13,53.8,3,3,100.0,1,2,3,1,0,0,0,0,0,2,2,-9,19,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,1079
