Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FLEXICAR FUENLABRADA,0,1,I. Aurrecoechea Alcolado,33:47,26,10,18,55.6,0,0,0.0,10,18,55.6,6,6,100.0,8,8,16,1,0,0,0,2,0,0,6,-1,41,1384981,https://imagenes.feb.es/foto.aspx?c=1384981,2027
FLEXICAR FUENLABRADA,7,0,M. Diaz,29:14,28,3,6,50.0,2,6,33.3,5,12,41.7,16,18,88.9,0,3,3,7,1,0,0,0,0,4,11,-1,35,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1754
FLEXICAR FUENLABRADA,8,0,V. Alves Benite ,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,0
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,28:27,20,3,5,60.0,4,9,44.4,7,14,50.0,2,4,50.0,0,3,3,3,1,0,0,1,0,4,4,-1,16,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1707
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,00:24,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,24
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,0
FLEXICAR FUENLABRADA,22,0,B. De Bisschop,18:56,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,1,0,0,0,1,0,-2,4,2703151,https://imagenes.feb.es/foto.aspx?c=2703151,1136
FLEXICAR FUENLABRADA,23,0,A. Diaz Carballo,00:52,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0,2223407,https://imagenes.feb.es/foto.aspx?c=2223407,52
FLEXICAR FUENLABRADA,30,1,P. Rigot,13:29,0,0,2,0.0,0,2,0.0,0,4,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3,0,-18,-6,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,809
FLEXICAR FUENLABRADA,32,1,G. Renfroe,30:58,1,0,0,0.0,0,4,0.0,0,4,0.0,1,2,50.0,0,7,7,8,2,1,1,0,0,2,2,5,11,2236015,https://imagenes.feb.es/foto.aspx?c=2236015,1858
