Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,30:23,21,4,6,66.7,4,7,57.1,8,13,61.5,1,2,50.0,0,4,4,3,6,1,0,0,0,1,2,-12,18,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1823
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,09:29,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,0,0,0,1,0,1,1,0,1,0,-14,0,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,569
ALIMERKA OVIEDO BALONCESTO,5,0,G. Parham Ii,16:02,8,1,3,33.3,1,6,16.7,2,9,22.2,3,4,75.0,0,3,3,3,0,0,0,0,0,0,3,-4,9,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,962
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,23:49,4,0,2,0.0,1,3,33.3,1,5,20.0,1,2,50.0,1,0,1,3,0,3,0,0,0,0,2,-15,8,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1429
ALIMERKA OVIEDO BALONCESTO,11,1,F. Copes,18:57,7,1,3,33.3,1,2,50.0,2,5,40.0,2,4,50.0,0,2,2,0,1,0,0,0,0,2,2,1,3,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,1137
ALIMERKA OVIEDO BALONCESTO,14,1,D. Shelist,19:48,4,1,4,25.0,0,0,0.0,1,4,25.0,2,2,100.0,1,1,2,1,1,3,0,1,0,2,2,2,6,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1188
ALIMERKA OVIEDO BALONCESTO,24,0,C. Hermanson,16:22,3,0,1,0.0,0,4,0.0,0,5,0.0,3,3,100.0,0,1,1,0,1,1,0,1,0,1,1,-3,-1,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,982
ALIMERKA OVIEDO BALONCESTO,35,0,F. Nwaokorie,17:37,7,1,3,33.3,1,4,25.0,2,7,28.6,2,2,100.0,2,3,5,0,2,0,0,1,0,3,3,-11,5,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1057
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,19:54,2,1,1,100.0,0,0,0.0,1,1,100.0,0,2,0.0,1,3,4,0,0,1,0,0,0,2,2,-4,5,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1194
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,02:48,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,-3,-2,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,168
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,0
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,24:51,3,0,4,0.0,1,4,25.0,1,8,12.5,0,0,0.0,2,3,5,1,2,1,0,0,0,2,3,-12,2,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,1491
SÚPER AGROPAL PALENCIA,1,0,M. Heron,14:41,6,3,7,42.9,0,0,0.0,3,7,42.9,0,0,0.0,1,1,2,1,2,0,0,0,0,0,0,2,3,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,881
SÚPER AGROPAL PALENCIA,6,1,T. Borg,28:45,10,2,4,50.0,1,3,33.3,3,7,42.9,3,4,75.0,0,2,2,2,5,2,0,0,0,4,3,11,5,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1725
