Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO ALEGA CANTABRIA,2,0,J. Powell,15:54,11,0,3,0.0,3,5,60.0,3,8,37.5,2,3,66.7,0,1,1,4,0,0,0,0,0,4,2,-4,8,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,954
GRUPO ALEGA CANTABRIA,6,0,C. Taboada Heiskanen,00:34,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0,1899194,https://imagenes.feb.es/foto.aspx?c=1899194,34
GRUPO ALEGA CANTABRIA,7,0,D. Van Oostrum,12:33,6,2,2,100.0,0,4,0.0,2,6,33.3,2,3,66.7,0,0,0,4,1,0,0,0,0,0,4,-2,8,2867402,https://imagenes.feb.es/foto.aspx?c=2867402,753
GRUPO ALEGA CANTABRIA,8,1,S. Rodríguez Ramos,27:02,7,0,2,0.0,2,3,66.7,2,5,40.0,1,2,50.0,0,2,2,1,1,2,0,1,0,2,1,11,6,841966,https://imagenes.feb.es/foto.aspx?c=841966,1622
GRUPO ALEGA CANTABRIA,9,0,B. Lugarini,12:58,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1,-10,-3,2481151,https://imagenes.feb.es/foto.aspx?c=2481151,778
GRUPO ALEGA CANTABRIA,10,1,G. Martinez Diaz,24:06,14,1,4,25.0,4,5,80.0,5,9,55.6,0,0,0.0,1,1,2,3,1,0,0,0,0,3,0,5,11,1821694,https://imagenes.feb.es/foto.aspx?c=1821694,1446
GRUPO ALEGA CANTABRIA,11,1,J. Yu,23:46,10,3,7,42.9,0,1,0.0,3,8,37.5,4,4,100.0,3,4,7,0,1,0,0,0,0,2,3,19,12,2815820,https://imagenes.feb.es/foto.aspx?c=2815820,1426
GRUPO ALEGA CANTABRIA,12,1,D. Alderete Diaz,17:57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,3,5,0,0,1,0,0,0,1,1,8,6,1676845,https://imagenes.feb.es/foto.aspx?c=1676845,1077
GRUPO ALEGA CANTABRIA,15,0,P. Hernandez Montenegro,22:03,6,2,2,100.0,0,1,0.0,2,3,66.7,2,2,100.0,1,1,2,1,0,1,0,0,1,2,3,-7,10,1442713,https://imagenes.feb.es/foto.aspx?c=1442713,1323
GRUPO ALEGA CANTABRIA,31,0,M. Lapornik,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864604,https://imagenes.feb.es/foto.aspx?c=2864604,0
GRUPO ALEGA CANTABRIA,32,1,R. Johnson Jr,27:27,27,5,10,50.0,2,3,66.7,7,13,53.8,11,13,84.6,0,1,1,7,4,3,0,0,0,3,9,3,32,2274998,https://imagenes.feb.es/foto.aspx?c=2274998,1647
GRUPO ALEGA CANTABRIA,34,0,G. Kande Kieli,15:40,10,5,6,83.3,0,0,0.0,5,6,83.3,0,0,0.0,0,1,1,0,1,0,1,0,3,4,0,-21,6,2446696,https://imagenes.feb.es/foto.aspx?c=2446696,940
INVEREADY GIPUZKOA,0,0,A. Ngom,22:29,15,6,7,85.7,0,0,0.0,6,7,85.7,3,5,60.0,1,4,5,4,0,0,0,0,5,3,6,7,24,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,1349
INVEREADY GIPUZKOA,1,1,J. Tate,22:12,19,6,10,60.0,1,2,50.0,7,12,58.3,4,5,80.0,0,1,1,5,1,1,0,1,0,5,7,14,21,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,1332
INVEREADY GIPUZKOA,2,1,O. Hanzlik,20:19,6,0,0,0.0,2,3,66.7,2,3,66.7,0,0,0.0,0,2,2,1,1,0,0,0,0,0,0,4,7,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,1219
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,09:56,0,0,1,0.0,0,3,0.0,0,4,0.0,0,0,0.0,1,1,2,0,0,1,0,0,0,2,2,-4,-1,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,596
INVEREADY GIPUZKOA,9,0,M. Motos Cabodevilla,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,0
INVEREADY GIPUZKOA,10,1,M. Ansorregui Deba,25:19,15,7,9,77.8,0,0,0.0,7,9,77.8,1,1,100.0,1,3,4,1,0,3,1,0,1,2,1,1,21,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1519
INVEREADY GIPUZKOA,11,0,G. Maiza Apecechea,19:06,9,2,4,50.0,1,3,33.3,3,7,42.9,2,4,50.0,0,1,1,2,2,0,0,0,0,2,2,-7,4,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,1146
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,17:31,3,1,2,50.0,0,0,0.0,1,2,50.0,1,2,50.0,1,2,3,2,0,0,0,0,0,2,3,-8,7,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,1051
INVEREADY GIPUZKOA,13,0,T. Mcghie,16:14,5,1,1,100.0,0,2,0.0,1,3,33.3,3,3,100.0,0,3,3,2,0,0,0,0,0,1,1,-3,8,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,974
INVEREADY GIPUZKOA,22,0,G. Korsantia,18:55,7,3,4,75.0,0,0,0.0,3,4,75.0,1,2,50.0,1,4,5,1,4,0,0,0,0,3,1,-4,5,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1135
INVEREADY GIPUZKOA,24,1,I. Arroyo Varela,27:59,11,3,4,75.0,1,2,50.0,4,6,66.7,2,3,66.7,0,0,0,4,3,0,0,0,0,4,1,-5,6,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,1679
