Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MELILLA CIUDAD DEL DEPORTE,0,1,J. Godspower Johnson,16:36,0,0,3,0.0,0,4,0.0,0,7,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,1,0,-6,-6,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,996
MELILLA CIUDAD DEL DEPORTE,3,0,J. Ezquerra Trelles,13:07,0,0,1,0.0,0,2,0.0,0,3,0.0,0,0,0.0,0,0,0,3,1,0,0,0,0,0,1,-5,0,2864599,https://imagenes.feb.es/foto.aspx?c=2864599,787
MELILLA CIUDAD DEL DEPORTE,6,0,J. Bergstedt,06:24,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,0,1,1,0,2,0,0,1,1,1,1,-8,-1,2865599,https://imagenes.feb.es/foto.aspx?c=2865599,384
MELILLA CIUDAD DEL DEPORTE,7,0,P. Cordoba Muro,16:50,4,2,2,100.0,0,1,0.0,2,3,66.7,0,0,0.0,1,2,3,0,1,0,0,1,0,2,0,-20,3,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,1010
MELILLA CIUDAD DEL DEPORTE,9,1,I. Cruz Uceda,25:58,9,4,9,44.4,0,3,0.0,4,12,33.3,1,2,50.0,5,3,8,3,1,1,0,0,0,0,2,-15,13,1382710,https://imagenes.feb.es/foto.aspx?c=1382710,1558
MELILLA CIUDAD DEL DEPORTE,10,1,N. Hoover,24:54,10,2,3,66.7,2,8,25.0,4,11,36.4,0,1,0.0,1,2,3,2,0,1,0,0,0,3,3,-17,8,2532075,https://imagenes.feb.es/foto.aspx?c=2532075,1494
MELILLA CIUDAD DEL DEPORTE,12,0,P. Krutous,04:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0,2734873,https://imagenes.feb.es/foto.aspx?c=2734873,240
MELILLA CIUDAD DEL DEPORTE,13,0,S. Rodriguez Febles,21:31,15,1,2,50.0,4,7,57.1,5,9,55.6,1,4,25.0,2,2,4,0,1,2,0,0,0,2,4,-14,15,1373532,https://imagenes.feb.es/foto.aspx?c=1373532,1291
MELILLA CIUDAD DEL DEPORTE,22,1,C. Diaz Rodriguez,21:32,10,2,2,100.0,2,3,66.7,4,5,80.0,0,0,0.0,0,2,2,5,6,1,0,0,0,3,3,-10,11,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1292
MELILLA CIUDAD DEL DEPORTE,24,1,M. Caicedo Sanchez,25:01,17,3,5,60.0,3,5,60.0,6,10,60.0,2,2,100.0,3,1,4,4,2,6,1,0,0,0,3,-1,29,2866764,https://imagenes.feb.es/foto.aspx?c=2866764,1501
