Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HLA ALICANTE,3,1,U. Mendicote Rubio,27:21,11,3,5,60.0,0,1,0.0,3,6,50.0,5,6,83.3,1,4,5,1,0,0,1,1,0,0,4,-5,18,1869378,https://imagenes.feb.es/foto.aspx?c=1869378,1641
HLA ALICANTE,4,0,S. Ceccardi,21:17,10,2,2,100.0,1,3,33.3,3,5,60.0,3,3,100.0,0,1,1,1,2,2,0,0,0,3,3,-6,10,2787126,https://imagenes.feb.es/foto.aspx?c=2787126,1277
HLA ALICANTE,7,1,S. Hollanders,26:19,7,1,4,25.0,1,5,20.0,2,9,22.2,2,2,100.0,2,2,4,2,0,1,0,1,0,1,1,-12,7,2825760,https://imagenes.feb.es/foto.aspx?c=2825760,1579
HLA ALICANTE,8,0,J. Mwema,14:42,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,0,2,2,0,0,0,1,1,-9,2,2734619,https://imagenes.feb.es/foto.aspx?c=2734619,882
HLA ALICANTE,10,1,E. Polanco Tavarez,31:31,7,1,6,16.7,1,4,25.0,2,10,20.0,2,4,50.0,1,4,5,5,0,0,0,1,0,0,3,-11,10,2863973,https://imagenes.feb.es/foto.aspx?c=2863973,1891
HLA ALICANTE,12,0,B. Coulibaly,01:59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0,2818653,https://imagenes.feb.es/foto.aspx?c=2818653,119
HLA ALICANTE,13,0,K. Larsen,29:12,19,3,8,37.5,0,3,0.0,3,11,27.3,13,15,86.7,3,6,9,1,3,1,1,0,0,2,10,-2,26,2433482,https://imagenes.feb.es/foto.aspx?c=2433482,1752
HLA ALICANTE,14,1,I. Tamba Villen,10:11,0,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,1,0,-20,-4,1997161,https://imagenes.feb.es/foto.aspx?c=1997161,611
HLA ALICANTE,21,0,A. Jorda Rodriguez,09:26,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-2,-3,1676991,https://imagenes.feb.es/foto.aspx?c=1676991,566
HLA ALICANTE,23,0,D. Geu,05:13,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,0,-3,-3,2817123,https://imagenes.feb.es/foto.aspx?c=2817123,313
HLA ALICANTE,24,0,S. Llorente Paz,02:54,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,-6,-3,1381662,https://imagenes.feb.es/foto.aspx?c=1381662,174
HLA ALICANTE,33,1,M. Torres Cuevas,19:55,4,1,2,50.0,0,1,0.0,1,3,33.3,2,2,100.0,1,1,2,2,1,1,0,0,0,3,3,-12,6,1285873,https://imagenes.feb.es/foto.aspx?c=1285873,1195
HESTIA MENORCA,0,0,E. Vicedo Ayala,29:36,5,1,1,100.0,1,7,14.3,2,8,25.0,0,1,0.0,0,4,4,1,1,1,0,0,0,1,1,19,3,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1776
HESTIA MENORCA,1,0,J. Cone,09:51,2,1,1,100.0,0,1,0.0,1,2,50.0,0,0,0.0,2,2,4,0,3,0,0,0,1,3,0,-6,-1,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,591
HESTIA MENORCA,3,1,N. Galette,10:00,4,2,3,66.7,0,1,0.0,2,4,50.0,0,0,0.0,3,1,4,0,0,0,0,1,0,1,0,3,5,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,600
HESTIA MENORCA,8,0,F. Schott,17:23,6,3,5,60.0,0,0,0.0,3,5,60.0,0,2,0.0,1,3,4,0,1,0,0,1,1,5,1,17,1,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,1043
HESTIA MENORCA,10,1,F. Zurbriggen,30:07,15,3,5,60.0,2,3,66.7,5,8,62.5,3,3,100.0,1,6,7,5,0,1,1,0,0,1,7,22,32,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1807
HESTIA MENORCA,11,1,S. Littleson,19:48,21,5,7,71.4,3,8,37.5,8,15,53.3,2,2,100.0,0,0,0,2,2,1,0,0,0,4,3,15,14,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1188
HESTIA MENORCA,13,0,J. Lobo Martorell,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,0
HESTIA MENORCA,15,0,P. Molins Calderon,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,0
HESTIA MENORCA,21,0,T. Mcfadden,27:06,16,3,4,75.0,3,10,30.0,6,14,42.9,1,1,100.0,0,1,1,5,2,3,0,0,0,1,2,8,16,2325133,https://imagenes.feb.es/foto.aspx?c=2325133,1626
HESTIA MENORCA,23,1,E. Wembi,13:37,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,2,3,5,1,0,0,2,1,0,4,0,7,2,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,817
HESTIA MENORCA,55,1,A. Sola Iddrisu,33:06,5,1,1,100.0,1,3,33.3,2,4,50.0,0,0,0.0,0,6,6,1,1,0,0,0,0,2,2,13,9,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1986
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,09:26,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,2,2,0,2,1,0,0,0,3,0,-8,0,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,566
