Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,26:47,12,3,5,60.0,2,4,50.0,5,9,55.6,0,0,0.0,0,2,2,4,0,1,0,0,0,0,0,5,15,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1607
GRUPO URETA TIZONA BURGOS,8,1,F. Terins,28:41,11,1,1,100.0,3,5,60.0,4,6,66.7,0,0,0.0,1,2,3,1,2,0,0,0,0,2,2,-7,11,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,1721
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,18:53,12,1,4,25.0,2,4,50.0,3,8,37.5,4,6,66.7,0,2,2,3,4,3,0,0,0,3,5,-5,11,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1133
GRUPO URETA TIZONA BURGOS,13,0,R. Vila Soley,12:50,3,1,1,100.0,0,0,0.0,1,1,100.0,1,1,100.0,1,3,4,1,0,0,0,0,0,3,3,10,8,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,770
GRUPO URETA TIZONA BURGOS,21,0,G. Gil Garcia,11:54,0,0,2,0.0,0,1,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,3,1,-5,-2,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,714
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,09:08,4,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0.0,1,0,1,0,1,0,0,0,0,2,1,16,2,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,548
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,15:06,11,1,4,25.0,3,4,75.0,4,8,50.0,0,0,0.0,2,1,3,0,0,0,0,0,0,1,1,-11,10,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,906
GRUPO URETA TIZONA BURGOS,31,1,J. Brown-Ferguson,25:38,14,6,6,100.0,0,0,0.0,6,6,100.0,2,2,100.0,3,5,8,0,0,0,1,0,0,4,3,-21,22,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,1538
GRUPO URETA TIZONA BURGOS,33,0,A. Alonso Cuevas,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,0
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,24:18,3,0,4,0.0,1,2,50.0,1,6,16.7,0,0,0.0,2,1,3,0,2,0,0,0,0,1,1,-9,-1,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1458
GRUPO URETA TIZONA BURGOS,55,0,G. Jofresa Sarret,13:54,4,0,3,0.0,0,2,0.0,0,5,0.0,4,4,100.0,0,3,3,2,1,0,0,0,0,1,3,-12,5,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,834
GRUPO URETA TIZONA BURGOS,60,0,A. Alonso Ruiz,12:51,8,4,6,66.7,0,0,0.0,4,6,66.7,0,0,0.0,0,2,2,1,5,0,0,0,0,4,1,4,1,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,771
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,25:28,13,4,6,66.7,1,6,16.7,5,12,41.7,2,4,50.0,1,7,8,8,4,3,0,0,0,4,6,3,21,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1528
ALIMERKA OVIEDO BALONCESTO,4,1,A. Faure Ribes,09:58,11,3,5,60.0,1,1,100.0,4,6,66.7,2,4,50.0,3,3,6,0,1,0,0,0,1,4,2,14,10,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,598
ALIMERKA OVIEDO BALONCESTO,5,0,G. Parham Ii,14:16,2,1,5,20.0,0,2,0.0,1,7,14.3,0,0,0.0,3,3,6,2,1,0,0,0,0,0,2,-2,5,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,856
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,19:45,4,0,1,0.0,1,2,50.0,1,3,33.3,1,2,50.0,0,1,1,2,2,0,0,0,0,4,5,-7,3,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1185
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,05:30,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-7,0,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,330
ALIMERKA OVIEDO BALONCESTO,14,1,D. Shelist,22:05,7,2,3,66.7,1,2,50.0,3,5,60.0,0,0,0.0,1,2,3,1,1,4,0,0,0,1,1,-4,12,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1325
ALIMERKA OVIEDO BALONCESTO,24,1,C. Hermanson,21:03,16,1,2,50.0,3,8,37.5,4,10,40.0,5,5,100.0,0,1,1,1,0,0,0,0,0,2,1,-7,11,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,1263
ALIMERKA OVIEDO BALONCESTO,35,0,F. Nwaokorie,17:19,1,0,3,0.0,0,1,0.0,0,4,0.0,1,2,50.0,1,0,1,0,0,1,0,1,0,0,2,4,0,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1039
ALIMERKA OVIEDO BALONCESTO,41,0,R. Cosialls Borras,24:29,13,2,3,66.7,1,1,100.0,3,4,75.0,6,6,100.0,1,2,3,2,0,0,0,0,1,2,4,2,19,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1469
