Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO CAESA SEGUROS FC CARTAGENA CB,0,0,J. Lopez Santana,14:43,0,0,1,0.0,0,2,0.0,0,3,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,1,0,-1,-2,1525747,https://imagenes.feb.es/foto.aspx?c=1525747,883
GRUPO CAESA SEGUROS FC CARTAGENA CB,1,0,C. Polynice,15:48,2,1,2,50.0,0,2,0.0,1,4,25.0,0,0,0.0,0,0,0,1,1,0,0,0,0,1,0,-13,-2,2862304,https://imagenes.feb.es/foto.aspx?c=2862304,948
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,1,A. Garuba Alari,10:18,0,0,1,0.0,0,2,0.0,0,3,0.0,0,0,0.0,1,1,2,1,1,1,0,1,0,2,1,0,-1,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,618
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,0,I. Rivera Carroll,29:15,16,3,8,37.5,3,4,75.0,6,12,50.0,1,2,50.0,1,1,2,1,0,2,0,0,0,4,1,-16,11,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,1755
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,0,A. Martin Marin,06:48,0,0,0,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,0,0,0,3,0,0,0,0,0,2,-10,-5,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,408
GRUPO CAESA SEGUROS FC CARTAGENA CB,10,1,K. Webster,27:19,6,2,4,50.0,0,4,0.0,2,8,25.0,2,2,100.0,0,1,1,3,2,2,0,1,0,2,3,-11,5,2862296,https://imagenes.feb.es/foto.aspx?c=2862296,1639
GRUPO CAESA SEGUROS FC CARTAGENA CB,11,1,E. Idehen Idehen,09:40,5,1,2,50.0,1,1,100.0,2,3,66.7,0,0,0.0,0,2,2,1,3,0,1,0,0,4,0,-16,1,2525411,https://imagenes.feb.es/foto.aspx?c=2525411,580
GRUPO CAESA SEGUROS FC CARTAGENA CB,12,1,A. Domenech Fontana,26:51,9,1,2,50.0,1,3,33.3,2,5,40.0,4,4,100.0,2,2,4,3,0,2,0,1,0,4,2,-3,13,1923881,https://imagenes.feb.es/foto.aspx?c=1923881,1611
GRUPO CAESA SEGUROS FC CARTAGENA CB,13,0,V. Faverani Tatsch,27:41,14,5,7,71.4,0,1,0.0,5,8,62.5,4,5,80.0,3,2,5,1,2,0,1,1,0,0,3,2,18,2820135,https://imagenes.feb.es/foto.aspx?c=2820135,1661
GRUPO CAESA SEGUROS FC CARTAGENA CB,15,0,M. Ayesa Rodriguez,12:22,9,0,0,0.0,3,5,60.0,3,5,60.0,0,0,0.0,1,2,3,0,0,0,0,0,0,1,0,-5,9,2736779,https://imagenes.feb.es/foto.aspx?c=2736779,742
GRUPO CAESA SEGUROS FC CARTAGENA CB,19,0,A. Harguindey Maneiro,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997544,https://imagenes.feb.es/foto.aspx?c=1997544,0
GRUPO CAESA SEGUROS FC CARTAGENA CB,20,1,S. Svejcar,19:15,5,0,2,0.0,0,3,0.0,0,5,0.0,5,5,100.0,1,1,2,2,0,0,0,0,0,0,5,-7,9,2816849,https://imagenes.feb.es/foto.aspx?c=2816849,1155
PALMER BASKET MALLORCA PALMA,0,0,H. Atencia Suarez,19:00,19,2,4,50.0,4,5,80.0,6,9,66.7,3,3,100.0,0,3,3,4,2,1,0,0,0,2,3,15,23,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1140
PALMER BASKET MALLORCA PALMA,5,1,P. Scrubb,30:04,12,1,3,33.3,1,4,25.0,2,7,28.6,7,9,77.8,0,4,4,4,4,0,0,0,0,2,6,11,13,2863891,https://imagenes.feb.es/foto.aspx?c=2863891,1804
PALMER BASKET MALLORCA PALMA,7,1,D. Sanadze,25:59,17,4,7,57.1,3,8,37.5,7,15,46.7,0,0,0.0,2,1,3,2,5,0,0,0,0,3,2,8,8,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1559
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,0
PALMER BASKET MALLORCA PALMA,9,1,A. Urdiain Labayen,20:26,2,1,3,33.3,0,2,0.0,1,5,20.0,0,0,0.0,2,5,7,0,0,0,0,1,0,0,1,3,6,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,1226
PALMER BASKET MALLORCA PALMA,10,0,G. Dike Egun,17:23,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,2,2,4,2,0,0,0,0,0,1,0,12,7,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,1043
PALMER BASKET MALLORCA PALMA,12,0,J. Carralero Martin,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,0
PALMER BASKET MALLORCA PALMA,15,0,J. Feliu Espejo,24:22,4,2,3,66.7,0,2,0.0,2,5,40.0,0,0,0.0,0,2,2,0,0,1,0,0,0,1,0,-2,3,1688669,https://imagenes.feb.es/foto.aspx?c=1688669,1462
PALMER BASKET MALLORCA PALMA,22,1,N. Camacho De Sá,18:32,5,0,1,0.0,1,2,50.0,1,3,33.3,2,2,100.0,0,1,1,2,1,0,0,0,0,2,3,19,6,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,1112
PALMER BASKET MALLORCA PALMA,23,0,J. Roberts,23:32,13,4,5,80.0,0,0,0.0,4,5,80.0,5,6,83.3,3,3,6,2,0,1,1,1,1,1,3,16,23,2860169,https://imagenes.feb.es/foto.aspx?c=2860169,1412
PALMER BASKET MALLORCA PALMA,24,0,A. Comendador Femenias,04:14,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,1,1,2,0,0,0,0,0,1,2,0,-2,1,1766217,https://imagenes.feb.es/foto.aspx?c=1766217,254
PALMER BASKET MALLORCA PALMA,47,1,A. Izaw Bolavie,16:28,6,2,4,50.0,0,0,0.0,2,4,50.0,2,2,100.0,2,2,4,0,1,1,3,0,1,3,1,0,9,2812898,https://imagenes.feb.es/foto.aspx?c=2812898,988
