Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
SÚPER AGROPAL PALENCIA,1,0,M. Heron,18:12,25,6,6,100.0,4,4,100.0,10,10,100.0,1,4,25.0,1,0,1,2,0,1,0,0,3,3,4,25,27,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,1092
SÚPER AGROPAL PALENCIA,4,0,O. Gomez Fernandez,01:45,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,2186516,https://imagenes.feb.es/foto.aspx?c=2186516,105
SÚPER AGROPAL PALENCIA,6,1,T. Borg,23:47,10,2,3,66.7,2,3,66.7,4,6,66.7,0,0,0.0,1,1,2,2,2,0,0,0,0,2,2,15,10,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1427
SÚPER AGROPAL PALENCIA,7,0,X. Oroz Uria,15:44,6,1,1,100.0,1,3,33.3,2,4,50.0,1,2,50.0,2,5,7,2,0,1,0,0,0,3,1,5,11,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,944
SÚPER AGROPAL PALENCIA,8,1,I. Jakovics,26:25,21,1,2,50.0,6,9,66.7,7,11,63.6,1,2,50.0,0,6,6,3,2,3,0,0,0,1,3,18,28,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,1585
SÚPER AGROPAL PALENCIA,9,1,M. Kamba,25:32,4,1,2,50.0,0,0,0.0,1,2,50.0,2,2,100.0,0,2,2,5,1,1,0,0,0,0,2,12,12,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,1532
SÚPER AGROPAL PALENCIA,11,0,M. Rodriguez Barrientos,08:35,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,1,0,-2,-3,1376540,https://imagenes.feb.es/foto.aspx?c=1376540,515
SÚPER AGROPAL PALENCIA,13,1,J. Vrankic,23:22,10,5,7,71.4,0,4,0.0,5,11,45.5,0,0,0.0,0,7,7,4,1,0,1,0,1,3,0,10,12,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1402
SÚPER AGROPAL PALENCIA,17,1,M. Armus,16:07,4,2,5,40.0,0,0,0.0,2,5,40.0,0,0,0.0,3,1,4,2,0,0,1,0,1,3,0,11,5,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,967
SÚPER AGROPAL PALENCIA,33,0,V. Vucetic,19:51,11,3,5,60.0,1,2,50.0,4,7,57.1,2,3,66.7,1,6,7,1,1,1,0,0,1,3,2,17,14,2217440,https://imagenes.feb.es/foto.aspx?c=2217440,1191
SÚPER AGROPAL PALENCIA,35,0,A. Muñoz Borchers,16:55,6,0,1,0.0,2,5,40.0,2,6,33.3,0,2,0.0,0,1,1,0,0,2,2,0,0,0,1,13,6,1253254,https://imagenes.feb.es/foto.aspx?c=1253254,1015
SÚPER AGROPAL PALENCIA,88,0,G. Levy,03:45,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,3,0,-5,-5,2866321,https://imagenes.feb.es/foto.aspx?c=2866321,225
FLEXICAR FUENLABRADA,0,1,I. Aurrecoechea Alcolado,27:24,13,4,7,57.1,0,0,0.0,4,7,57.1,5,9,55.6,3,5,8,1,2,0,0,1,1,0,6,-7,19,1384981,https://imagenes.feb.es/foto.aspx?c=1384981,1644
FLEXICAR FUENLABRADA,7,1,M. Diaz,29:46,15,6,7,85.7,1,5,20.0,7,12,58.3,0,1,0.0,0,1,1,2,2,1,0,0,0,1,3,-15,13,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1786
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,27:17,13,2,5,40.0,3,6,50.0,5,11,45.5,0,1,0.0,0,1,1,2,2,3,0,2,0,4,2,-19,8,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1637
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,04:09,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,2,3,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,249
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,04:09,4,2,2,100.0,0,1,0.0,2,3,66.7,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1,2,5,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,249
FLEXICAR FUENLABRADA,22,0,B. De Bisschop,17:39,3,1,5,20.0,0,0,0.0,1,5,20.0,1,2,50.0,2,4,6,1,1,0,0,1,1,2,2,-20,4,2703151,https://imagenes.feb.es/foto.aspx?c=2703151,1059
FLEXICAR FUENLABRADA,30,0,P. Rigot,15:02,0,0,1,0.0,0,2,0.0,0,3,0.0,0,0,0.0,2,0,2,0,2,0,0,0,0,1,0,-19,-4,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,902
FLEXICAR FUENLABRADA,32,1,G. Renfroe,28:04,9,0,1,0.0,3,5,60.0,3,6,50.0,0,0,0.0,0,3,3,2,2,1,0,0,0,2,3,-9,11,2236015,https://imagenes.feb.es/foto.aspx?c=2236015,1684
FLEXICAR FUENLABRADA,35,1,J. Belemene-Dzabatou,27:51,9,3,10,30.0,1,5,20.0,4,15,26.7,0,0,0.0,1,3,4,2,0,1,0,0,1,3,0,-11,2,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1671
FLEXICAR FUENLABRADA,88,0,J. Kasibabu Shilala,18:39,6,1,3,33.3,0,3,0.0,1,6,16.7,4,5,80.0,1,4,5,1,0,0,0,0,0,2,5,-19,9,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,1119
