Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CAJA RURAL CB ZAMORA,2,1,T. Roberts,21:29,22,6,10,60.0,2,7,28.6,8,17,47.1,4,4,100.0,0,1,1,0,4,0,0,0,0,0,3,-24,13,2813978,https://imagenes.feb.es/foto.aspx?c=2813978,1289
CAJA RURAL CB ZAMORA,3,1,C. Rogers,17:17,5,1,3,33.3,1,3,33.3,2,6,33.3,0,0,0.0,1,0,1,0,1,0,0,0,0,1,1,3,1,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1037
CAJA RURAL CB ZAMORA,4,0,J. Round,17:13,2,0,0,0.0,0,1,0.0,0,1,0.0,2,2,100.0,0,2,2,1,1,1,0,0,0,2,1,-21,3,2335424,https://imagenes.feb.es/foto.aspx?c=2335424,1033
CAJA RURAL CB ZAMORA,9,0,J. Peris Crespo,19:12,6,3,4,75.0,0,3,0.0,3,7,42.9,0,0,0.0,0,1,1,2,2,0,0,0,0,0,3,-28,6,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,1152
CAJA RURAL CB ZAMORA,13,1,A. Martinez Clariana,21:27,11,3,5,60.0,0,1,0.0,3,6,50.0,5,6,83.3,1,1,2,1,0,2,0,0,0,2,4,-13,14,1890908,https://imagenes.feb.es/foto.aspx?c=1890908,1287
CAJA RURAL CB ZAMORA,14,0,D. Kristensen,13:01,2,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,2,2,0,0,0,0,0,0,3,1,2,2,2819218,https://imagenes.feb.es/foto.aspx?c=2819218,781
CAJA RURAL CB ZAMORA,15,1,O. Lo       ,16:00,4,1,1,100.0,0,0,0.0,1,1,100.0,2,4,50.0,0,1,1,0,0,0,0,0,0,2,2,-7,3,2432888,https://imagenes.feb.es/foto.aspx?c=2432888,960
CAJA RURAL CB ZAMORA,17,0,T. Naspler Peraire,17:37,2,1,3,33.3,0,1,0.0,1,4,25.0,0,0,0.0,0,4,4,2,3,3,1,0,0,2,0,-10,4,1947677,https://imagenes.feb.es/foto.aspx?c=1947677,1057
CAJA RURAL CB ZAMORA,21,1,J. Van Zegeren,21:50,6,3,8,37.5,0,0,0.0,3,8,37.5,0,1,0.0,2,3,5,1,1,0,0,1,1,3,1,-7,3,2335179,https://imagenes.feb.es/foto.aspx?c=2335179,1310
CAJA RURAL CB ZAMORA,34,0,S. Thrastarson,19:06,3,1,4,25.0,0,3,0.0,1,7,14.3,1,2,50.0,2,2,4,1,0,1,0,1,1,2,1,-26,1,2814245,https://imagenes.feb.es/foto.aspx?c=2814245,1146
CAJA RURAL CB ZAMORA,55,0,J. Paukstè,15:48,7,2,5,40.0,0,0,0.0,2,5,40.0,3,3,100.0,1,2,3,0,0,1,0,3,0,3,3,-24,8,2334629,https://imagenes.feb.es/foto.aspx?c=2334629,948
CAJA RURAL CB ZAMORA,80,0,P. Montesdeoca Santana,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087017,https://imagenes.feb.es/foto.aspx?c=2087017,0
INVEREADY GIPUZKOA,0,1,A. Ngom,21:23,12,3,4,75.0,0,1,0.0,3,5,60.0,6,6,100.0,3,6,9,1,3,1,2,0,1,3,6,20,23,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,1283
INVEREADY GIPUZKOA,1,1,J. Tate,22:48,18,4,7,57.1,3,4,75.0,7,11,63.6,1,2,50.0,1,1,2,3,2,2,0,0,1,2,2,15,18,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,1368
INVEREADY GIPUZKOA,2,1,O. Hanzlik,23:47,13,2,4,50.0,3,4,75.0,5,8,62.5,0,0,0.0,1,2,3,2,0,2,0,0,0,2,0,28,15,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,1427
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,13:59,9,2,5,40.0,1,3,33.3,3,8,37.5,2,2,100.0,0,1,1,1,1,2,0,0,0,1,4,23,10,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,839
INVEREADY GIPUZKOA,9,0,M. Motos Cabodevilla,08:29,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,4,2,0,0,0,0,0,1,1,-1,6,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,509
INVEREADY GIPUZKOA,10,0,M. Ansorregui Deba,22:18,7,3,8,37.5,0,0,0.0,3,8,37.5,1,2,50.0,1,6,7,2,2,1,0,1,0,2,2,7,9,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1338
INVEREADY GIPUZKOA,11,0,G. Maiza Apecechea,12:05,5,1,2,50.0,1,2,50.0,2,4,50.0,0,0,0.0,0,0,0,0,3,0,0,0,0,1,0,-14,-1,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,725
INVEREADY GIPUZKOA,12,0,J. Nicolau Aledon,15:15,6,2,2,100.0,0,0,0.0,2,2,100.0,2,2,100.0,0,0,0,1,0,0,2,0,1,2,1,14,8,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,915
INVEREADY GIPUZKOA,13,0,T. Mcghie,21:15,19,1,2,50.0,5,8,62.5,6,10,60.0,2,3,66.7,0,5,5,0,0,0,0,0,0,1,3,14,21,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1275
INVEREADY GIPUZKOA,22,1,G. Korsantia,20:51,7,1,4,25.0,1,2,50.0,2,6,33.3,2,2,100.0,2,8,10,2,2,1,1,0,0,4,1,21,12,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1251
INVEREADY GIPUZKOA,24,1,I. Arroyo Varela,17:50,5,1,2,50.0,1,3,33.3,2,5,40.0,0,0,0.0,0,0,0,5,1,0,0,0,0,1,0,28,5,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,1070
