Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
LEYMA CORUÑA,0,1,D. Cuevas Simarro,20:10,3,0,1,0.0,0,7,0.0,0,8,0.0,3,4,75.0,0,0,0,6,0,1,0,0,0,0,3,2,4,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1210
LEYMA CORUÑA,4,0,P. Jorgensen,20:34,17,6,11,54.5,1,4,25.0,7,15,46.7,2,2,100.0,0,2,2,1,0,1,0,1,0,3,1,8,11,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1234
LEYMA CORUÑA,5,1,G. Jou Coll,19:49,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,1,6,7,0,0,0,0,0,0,1,1,-16,5,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,1189
LEYMA CORUÑA,6,0,M. Braz,00:46,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,46
LEYMA CORUÑA,8,1,D. Radoncic,21:41,15,4,4,100.0,2,2,100.0,6,6,100.0,1,2,50.0,0,5,5,2,3,0,1,0,0,2,3,3,20,2843861,https://imagenes.feb.es/foto.aspx?c=2843861,1301
LEYMA CORUÑA,9,0,C. De Souza Pacheco,19:19,13,3,9,33.3,1,3,33.3,4,12,33.3,4,5,80.0,0,2,2,3,0,0,0,2,0,1,5,10,13,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,1159
LEYMA CORUÑA,13,0,D. Brnovic,05:36,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,7,-2,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,336
LEYMA CORUÑA,21,0,I. Diop Gaye,20:35,4,1,1,100.0,0,0,0.0,1,1,100.0,2,4,50.0,0,3,3,1,1,0,1,0,1,4,4,3,6,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1235
LEYMA CORUÑA,24,1,J. Cremo,20:10,8,2,4,50.0,0,4,0.0,2,8,25.0,4,4,100.0,1,3,4,3,1,1,0,0,0,0,2,3,11,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1210
LEYMA CORUÑA,34,1,S. Barro,17:26,13,4,4,100.0,0,0,0.0,4,4,100.0,5,6,83.3,2,1,3,0,0,0,0,0,1,4,5,9,16,2862313,https://imagenes.feb.es/foto.aspx?c=2862313,1046
LEYMA CORUÑA,44,0,A. Thiam,14:27,2,1,3,33.3,0,0,0.0,1,3,33.3,0,2,0.0,0,4,4,0,0,2,0,1,1,4,2,-4,2,2815798,https://imagenes.feb.es/foto.aspx?c=2815798,867
