Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
INVEREADY GIPUZKOA,0,1,A. Ngom,15:59,8,3,4,75.0,0,0,0.0,3,4,75.0,2,2,100.0,1,1,2,0,1,0,1,0,3,3,2,-8,8,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,959
INVEREADY GIPUZKOA,1,0,J. Tate,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,0
INVEREADY GIPUZKOA,2,1,O. Hanzlik,18:19,3,0,0,0.0,1,8,12.5,1,8,12.5,0,0,0.0,0,3,3,4,1,2,0,0,0,1,2,1,5,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,1099
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,17:24,2,1,1,100.0,0,2,0.0,1,3,33.3,0,0,0.0,1,2,3,3,1,0,0,0,0,1,3,9,7,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,1044
INVEREADY GIPUZKOA,9,0,M. Motos Cabodevilla,18:15,8,2,2,100.0,1,2,50.0,3,4,75.0,1,1,100.0,0,1,1,1,0,1,0,0,0,3,2,7,9,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,1095
INVEREADY GIPUZKOA,10,0,M. Ansorregui Deba,19:21,6,2,6,33.3,0,0,0.0,2,6,33.3,2,2,100.0,3,2,5,1,1,1,0,0,0,1,2,8,9,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1161
INVEREADY GIPUZKOA,11,1,G. Maiza Apecechea,20:42,14,2,4,50.0,2,5,40.0,4,9,44.4,4,4,100.0,0,0,0,3,1,0,0,1,0,2,4,-1,13,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,1242
INVEREADY GIPUZKOA,12,0,J. Nicolau Aledon,23:13,10,3,4,75.0,0,0,0.0,3,4,75.0,4,6,66.7,1,4,5,1,1,0,2,0,0,2,3,11,15,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,1393
INVEREADY GIPUZKOA,13,0,T. Mcghie,23:07,9,1,5,20.0,2,8,25.0,3,13,23.1,1,1,100.0,0,1,1,2,0,1,2,1,0,1,1,-3,5,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1387
INVEREADY GIPUZKOA,22,1,G. Korsantia,21:08,11,4,6,66.7,0,1,0.0,4,7,57.1,3,3,100.0,5,3,8,0,4,1,0,0,0,2,3,-5,14,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1268
INVEREADY GIPUZKOA,24,1,I. Arroyo Varela,22:32,10,1,3,33.3,2,4,50.0,3,7,42.9,2,2,100.0,0,0,0,2,0,0,0,0,0,3,1,-9,6,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,1352
CLOUD.GAL OURENSE BALONCESTO ,7,1,A. Vrabac,20:15,4,1,2,50.0,0,1,0.0,1,3,33.3,2,2,100.0,0,2,2,1,1,1,1,1,0,2,3,-10,7,2867056,https://imagenes.feb.es/foto.aspx?c=2867056,1215
CLOUD.GAL OURENSE BALONCESTO ,9,1,C. Okanu,07:58,2,0,2,0.0,0,0,0.0,0,2,0.0,2,2,100.0,0,0,0,0,1,1,0,0,0,4,1,-11,-3,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,478
CLOUD.GAL OURENSE BALONCESTO ,10,1,I. Vazquez Perez,19:01,9,4,8,50.0,0,4,0.0,4,12,33.3,1,2,50.0,1,4,5,2,1,1,0,1,0,2,2,4,7,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,1141
CLOUD.GAL OURENSE BALONCESTO ,11,0,M. Fernandez Carballo,12:57,5,1,4,25.0,0,1,0.0,1,5,20.0,3,4,75.0,0,2,2,0,1,0,0,1,0,0,2,-4,3,1886852,https://imagenes.feb.es/foto.aspx?c=1886852,777
CLOUD.GAL OURENSE BALONCESTO ,12,0,S. Huguet Carrasco,02:56,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0,1765084,https://imagenes.feb.es/foto.aspx?c=1765084,176
CLOUD.GAL OURENSE BALONCESTO ,22,1,G. Kalscheur,30:45,20,4,7,57.1,3,5,60.0,7,12,58.3,3,3,100.0,2,2,4,1,3,2,0,0,0,1,3,2,21,2819327,https://imagenes.feb.es/foto.aspx?c=2819327,1845
CLOUD.GAL OURENSE BALONCESTO ,23,0,D. Saraiva Seixas,15:34,8,1,2,50.0,2,2,100.0,3,4,75.0,0,0,0.0,0,2,2,0,3,0,0,0,0,3,0,3,3,2819332,https://imagenes.feb.es/foto.aspx?c=2819332,934
CLOUD.GAL OURENSE BALONCESTO ,24,1,S. Mc Donnell,25:13,7,3,7,42.9,0,0,0.0,3,7,42.9,1,2,50.0,3,3,6,1,1,0,0,1,0,2,2,2,8,2781800,https://imagenes.feb.es/foto.aspx?c=2781800,1513
CLOUD.GAL OURENSE BALONCESTO ,27,0,M. Iglesias Fernandez,07:06,7,3,4,75.0,0,0,0.0,3,4,75.0,1,2,50.0,3,2,5,0,0,0,0,0,0,1,1,-8,10,1863291,https://imagenes.feb.es/foto.aspx?c=1863291,426
CLOUD.GAL OURENSE BALONCESTO ,28,0,R. Dias Marques Lisboa Santos,24:57,6,1,4,25.0,1,2,50.0,2,6,33.3,1,1,100.0,0,2,2,4,3,0,0,1,0,3,1,-1,3,2650871,https://imagenes.feb.es/foto.aspx?c=2650871,1497
CLOUD.GAL OURENSE BALONCESTO ,35,0,R. Gill,24:56,6,3,5,60.0,0,0,0.0,3,5,60.0,0,0,0.0,1,6,7,0,0,2,1,0,2,4,2,17,12,2654188,https://imagenes.feb.es/foto.aspx?c=2654188,1496
CLOUD.GAL OURENSE BALONCESTO ,41,0,C. Jürgens,08:22,5,1,1,100.0,0,0,0.0,1,1,100.0,3,3,100.0,0,1,1,1,0,0,0,0,0,1,1,-8,7,2819335,https://imagenes.feb.es/foto.aspx?c=2819335,502
