Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MOVISTAR ESTUDIANTES,1,1,A. González Pérez,23:30,7,2,4,50.0,0,0,0.0,2,4,50.0,3,3,100.0,0,1,1,0,3,1,0,0,0,3,4,-3,5,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,1410
MOVISTAR ESTUDIANTES,6,0,L. Giovannetti,17:04,7,0,0,0.0,1,2,50.0,1,2,50.0,4,4,100.0,0,0,0,0,0,0,1,0,0,2,3,3,8,2433615,https://imagenes.feb.es/foto.aspx?c=2433615,1024
MOVISTAR ESTUDIANTES,10,1,S. Garcia Calvo,24:16,2,0,2,0.0,0,2,0.0,0,4,0.0,2,2,100.0,2,3,5,4,4,3,0,0,0,4,3,8,5,1517914,https://imagenes.feb.es/foto.aspx?c=1517914,1456
MOVISTAR ESTUDIANTES,11,0,J. Granger,23:41,25,5,6,83.3,4,7,57.1,9,13,69.2,3,4,75.0,0,4,4,2,1,0,0,0,0,2,7,15,30,2734234,https://imagenes.feb.es/foto.aspx?c=2734234,1421
MOVISTAR ESTUDIANTES,14,0,A. Amon Bystrova,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2284278,https://imagenes.feb.es/foto.aspx?c=2284278,0
MOVISTAR ESTUDIANTES,15,1,T. Mc Grew,29:09,8,1,5,20.0,1,4,25.0,2,9,22.2,3,4,75.0,6,4,10,4,2,0,0,0,1,4,5,7,13,2818742,https://imagenes.feb.es/foto.aspx?c=2818742,1749
MOVISTAR ESTUDIANTES,16,0,F. Diaz Martinez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166715,https://imagenes.feb.es/foto.aspx?c=2166715,0
MOVISTAR ESTUDIANTES,18,0,M. Sola Idrisu,00:20,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0,2161529,https://imagenes.feb.es/foto.aspx?c=2161529,20
MOVISTAR ESTUDIANTES,23,0,R. Stumbris,23:20,5,1,2,50.0,1,1,100.0,2,3,66.7,0,0,0.0,0,3,3,2,0,0,1,0,0,2,0,9,8,2739848,https://imagenes.feb.es/foto.aspx?c=2739848,1400
MOVISTAR ESTUDIANTES,24,0,L. Nwogbo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2648543,https://imagenes.feb.es/foto.aspx?c=2648543,0
MOVISTAR ESTUDIANTES,29,1,P. Garino Gullotta ,27:26,18,0,1,0.0,5,6,83.3,5,7,71.4,3,3,100.0,0,2,2,0,0,0,1,0,0,3,2,4,18,2275135,https://imagenes.feb.es/foto.aspx?c=2275135,1646
MOVISTAR ESTUDIANTES,51,1,O. Silverio Grullon,31:14,13,2,4,50.0,3,9,33.3,5,13,38.5,0,0,0.0,1,3,4,2,0,0,0,0,0,0,0,-6,11,2790189,https://imagenes.feb.es/foto.aspx?c=2790189,1874
HESTIA MENORCA,0,1,E. Vicedo Ayala,28:17,9,2,5,40.0,1,4,25.0,3,9,33.3,2,2,100.0,2,2,4,0,0,1,0,1,0,1,2,-5,9,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1697
HESTIA MENORCA,1,0,J. Cone,08:44,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,1,0,1,0,2,0,0,0,0,2,0,4,-1,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,524
HESTIA MENORCA,3,0,N. Galette,09:47,0,0,1,0.0,0,3,0.0,0,4,0.0,0,0,0.0,2,1,3,0,0,0,0,1,0,2,0,-3,-3,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,587
HESTIA MENORCA,8,1,F. Schott,14:20,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,2,2,0,1,1,0,0,0,4,0,-1,-3,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,860
HESTIA MENORCA,10,1,F. Zurbriggen,28:42,20,5,6,83.3,2,3,66.7,7,9,77.8,4,4,100.0,0,4,4,1,2,2,0,0,0,4,2,-9,21,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1722
HESTIA MENORCA,11,1,S. Littleson,33:18,17,4,10,40.0,2,6,33.3,6,16,37.5,3,3,100.0,0,7,7,1,2,0,0,1,0,2,4,-2,15,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1998
HESTIA MENORCA,13,0,J. Lobo Martorell,18:58,11,0,1,0.0,2,7,28.6,2,8,25.0,5,5,100.0,0,1,1,0,1,0,0,0,0,4,5,5,6,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,1138
HESTIA MENORCA,15,0,P. Molins Calderon,02:57,2,0,0,0.0,0,2,0.0,0,2,0.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,2,-5,2,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,177
HESTIA MENORCA,23,0,E. Wembi,16:46,7,3,5,60.0,0,0,0.0,3,5,60.0,1,2,50.0,3,1,4,1,0,0,0,0,0,3,2,-11,8,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,1006
HESTIA MENORCA,55,1,A. Sola Iddrisu,29:41,3,0,2,0.0,1,4,25.0,1,6,16.7,0,0,0.0,4,1,5,2,1,0,0,0,0,1,0,-13,3,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1781
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,08:30,6,3,5,60.0,0,0,0.0,3,5,60.0,0,0,0.0,3,0,3,0,0,1,0,0,0,1,2,5,9,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,510
