Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FLEXICAR FUENLABRADA,7,1,M. Diaz,20:36,16,0,2,0.0,4,5,80.0,4,7,57.1,4,6,66.7,1,3,4,4,2,2,0,1,0,5,7,-1,21,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1236
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,31:42,16,1,3,33.3,3,10,30.0,4,13,30.8,5,5,100.0,0,1,1,3,2,0,0,0,0,2,4,-17,11,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1902
FLEXICAR FUENLABRADA,9,0,B. Vidarte Cano,05:19,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,0,1,0,-4,0,2178977,https://imagenes.feb.es/foto.aspx?c=2178977,319
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,24:21,9,2,2,100.0,1,4,25.0,3,6,50.0,2,2,100.0,0,3,3,2,2,1,0,0,0,3,1,-17,8,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1461
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,03:03,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,1,0,-6,-3,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,183
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,07:33,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,-6,0,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,453
FLEXICAR FUENLABRADA,22,1,B. De Bisschop,29:45,10,5,7,71.4,0,0,0.0,5,7,71.4,0,0,0.0,2,3,5,3,2,0,0,0,2,0,1,-3,15,2703151,https://imagenes.feb.es/foto.aspx?c=2703151,1785
FLEXICAR FUENLABRADA,30,0,P. Rigot,10:14,6,0,0,0.0,2,5,40.0,2,5,40.0,0,0,0.0,0,2,2,0,1,0,0,0,0,0,0,-7,4,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,614
FLEXICAR FUENLABRADA,32,0,G. Renfroe,26:45,2,1,3,33.3,0,1,0.0,1,4,25.0,0,0,0.0,1,4,5,3,3,2,0,0,0,4,1,-9,3,2236015,https://imagenes.feb.es/foto.aspx?c=2236015,1605
FLEXICAR FUENLABRADA,35,0,J. Belemene-Dzabatou,19:06,6,3,3,100.0,0,1,0.0,3,4,75.0,0,0,0.0,2,2,4,1,1,1,0,0,0,2,0,-20,8,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1146
FLEXICAR FUENLABRADA,88,1,J. Kasibabu Shilala,21:36,10,3,7,42.9,0,1,0.0,3,8,37.5,4,4,100.0,1,3,4,2,2,0,0,0,1,3,4,-10,10,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,1296
MONBUS OBRADOIRO,5,0,R. Andersson,15:10,7,1,1,100.0,1,2,50.0,2,3,66.7,2,3,66.7,1,3,4,1,0,0,0,0,0,4,1,12,7,2524084,https://imagenes.feb.es/foto.aspx?c=2524084,910
MONBUS OBRADOIRO,7,1,F. Dos Anjos De Paula,22:21,11,4,6,66.7,0,0,0.0,4,6,66.7,3,6,50.0,2,2,4,0,1,0,1,0,0,2,3,25,11,2219665,https://imagenes.feb.es/foto.aspx?c=2219665,1341
MONBUS OBRADOIRO,9,1,L. Westermann,16:47,8,2,3,66.7,0,2,0.0,2,5,40.0,4,4,100.0,0,2,2,8,3,2,0,0,0,2,3,21,15,2436780,https://imagenes.feb.es/foto.aspx?c=2436780,1007
MONBUS OBRADOIRO,10,0,A. Grela Rojas,03:48,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,2,-5,0,2533473,https://imagenes.feb.es/foto.aspx?c=2533473,228
MONBUS OBRADOIRO,11,0,D. Kravic,17:39,3,1,5,20.0,0,0,0.0,1,5,20.0,1,2,50.0,1,1,2,4,0,0,0,0,1,0,2,-5,6,2371461,https://imagenes.feb.es/foto.aspx?c=2371461,1059
MONBUS OBRADOIRO,16,0,A. Etxeguren Gonzalez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082696,https://imagenes.feb.es/foto.aspx?c=2082696,0
MONBUS OBRADOIRO,22,0,T. Munnings,21:21,14,1,3,33.3,4,4,100.0,5,7,71.4,0,0,0.0,0,3,3,2,0,1,0,0,1,2,0,0,16,2734244,https://imagenes.feb.es/foto.aspx?c=2734244,1281
MONBUS OBRADOIRO,23,1,Y. Barrueta,16:05,11,2,3,66.7,2,3,66.7,4,6,66.7,1,2,50.0,1,0,1,0,0,2,0,0,0,3,1,13,9,2524267,https://imagenes.feb.es/foto.aspx?c=2524267,965
MONBUS OBRADOIRO,24,0,D. De Sousa Anjo Brito,16:41,19,5,6,83.3,1,3,33.3,6,9,66.7,6,6,100.0,1,2,3,3,2,2,0,0,0,0,3,-4,25,2528063,https://imagenes.feb.es/foto.aspx?c=2528063,1001
MONBUS OBRADOIRO,25,0,S. Quintela Salvador,21:59,8,3,5,60.0,0,4,0.0,3,9,33.3,2,2,100.0,1,1,2,2,1,3,0,0,0,2,1,11,7,2220063,https://imagenes.feb.es/foto.aspx?c=2220063,1319
MONBUS OBRADOIRO,28,1,A. Barcello,23:19,5,0,4,0.0,1,3,33.3,1,7,14.3,2,4,50.0,1,3,4,2,0,2,0,1,0,1,3,24,7,2640794,https://imagenes.feb.es/foto.aspx?c=2640794,1399
MONBUS OBRADOIRO,57,1,A. Galan Pozo ,24:50,11,3,4,75.0,1,2,50.0,4,6,66.7,2,2,100.0,0,2,2,1,1,1,0,0,0,2,3,8,13,1836771,https://imagenes.feb.es/foto.aspx?c=1836771,1490
