Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,27:33,23,2,2,100.0,3,5,60.0,5,7,71.4,10,11,90.9,0,6,6,4,1,0,0,0,0,3,7,10,33,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1653
ALIMERKA OVIEDO BALONCESTO,4,1,A. Faure Ribes,14:18,6,3,5,60.0,0,1,0.0,3,6,50.0,0,0,0.0,2,2,4,0,2,1,1,2,0,4,1,12,4,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,858
ALIMERKA OVIEDO BALONCESTO,5,0,G. Parham Ii,18:21,7,2,3,66.7,1,4,25.0,3,7,42.9,0,0,0.0,2,1,3,2,1,0,0,0,0,2,0,-7,5,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1101
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,24:20,1,0,1,0.0,0,8,0.0,0,9,0.0,1,2,50.0,1,3,4,3,1,2,0,0,0,3,5,18,1,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1460
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,03:33,1,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,0,0,0,0,0,0,1,1,-2,1,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,213
ALIMERKA OVIEDO BALONCESTO,14,0,D. Shelist,20:14,16,3,3,100.0,2,6,33.3,5,9,55.6,4,5,80.0,3,4,7,1,1,0,0,0,0,3,4,3,19,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1214
ALIMERKA OVIEDO BALONCESTO,24,1,C. Hermanson,09:24,4,1,1,100.0,0,3,0.0,1,4,25.0,2,3,66.7,1,1,2,0,0,0,0,0,0,0,2,0,4,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,564
ALIMERKA OVIEDO BALONCESTO,35,1,F. Nwaokorie,27:11,5,2,2,100.0,0,3,0.0,2,5,40.0,1,2,50.0,0,1,1,0,0,2,1,0,1,1,1,5,5,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1631
ALIMERKA OVIEDO BALONCESTO,41,0,R. Cosialls Borras,21:06,4,1,3,33.3,0,0,0.0,1,3,33.3,2,2,100.0,0,3,3,1,1,0,0,0,0,3,4,5,6,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1266
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,02:53,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,2,0,0,-3,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,173
