Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
SÚPER AGROPAL PALENCIA,1,1,M. Heron,18:15,9,3,5,60.0,1,4,25.0,4,9,44.4,0,0,0.0,0,1,1,1,1,2,0,0,1,1,2,18,8,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,1095
SÚPER AGROPAL PALENCIA,2,0,A. Wintering,15:18,12,4,9,44.4,0,2,0.0,4,11,36.4,4,5,80.0,0,0,0,4,0,2,0,2,0,4,4,0,10,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,918
SÚPER AGROPAL PALENCIA,4,0,O. Gomez Fernandez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2186516,https://imagenes.feb.es/foto.aspx?c=2186516,0
SÚPER AGROPAL PALENCIA,6,0,T. Borg,28:56,18,3,4,75.0,4,9,44.4,7,13,53.8,0,0,0.0,1,0,1,2,4,1,0,0,0,1,2,6,13,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1736
SÚPER AGROPAL PALENCIA,7,0,X. Oroz Uria,11:57,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,0,0,2,0,-6,-1,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,717
SÚPER AGROPAL PALENCIA,8,1,I. Jakovics,24:42,10,3,4,75.0,0,2,0.0,3,6,50.0,4,7,57.1,0,1,1,1,2,2,0,0,0,1,4,11,9,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,1482
SÚPER AGROPAL PALENCIA,9,1,M. Kamba,20:52,4,2,3,66.7,0,1,0.0,2,4,50.0,0,0,0.0,4,7,11,2,4,1,1,0,0,4,1,4,10,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,1252
SÚPER AGROPAL PALENCIA,13,1,J. Vrankic,21:48,10,4,9,44.4,0,2,0.0,4,11,36.4,2,4,50.0,0,3,3,2,0,3,0,2,0,2,3,25,10,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1308
SÚPER AGROPAL PALENCIA,17,1,M. Armus,22:53,7,3,5,60.0,0,0,0.0,3,5,60.0,1,1,100.0,4,7,11,1,0,1,0,0,1,1,2,28,19,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,1373
SÚPER AGROPAL PALENCIA,33,0,V. Vucetic,17:07,0,0,4,0.0,0,2,0.0,0,6,0.0,0,0,0.0,2,0,2,1,0,1,0,0,0,1,0,-17,-3,2217440,https://imagenes.feb.es/foto.aspx?c=2217440,1027
SÚPER AGROPAL PALENCIA,35,0,A. Muñoz Borchers,18:12,7,1,1,100.0,1,3,33.3,2,4,50.0,2,3,66.7,2,0,2,0,0,1,0,0,0,0,3,-14,10,1253254,https://imagenes.feb.es/foto.aspx?c=1253254,1092
SÚPER AGROPAL PALENCIA,88,0,G. Levy,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2867081,https://imagenes.feb.es/foto.aspx?c=2867081,0
CAJA RURAL CB ZAMORA,2,1,T. Roberts,19:16,7,0,4,0.0,2,8,25.0,2,12,16.7,1,1,100.0,0,1,1,4,2,0,0,0,0,4,1,-12,-3,2813978,https://imagenes.feb.es/foto.aspx?c=2813978,1156
CAJA RURAL CB ZAMORA,3,0,C. Rogers,23:52,9,0,3,0.0,3,7,42.9,3,10,30.0,0,0,0.0,1,5,6,1,3,1,1,1,0,1,1,-2,8,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1432
CAJA RURAL CB ZAMORA,4,1,J. Round,17:28,3,0,0,0.0,1,3,33.3,1,3,33.3,0,0,0.0,1,0,1,1,2,1,0,0,0,1,0,5,1,2335424,https://imagenes.feb.es/foto.aspx?c=2335424,1048
CAJA RURAL CB ZAMORA,5,0,B. Prepelic,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2863857,https://imagenes.feb.es/foto.aspx?c=2863857,0
CAJA RURAL CB ZAMORA,9,0,J. Peris Crespo,16:20,6,3,4,75.0,0,2,0.0,3,6,50.0,0,0,0.0,0,0,0,3,2,0,0,0,0,2,0,-10,2,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,980
