Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HESTIA MENORCA,0,0,E. Vicedo Ayala,19:53,11,4,6,66.7,1,3,33.3,5,9,55.6,0,0,0.0,2,4,6,0,1,1,0,0,0,3,0,0,10,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1193
HESTIA MENORCA,1,0,J. Cone,20:28,8,2,4,50.0,1,5,20.0,3,9,33.3,1,3,33.3,0,0,0,2,0,1,0,0,0,1,3,2,5,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,1228
HESTIA MENORCA,2,0,I. Pons Pons,01:53,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-2,-1,2339515,https://imagenes.feb.es/foto.aspx?c=2339515,113
HESTIA MENORCA,3,1,N. Galette,16:55,6,0,0,0.0,2,4,50.0,2,4,50.0,0,0,0.0,1,5,6,1,0,1,0,0,0,2,1,13,11,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,1015
HESTIA MENORCA,8,1,F. Schott,21:28,6,3,3,100.0,0,0,0.0,3,3,100.0,0,1,0.0,2,0,2,2,0,1,1,0,0,2,1,12,10,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,1288
HESTIA MENORCA,10,1,F. Zurbriggen,24:11,13,2,2,100.0,1,3,33.3,3,5,60.0,6,6,100.0,2,5,7,10,1,0,0,0,0,4,6,14,29,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1451
HESTIA MENORCA,11,1,S. Littleson,25:02,14,3,4,75.0,2,4,50.0,5,8,62.5,2,2,100.0,1,0,1,4,2,0,0,0,0,2,1,8,13,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1502
HESTIA MENORCA,13,1,J. Lobo Martorell,20:44,11,0,3,0.0,3,8,37.5,3,11,27.3,2,2,100.0,0,0,0,1,0,1,0,1,0,2,3,7,6,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,1244
HESTIA MENORCA,15,0,P. Molins Calderon,02:10,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,-2,2,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,130
HESTIA MENORCA,23,0,E. Wembi,11:52,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,1,1,1,1,0,0,0,0,4,2,7,0,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,712
HESTIA MENORCA,55,0,A. Sola Iddrisu,25:32,13,1,3,33.3,3,4,75.0,4,7,57.1,2,2,100.0,2,2,4,1,1,0,0,0,0,1,1,18,14,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1532
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,09:52,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,1,1,2,0,2,0,1,0,0,3,0,-2,-1,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,592
PALMER BASKET MALLORCA PALMA,0,1,H. Atencia Suarez,19:39,9,0,3,0.0,2,6,33.3,2,9,22.2,3,3,100.0,1,2,3,5,2,0,0,0,0,4,3,-9,7,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1179
PALMER BASKET MALLORCA PALMA,7,1,D. Sanadze,25:53,13,3,9,33.3,1,1,100.0,4,10,40.0,4,4,100.0,0,2,2,5,1,0,0,0,0,2,3,-9,14,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1553
PALMER BASKET MALLORCA PALMA,9,0,A. Urdiain Labayen,16:41,7,1,2,50.0,1,2,50.0,2,4,50.0,2,4,50.0,0,2,2,0,2,0,0,0,0,1,1,-13,3,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,1001
PALMER BASKET MALLORCA PALMA,10,0,G. Dike Egun,20:07,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,1,0,0,0,2,1,-3,4,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,1207
PALMER BASKET MALLORCA PALMA,12,0,J. Carralero Martin,11:37,6,3,3,100.0,0,0,0.0,3,3,100.0,0,0,0.0,2,2,4,1,0,0,0,0,1,1,0,-3,10,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,697
