Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,24:37,16,2,4,50.0,4,6,66.7,6,10,60.0,0,0,0.0,0,2,2,1,3,1,0,0,0,1,2,-20,14,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1477
GRUPO URETA TIZONA BURGOS,8,1,F. Terins,25:20,12,3,3,100.0,1,3,33.3,4,6,66.7,3,3,100.0,1,0,1,6,2,0,0,0,0,3,3,-11,15,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,1520
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,21:01,5,1,3,33.3,0,5,0.0,1,8,12.5,3,4,75.0,0,7,7,5,2,1,0,0,0,3,5,4,10,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1261
GRUPO URETA TIZONA BURGOS,13,0,R. Vila Soley,19:59,6,3,5,60.0,0,0,0.0,3,5,60.0,0,0,0.0,0,5,5,0,1,0,0,0,1,2,0,6,6,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1199
GRUPO URETA TIZONA BURGOS,21,0,G. Gil Garcia,12:50,2,1,1,100.0,0,3,0.0,1,4,25.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,1,-9,0,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,770
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,17:10,7,0,4,0.0,1,3,33.3,1,7,14.3,4,4,100.0,2,3,5,0,2,1,0,0,0,3,4,3,6,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,1030
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,09:19,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,0,1,-9,2,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,559
GRUPO URETA TIZONA BURGOS,31,1,J. Brown-Ferguson,18:41,6,2,2,100.0,0,0,0.0,2,2,100.0,2,2,100.0,0,2,2,0,0,0,1,0,0,2,2,-22,9,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,1121
GRUPO URETA TIZONA BURGOS,33,0,A. Alonso Cuevas,01:29,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,-9,1,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,89
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,21:51,5,1,2,50.0,1,2,50.0,2,4,50.0,0,0,0.0,2,3,5,2,0,1,0,0,0,3,1,-15,9,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1311
GRUPO URETA TIZONA BURGOS,55,0,G. Jofresa Sarret,13:08,13,0,1,0.0,3,5,60.0,3,6,50.0,4,5,80.0,0,1,1,0,0,1,0,0,0,2,2,6,11,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,788
GRUPO URETA TIZONA BURGOS,60,0,A. Alonso Ruiz,14:35,2,1,2,50.0,0,2,0.0,1,4,25.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,1,-9,-2,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,875
SÚPER AGROPAL PALENCIA,1,1,M. Heron,12:22,0,0,2,0.0,0,2,0.0,0,4,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1,-9,-4,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,742
SÚPER AGROPAL PALENCIA,2,0,A. Wintering,20:20,14,2,4,50.0,2,4,50.0,4,8,50.0,4,6,66.7,0,3,3,2,0,2,0,0,0,2,4,14,17,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,1220
SÚPER AGROPAL PALENCIA,4,0,O. Gomez Fernandez,01:20,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,2186516,https://imagenes.feb.es/foto.aspx?c=2186516,80
SÚPER AGROPAL PALENCIA,6,0,T. Borg,23:21,26,3,3,100.0,6,8,75.0,9,11,81.8,2,2,100.0,1,0,1,1,3,0,0,0,0,2,1,21,22,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1401
SÚPER AGROPAL PALENCIA,7,0,X. Oroz Uria,14:35,2,1,1,100.0,0,1,0.0,1,2,50.0,0,0,0.0,1,1,2,3,1,2,0,0,0,0,0,-4,7,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,875
SÚPER AGROPAL PALENCIA,8,1,I. Jakovics,21:57,3,0,2,0.0,0,4,0.0,0,6,0.0,3,4,75.0,1,2,3,4,1,0,0,0,0,4,2,8,0,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,1317
SÚPER AGROPAL PALENCIA,9,1,M. Kamba,27:14,6,1,2,50.0,1,3,33.3,2,5,40.0,1,2,50.0,1,5,6,2,0,1,0,0,1,1,3,22,13,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,1634
SÚPER AGROPAL PALENCIA,13,1,J. Vrankic,18:01,15,2,5,40.0,3,7,42.9,5,12,41.7,2,3,66.7,2,6,8,1,0,0,0,0,0,4,2,11,14,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1081
SÚPER AGROPAL PALENCIA,17,1,M. Armus,21:02,8,4,10,40.0,0,0,0.0,4,10,40.0,0,1,0.0,7,4,11,0,2,0,0,1,2,3,4,13,11,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,1262
SÚPER AGROPAL PALENCIA,33,0,V. Vucetic,17:09,7,3,4,75.0,0,2,0.0,3,6,50.0,1,2,50.0,2,4,6,0,0,0,0,0,0,1,2,1,10,2217440,https://imagenes.feb.es/foto.aspx?c=2217440,1029
SÚPER AGROPAL PALENCIA,35,0,A. Muñoz Borchers,21:19,8,0,1,0.0,2,6,33.3,2,7,28.6,2,2,100.0,0,1,1,1,0,0,0,0,0,2,1,6,4,1253254,https://imagenes.feb.es/foto.aspx?c=1253254,1279
SÚPER AGROPAL PALENCIA,88,0,G. Levy,01:20,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,0,1,2,2867081,https://imagenes.feb.es/foto.aspx?c=2867081,80
