Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
INVEREADY GIPUZKOA,0,1,A. Ngom,15:17,7,1,3,33.3,0,0,0.0,1,3,33.3,5,6,83.3,1,5,6,1,1,0,0,0,1,3,3,6,10,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,917
INVEREADY GIPUZKOA,1,0,J. Tate,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,0
INVEREADY GIPUZKOA,2,1,O. Hanzlik,24:03,22,3,3,100.0,5,11,45.5,8,14,57.1,1,1,100.0,2,2,4,1,0,1,1,0,1,2,2,21,23,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,1443
INVEREADY GIPUZKOA,4,0,E. Martinez Cendon,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2303399,https://imagenes.feb.es/foto.aspx?c=2303399,0
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,10:39,4,1,1,100.0,0,0,0.0,1,1,100.0,2,2,100.0,0,0,0,2,1,0,0,0,0,1,1,5,5,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,639
INVEREADY GIPUZKOA,9,0,M. Motos Cabodevilla,14:32,3,0,0,0.0,1,4,25.0,1,4,25.0,0,2,0.0,0,1,1,0,1,0,0,0,0,1,1,-3,-2,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,872
INVEREADY GIPUZKOA,10,0,M. Ansorregui Deba,19:11,8,4,8,50.0,0,1,0.0,4,9,44.4,0,0,0.0,2,0,2,2,0,5,0,0,1,2,0,8,10,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1151
INVEREADY GIPUZKOA,11,1,G. Maiza Apecechea,20:13,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,2,2,4,5,2,0,0,0,0,2,1,11,8,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,1213
INVEREADY GIPUZKOA,12,0,J. Nicolau Aledon,24:43,18,6,8,75.0,2,2,100.0,8,10,80.0,0,0,0.0,0,3,3,3,1,0,2,0,0,2,2,10,23,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,1483
INVEREADY GIPUZKOA,13,0,T. Mcghie,21:12,4,2,4,50.0,0,5,0.0,2,9,22.2,0,0,0.0,0,2,2,1,0,0,0,0,0,3,0,3,-3,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1272
INVEREADY GIPUZKOA,22,1,G. Korsantia,20:49,8,3,4,75.0,0,1,0.0,3,5,60.0,2,2,100.0,3,6,9,3,4,1,0,0,0,0,1,8,16,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1249
INVEREADY GIPUZKOA,24,1,I. Arroyo Varela,29:21,14,1,1,100.0,4,5,80.0,5,6,83.3,0,0,0.0,1,1,2,3,1,0,0,0,0,2,3,11,18,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,1761
FLEXICAR FUENLABRADA,7,1,M. Diaz,29:09,20,4,7,57.1,3,6,50.0,7,13,53.8,3,4,75.0,0,3,3,2,3,0,0,0,0,2,5,-2,18,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1749
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,32:48,20,6,9,66.7,1,6,16.7,7,15,46.7,5,8,62.5,0,2,2,1,3,0,0,1,0,2,4,-8,11,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1968
FLEXICAR FUENLABRADA,9,0,B. Vidarte Cano,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2178977,https://imagenes.feb.es/foto.aspx?c=2178977,0
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,27:58,11,2,3,66.7,1,2,50.0,3,5,60.0,4,4,100.0,0,0,0,0,2,1,0,0,0,3,1,-18,6,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1678
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,0
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,04:15,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,-1,1,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,255
FLEXICAR FUENLABRADA,22,1,B. De Bisschop,26:19,9,4,9,44.4,0,0,0.0,4,9,44.4,1,4,25.0,3,1,4,1,2,1,0,1,0,3,3,-11,5,2703151,https://imagenes.feb.es/foto.aspx?c=2703151,1579
FLEXICAR FUENLABRADA,30,0,P. Rigot,13:42,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,2,2,1,0,0,0,0,0,0,1,-6,4,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,822
FLEXICAR FUENLABRADA,32,0,G. Renfroe,18:06,1,0,1,0.0,0,0,0.0,0,1,0.0,1,2,50.0,0,2,2,1,2,1,0,0,0,1,2,-13,2,2236015,https://imagenes.feb.es/foto.aspx?c=2236015,1086
FLEXICAR FUENLABRADA,35,0,J. Belemene-Dzabatou,23:32,5,1,3,33.3,1,1,100.0,2,4,50.0,0,0,0.0,0,2,2,1,0,2,0,1,0,1,2,-3,9,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1412
FLEXICAR FUENLABRADA,88,1,J. Kasibabu Shilala,24:11,4,2,4,50.0,0,1,0.0,2,5,40.0,0,0,0.0,4,2,6,2,1,2,0,0,0,2,0,-18,8,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,1451
