Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CAJA RURAL CB ZAMORA,2,1,T. Roberts,17:17,14,2,8,25.0,3,5,60.0,5,13,38.5,1,1,100.0,0,3,3,2,1,0,0,0,0,5,3,3,8,2813978,https://imagenes.feb.es/foto.aspx?c=2813978,1037
CAJA RURAL CB ZAMORA,3,0,C. Rogers,21:34,19,4,5,80.0,3,5,60.0,7,10,70.0,2,2,100.0,1,0,1,0,3,1,0,0,0,3,1,-9,13,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1294
CAJA RURAL CB ZAMORA,4,0,J. Round,13:25,7,0,1,0.0,2,3,66.7,2,4,50.0,1,3,33.3,1,2,3,0,2,1,0,0,0,1,3,1,7,2335424,https://imagenes.feb.es/foto.aspx?c=2335424,805
CAJA RURAL CB ZAMORA,5,1,B. Prepelic,08:08,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,1,0,1,2,0,0,0,0,0,1,0,0,0,2863857,https://imagenes.feb.es/foto.aspx?c=2863857,488
CAJA RURAL CB ZAMORA,9,0,J. Peris Crespo,19:11,7,1,5,20.0,1,6,16.7,2,11,18.2,2,2,100.0,0,0,0,3,1,1,0,1,0,3,3,6,1,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,1151
CAJA RURAL CB ZAMORA,13,1,A. Martinez Clariana,25:21,10,2,3,66.7,1,3,33.3,3,6,50.0,3,3,100.0,1,4,5,1,2,2,0,1,0,0,2,-12,15,1890908,https://imagenes.feb.es/foto.aspx?c=1890908,1521
CAJA RURAL CB ZAMORA,14,0,D. Kristensen,13:40,1,0,1,0.0,0,0,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,0,0,0,1,1,2,-1,2819218,https://imagenes.feb.es/foto.aspx?c=2819218,820
CAJA RURAL CB ZAMORA,15,0,O. Lo       ,19:59,9,3,6,50.0,0,0,0.0,3,6,50.0,3,6,50.0,4,3,7,0,0,1,0,0,0,1,5,-2,15,2432888,https://imagenes.feb.es/foto.aspx?c=2432888,1199
CAJA RURAL CB ZAMORA,17,1,T. Naspler Peraire,20:22,3,0,1,0.0,1,3,33.3,1,4,25.0,0,0,0.0,0,4,4,3,0,1,1,0,0,3,0,-17,6,1947677,https://imagenes.feb.es/foto.aspx?c=1947677,1222
CAJA RURAL CB ZAMORA,34,0,S. Thrastarson,20:56,2,0,3,0.0,0,2,0.0,0,5,0.0,2,4,50.0,1,1,2,1,3,0,0,0,0,4,2,-16,-7,2814245,https://imagenes.feb.es/foto.aspx?c=2814245,1256
CAJA RURAL CB ZAMORA,55,1,J. Paukstè,20:07,3,1,5,20.0,0,0,0.0,1,5,20.0,1,2,50.0,3,3,6,0,0,0,0,0,0,0,1,-11,5,2334629,https://imagenes.feb.es/foto.aspx?c=2334629,1207
CAJA RURAL CB ZAMORA,80,0,P. Montesdeoca Santana,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087017,https://imagenes.feb.es/foto.aspx?c=2087017,0
MOVISTAR ESTUDIANTES,1,1,A. González Pérez,14:06,2,0,3,0.0,0,0,0.0,0,3,0.0,2,2,100.0,1,2,3,0,0,0,0,0,0,3,1,3,0,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,846
MOVISTAR ESTUDIANTES,3,0,C. Barton,01:54,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,0,2451497,https://imagenes.feb.es/foto.aspx?c=2451497,114
MOVISTAR ESTUDIANTES,6,0,L. Giovannetti,19:09,10,2,4,50.0,2,3,66.7,4,7,57.1,0,0,0.0,0,4,4,0,1,1,0,0,0,4,0,8,7,2433615,https://imagenes.feb.es/foto.aspx?c=2433615,1149
MOVISTAR ESTUDIANTES,10,1,S. Garcia Calvo,27:25,9,3,5,60.0,1,5,20.0,4,10,40.0,0,0,0.0,1,3,4,4,3,1,0,0,0,0,4,15,13,1517914,https://imagenes.feb.es/foto.aspx?c=1517914,1645
MOVISTAR ESTUDIANTES,11,0,J. Granger,24:37,18,2,5,40.0,4,10,40.0,6,15,40.0,2,2,100.0,2,2,4,7,3,1,0,1,0,1,3,17,20,2734234,https://imagenes.feb.es/foto.aspx?c=2734234,1477
MOVISTAR ESTUDIANTES,14,0,A. Amon Bystrova,07:45,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,1,2,3,0,0,0,0,0,1,1,0,1,3,2284278,https://imagenes.feb.es/foto.aspx?c=2284278,465
MOVISTAR ESTUDIANTES,15,1,T. Mc Grew,27:02,12,1,1,100.0,2,5,40.0,3,6,50.0,4,4,100.0,3,3,6,1,1,0,1,0,0,3,2,3,15,2818742,https://imagenes.feb.es/foto.aspx?c=2818742,1622
MOVISTAR ESTUDIANTES,16,0,F. Diaz Martinez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166715,https://imagenes.feb.es/foto.aspx?c=2166715,0
MOVISTAR ESTUDIANTES,18,0,M. Sola Idrisu,00:36,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2161529,https://imagenes.feb.es/foto.aspx?c=2161529,36
MOVISTAR ESTUDIANTES,23,0,R. Stumbris,23:38,8,1,2,50.0,0,3,0.0,1,5,20.0,6,6,100.0,1,4,5,1,0,2,0,0,0,2,3,9,13,2739848,https://imagenes.feb.es/foto.aspx?c=2739848,1418
MOVISTAR ESTUDIANTES,29,1,P. Garino Gullotta ,30:32,14,1,2,50.0,3,5,60.0,4,7,57.1,3,3,100.0,2,8,10,0,3,1,1,0,0,3,4,2,21,2275135,https://imagenes.feb.es/foto.aspx?c=2275135,1832
MOVISTAR ESTUDIANTES,51,1,O. Silverio Grullon,23:16,11,1,3,33.3,2,3,66.7,3,6,50.0,3,3,100.0,0,2,2,1,2,0,0,0,0,4,4,-11,9,2790189,https://imagenes.feb.es/foto.aspx?c=2790189,1396
