Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MELILLA CIUDAD DEL DEPORTE,0,1,J. Godspower Johnson,27:02,9,2,2,100.0,1,4,25.0,3,6,50.0,2,4,50.0,0,1,1,2,1,1,0,0,0,2,2,3,7,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,1622
MELILLA CIUDAD DEL DEPORTE,4,1,S. Ceccardi,17:34,21,3,4,75.0,3,3,100.0,6,7,85.7,6,6,100.0,0,3,3,0,2,0,0,1,0,3,3,-7,21,2787126,https://imagenes.feb.es/foto.aspx?c=2787126,1054
MELILLA CIUDAD DEL DEPORTE,6,0,J. Bergstedt,05:45,2,1,2,50.0,0,0,0.0,1,2,50.0,0,2,0.0,0,0,0,0,0,1,0,0,1,0,1,-3,1,2865599,https://imagenes.feb.es/foto.aspx?c=2865599,345
MELILLA CIUDAD DEL DEPORTE,7,1,P. Cordoba Muro,15:31,5,1,4,25.0,1,2,50.0,2,6,33.3,0,0,0.0,0,1,1,0,1,0,0,0,0,0,1,-12,2,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,931
MELILLA CIUDAD DEL DEPORTE,9,1,I. Cruz Uceda,18:09,6,3,3,100.0,0,1,0.0,3,4,75.0,0,0,0.0,0,3,3,1,1,0,0,0,0,3,3,-14,8,1382710,https://imagenes.feb.es/foto.aspx?c=1382710,1089
MELILLA CIUDAD DEL DEPORTE,10,0,N. Hoover,25:17,9,1,1,100.0,2,5,40.0,3,6,50.0,1,2,50.0,0,1,1,0,2,0,0,0,0,3,3,5,4,2532075,https://imagenes.feb.es/foto.aspx?c=2532075,1517
MELILLA CIUDAD DEL DEPORTE,12,0,P. Krutous,06:20,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,5,1,2734873,https://imagenes.feb.es/foto.aspx?c=2734873,380
MELILLA CIUDAD DEL DEPORTE,13,0,S. Rodriguez Febles,25:01,7,2,5,40.0,1,1,100.0,3,6,50.0,0,0,0.0,2,3,5,0,2,1,1,0,0,3,2,5,8,1373532,https://imagenes.feb.es/foto.aspx?c=1373532,1501
MELILLA CIUDAD DEL DEPORTE,22,0,C. Diaz Rodriguez,21:09,9,2,3,66.7,1,2,50.0,3,5,60.0,2,2,100.0,0,3,3,3,4,0,0,0,0,3,3,-4,9,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1269
MELILLA CIUDAD DEL DEPORTE,24,1,M. Caicedo Sanchez,29:44,11,5,7,71.4,0,3,0.0,5,10,50.0,1,2,50.0,1,8,9,6,2,1,0,0,0,2,3,-11,20,2866764,https://imagenes.feb.es/foto.aspx?c=2866764,1784
MELILLA CIUDAD DEL DEPORTE,33,0,M. Stilma,05:05,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,1,-4,-1,2734242,https://imagenes.feb.es/foto.aspx?c=2734242,305
MELILLA CIUDAD DEL DEPORTE,44,0,J. Garcia Sanchez,03:23,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,-3,0,1978541,https://imagenes.feb.es/foto.aspx?c=1978541,203
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,25:00,21,7,14,50.0,1,2,50.0,8,16,50.0,4,5,80.0,2,3,5,2,2,2,0,1,0,3,5,24,21,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1500
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,13:41,3,1,1,100.0,0,1,0.0,1,2,50.0,1,2,50.0,0,3,3,0,2,0,0,0,0,1,1,-6,2,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,821
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,27:22,15,5,5,100.0,1,5,20.0,6,10,60.0,2,6,33.3,0,0,0,5,0,2,0,0,0,3,4,11,15,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1642
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,18:04,5,0,2,0.0,1,5,20.0,1,7,14.3,2,2,100.0,2,1,3,2,1,2,0,0,0,4,3,-8,4,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1084
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,09:24,3,0,1,0.0,1,2,50.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,-4,-1,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,564
ALIMERKA OVIEDO BALONCESTO,14,0,D. Shelist,17:08,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,1,1,0,0,0,0,1,0,-15,3,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1028
ALIMERKA OVIEDO BALONCESTO,24,0,C. Hermanson,05:46,2,1,3,33.3,0,2,0.0,1,5,20.0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,1,-9,-1,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,346
ALIMERKA OVIEDO BALONCESTO,35,1,F. Nwaokorie,24:27,12,3,4,75.0,2,4,50.0,5,8,62.5,0,0,0.0,1,3,4,1,1,4,0,0,1,4,2,9,15,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1467
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,22:18,8,2,2,100.0,0,0,0.0,2,2,100.0,4,5,80.0,6,4,10,1,3,1,1,0,1,2,3,21,18,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1338
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,0
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,0
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,36:50,15,0,1,0.0,5,10,50.0,5,11,45.5,0,0,0.0,0,3,3,2,1,2,0,0,0,2,1,17,14,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,2210
