Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HLA ALICANTE,0,1,J. Bone,28:11,18,2,3,66.7,4,9,44.4,6,12,50.0,2,4,50.0,0,0,0,1,1,0,0,0,0,4,3,-19,9,2868623,https://imagenes.feb.es/foto.aspx?c=2868623,1691
HLA ALICANTE,2,0,Y. Joseph,09:08,5,1,2,50.0,1,2,50.0,2,4,50.0,0,0,0.0,0,0,0,0,2,1,0,0,0,3,1,-9,0,2868750,https://imagenes.feb.es/foto.aspx?c=2868750,548
HLA ALICANTE,3,0,U. Mendicote Rubio,11:49,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,0,1,1,-13,4,1869378,https://imagenes.feb.es/foto.aspx?c=1869378,709
HLA ALICANTE,7,1,S. Hollanders,18:38,3,0,0,0.0,1,4,25.0,1,4,25.0,0,0,0.0,2,2,4,0,0,0,0,0,0,1,0,-11,3,2825760,https://imagenes.feb.es/foto.aspx?c=2825760,1118
HLA ALICANTE,8,0,J. Mwema,15:55,2,0,0,0.0,0,3,0.0,0,3,0.0,2,2,100.0,0,0,0,0,0,1,0,0,0,2,2,-19,0,2734619,https://imagenes.feb.es/foto.aspx?c=2734619,955
HLA ALICANTE,10,0,E. Polanco Tavarez,13:38,2,1,1,100.0,0,2,0.0,1,3,33.3,0,0,0.0,0,1,1,1,2,0,1,1,0,3,1,-13,-1,2863973,https://imagenes.feb.es/foto.aspx?c=2863973,818
HLA ALICANTE,12,0,B. Coulibaly,08:07,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,1,1,2,0,0,0,0,0,1,0,0,-11,2,2818653,https://imagenes.feb.es/foto.aspx?c=2818653,487
HLA ALICANTE,13,1,K. Larsen,31:53,19,2,4,50.0,2,6,33.3,4,10,40.0,9,10,90.0,2,2,4,1,1,1,1,0,0,2,9,-12,25,2433482,https://imagenes.feb.es/foto.aspx?c=2433482,1913
HLA ALICANTE,14,0,I. Tamba Villen,06:08,3,1,2,50.0,0,0,0.0,1,2,50.0,1,2,50.0,1,1,2,0,0,0,0,0,0,1,1,-2,3,1997161,https://imagenes.feb.es/foto.aspx?c=1997161,368
HLA ALICANTE,21,0,A. Jorda Rodriguez,12:37,6,0,1,0.0,2,4,50.0,2,5,40.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1,0,-7,4,1676991,https://imagenes.feb.es/foto.aspx?c=1676991,757
