Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
PALMER BASKET MALLORCA PALMA,0,0,H. Atencia Suarez,18:01,5,2,6,33.3,0,3,0.0,2,9,22.2,1,1,100.0,0,0,0,5,1,1,0,0,0,0,2,0,5,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1081
PALMER BASKET MALLORCA PALMA,5,1,P. Scrubb,25:55,20,2,5,40.0,4,9,44.4,6,14,42.9,4,4,100.0,0,2,2,11,1,2,1,0,0,3,4,3,28,2863891,https://imagenes.feb.es/foto.aspx?c=2863891,1555
PALMER BASKET MALLORCA PALMA,7,1,D. Sanadze,27:07,16,3,6,50.0,3,5,60.0,6,11,54.5,1,2,50.0,0,0,0,0,1,1,0,0,0,4,2,1,8,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1627
PALMER BASKET MALLORCA PALMA,9,0,A. Urdiain Labayen,08:34,5,1,2,50.0,1,2,50.0,2,4,50.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,4,5,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,514
PALMER BASKET MALLORCA PALMA,10,0,G. Dike Egun,05:23,2,1,1,100.0,0,0,0.0,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,1,5,1,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,323
PALMER BASKET MALLORCA PALMA,11,0,R. Vicente Simo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070535,https://imagenes.feb.es/foto.aspx?c=2070535,0
PALMER BASKET MALLORCA PALMA,12,0,J. Carralero Martin,25:01,15,2,3,66.7,1,3,33.3,3,6,50.0,8,9,88.9,1,3,4,2,1,1,0,1,0,1,6,8,22,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,1501
PALMER BASKET MALLORCA PALMA,15,0,J. Feliu Espejo,16:08,5,1,1,100.0,1,3,33.3,2,4,50.0,0,0,0.0,1,2,3,1,1,0,0,0,0,2,1,6,5,1688669,https://imagenes.feb.es/foto.aspx?c=1688669,968
PALMER BASKET MALLORCA PALMA,22,1,N. Camacho De Sá,24:15,3,1,6,16.7,0,4,0.0,1,10,10.0,1,2,50.0,1,3,4,0,0,0,0,0,0,3,2,-5,-4,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,1455
PALMER BASKET MALLORCA PALMA,23,0,J. Roberts,12:35,4,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0.0,0,2,2,0,1,0,0,0,1,0,0,0,5,2860169,https://imagenes.feb.es/foto.aspx?c=2860169,755
PALMER BASKET MALLORCA PALMA,24,1,A. Comendador Femenias,14:59,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,0,1,0,1,1,0,0,0,4,1,-5,0,1766217,https://imagenes.feb.es/foto.aspx?c=1766217,899
PALMER BASKET MALLORCA PALMA,47,1,A. Izaw Bolavie,22:02,9,3,3,100.0,0,0,0.0,3,3,100.0,3,3,100.0,0,5,5,0,2,2,2,0,2,3,2,-2,15,2812898,https://imagenes.feb.es/foto.aspx?c=2812898,1322
GRUPO ALEGA CANTABRIA,2,0,J. Powell,18:35,6,0,0,0.0,2,4,50.0,2,4,50.0,0,0,0.0,0,2,2,4,2,2,0,0,0,3,1,-4,8,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,1115
