Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MOVISTAR ESTUDIANTES,1,1,A. González Pérez,15:08,4,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0.0,2,2,4,1,0,1,1,0,0,4,1,13,8,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,908
MOVISTAR ESTUDIANTES,3,0,C. Barton,10:12,9,2,2,100.0,1,2,50.0,3,4,75.0,2,5,40.0,0,2,2,3,0,1,1,0,0,2,3,10,13,2451497,https://imagenes.feb.es/foto.aspx?c=2451497,612
MOVISTAR ESTUDIANTES,6,0,L. Giovannetti,24:18,11,2,2,100.0,2,5,40.0,4,7,57.1,1,2,50.0,2,2,4,0,1,1,0,0,0,2,1,5,10,2433615,https://imagenes.feb.es/foto.aspx?c=2433615,1458
MOVISTAR ESTUDIANTES,10,1,S. Garcia Calvo,25:07,5,0,0,0.0,0,2,0.0,0,2,0.0,5,6,83.3,1,5,6,5,3,0,0,0,0,1,2,18,11,1517914,https://imagenes.feb.es/foto.aspx?c=1517914,1507
MOVISTAR ESTUDIANTES,11,0,J. Granger,21:05,13,4,5,80.0,1,7,14.3,5,12,41.7,2,2,100.0,0,1,1,3,0,1,0,0,0,0,2,3,13,2734234,https://imagenes.feb.es/foto.aspx?c=2734234,1265
MOVISTAR ESTUDIANTES,14,0,A. Amon Bystrova,11:12,3,1,1,100.0,0,0,0.0,1,1,100.0,1,2,50.0,1,3,4,0,1,0,0,0,0,2,1,0,4,2284278,https://imagenes.feb.es/foto.aspx?c=2284278,672
MOVISTAR ESTUDIANTES,15,1,T. Mc Grew,14:58,6,3,4,75.0,0,1,0.0,3,5,60.0,0,0,0.0,1,2,3,1,0,0,0,0,0,3,1,19,6,2818742,https://imagenes.feb.es/foto.aspx?c=2818742,898
MOVISTAR ESTUDIANTES,18,0,M. Sola Idrisu,04:40,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,-1,2161529,https://imagenes.feb.es/foto.aspx?c=2161529,280
MOVISTAR ESTUDIANTES,23,0,R. Stumbris,20:55,10,1,1,100.0,2,5,40.0,3,6,50.0,2,2,100.0,0,1,1,0,0,0,1,0,0,4,1,7,6,2739848,https://imagenes.feb.es/foto.aspx?c=2739848,1255
MOVISTAR ESTUDIANTES,24,0,L. Nwogbo,13:40,8,3,5,60.0,0,0,0.0,3,5,60.0,2,2,100.0,1,2,3,1,2,1,0,0,1,4,6,11,11,2648543,https://imagenes.feb.es/foto.aspx?c=2648543,820
MOVISTAR ESTUDIANTES,29,1,P. Garino Gullotta ,18:43,9,1,1,100.0,1,4,25.0,2,5,40.0,4,4,100.0,2,2,4,4,1,2,0,0,0,0,4,19,19,2275135,https://imagenes.feb.es/foto.aspx?c=2275135,1123
MOVISTAR ESTUDIANTES,51,1,O. Silverio Grullon,20:02,12,4,7,57.1,1,4,25.0,5,11,45.5,1,3,33.3,1,0,1,2,1,4,0,1,0,1,5,15,14,2790189,https://imagenes.feb.es/foto.aspx?c=2790189,1202
FIBWI MALLORCA BASQUET PALMA ,0,0,A. Scariolo Ares,14:19,4,2,3,66.7,0,1,0.0,2,4,50.0,0,0,0.0,2,2,4,2,2,0,0,0,0,2,2,-5,6,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,859
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,15:05,7,2,3,66.7,0,0,0.0,2,3,66.7,3,4,75.0,1,2,3,0,3,2,0,1,0,3,2,3,6,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,905
FIBWI MALLORCA BASQUET PALMA ,4,0,S. Niang Beye,14:03,3,0,1,0.0,0,2,0.0,0,3,0.0,3,3,100.0,0,2,2,0,0,0,0,0,0,0,1,0,3,2319991,https://imagenes.feb.es/foto.aspx?c=2319991,843
FIBWI MALLORCA BASQUET PALMA ,6,1,J. Bocca,21:50,2,1,1,100.0,0,2,0.0,1,3,33.3,0,0,0.0,0,0,0,1,1,2,0,0,0,4,1,-23,-1,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,1310
FIBWI MALLORCA BASQUET PALMA ,13,0,O. Matulionis,22:56,13,2,6,33.3,2,7,28.6,4,13,30.8,3,3,100.0,1,1,2,0,0,0,0,1,0,3,3,-21,6,2027826,https://imagenes.feb.es/foto.aspx?c=2027826,1376
FIBWI MALLORCA BASQUET PALMA ,15,0,O. Siquier Costa,04:58,3,0,1,0.0,1,3,33.3,1,4,25.0,0,0,0.0,1,0,1,1,0,0,0,0,0,1,0,2,1,2008018,https://imagenes.feb.es/foto.aspx?c=2008018,298
FIBWI MALLORCA BASQUET PALMA ,23,1,J. Aramburu Lamy,23:26,3,0,2,0.0,0,2,0.0,0,4,0.0,3,4,75.0,2,3,5,1,1,0,0,0,0,1,2,-15,4,1509876,https://imagenes.feb.es/foto.aspx?c=1509876,1406
FIBWI MALLORCA BASQUET PALMA ,24,1,L. Capalbo,19:58,7,1,3,33.3,1,4,25.0,2,7,28.6,2,2,100.0,1,2,3,4,2,0,0,1,0,3,4,-14,8,2818075,https://imagenes.feb.es/foto.aspx?c=2818075,1198
FIBWI MALLORCA BASQUET PALMA ,30,0,J. Martinez Cabezudo,07:00,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,2,1,-1,-2,1241485,https://imagenes.feb.es/foto.aspx?c=1241485,420
FIBWI MALLORCA BASQUET PALMA ,33,1,L. Bracey,10:44,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,1,0,1,1,2,0,0,0,0,2,0,-4,-1,2583212,https://imagenes.feb.es/foto.aspx?c=2583212,644
FIBWI MALLORCA BASQUET PALMA ,44,0,B. Vazquez Arraiza,20:46,15,0,0,0.0,3,5,60.0,3,5,60.0,6,6,100.0,1,0,1,0,3,0,0,0,0,4,2,-15,9,2783882,https://imagenes.feb.es/foto.aspx?c=2783882,1246
FIBWI MALLORCA BASQUET PALMA ,99,1,P. Bombino Parada,24:55,7,2,6,33.3,0,0,0.0,2,6,33.3,3,4,75.0,0,3,3,2,2,0,1,0,0,3,5,-27,8,2819257,https://imagenes.feb.es/foto.aspx?c=2819257,1495
