Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FLEXICAR FUENLABRADA,7,1,M. Diaz,24:22,21,2,8,25.0,3,5,60.0,5,13,38.5,8,9,88.9,0,1,1,3,2,0,0,0,0,2,8,9,20,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1462
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,29:00,11,0,5,0.0,3,5,60.0,3,10,30.0,2,2,100.0,0,4,4,2,1,0,0,1,0,2,1,8,8,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1740
FLEXICAR FUENLABRADA,9,0,B. Vidarte Cano,00:22,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0,2178977,https://imagenes.feb.es/foto.aspx?c=2178977,22
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,23:48,6,2,5,40.0,0,2,0.0,2,7,28.6,2,2,100.0,1,1,2,0,1,1,0,1,0,3,3,5,3,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1428
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,0
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,0
FLEXICAR FUENLABRADA,22,1,B. De Bisschop,32:28,6,3,7,42.9,0,1,0.0,3,8,37.5,0,2,0.0,3,5,8,4,2,1,1,1,0,4,1,15,8,2703151,https://imagenes.feb.es/foto.aspx?c=2703151,1948
FLEXICAR FUENLABRADA,30,0,P. Rigot,11:24,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,0,0,0,1,1,0,0,0,1,0,-4,-1,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,684
FLEXICAR FUENLABRADA,32,0,G. Renfroe,19:22,2,1,3,33.3,0,2,0.0,1,5,20.0,0,0,0.0,1,5,6,5,0,0,0,0,0,3,1,1,7,2236015,https://imagenes.feb.es/foto.aspx?c=2236015,1162
FLEXICAR FUENLABRADA,35,1,J. Belemene-Dzabatou,26:38,9,0,1,0.0,2,3,66.7,2,4,50.0,3,4,75.0,0,4,4,1,2,2,1,0,0,1,4,-1,15,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1598
FLEXICAR FUENLABRADA,44,0,P. Ali,13:28,9,1,3,33.3,2,2,100.0,3,5,60.0,1,2,50.0,0,2,2,1,0,0,1,0,1,1,1,1,10,2446631,https://imagenes.feb.es/foto.aspx?c=2446631,808
FLEXICAR FUENLABRADA,88,0,J. Kasibabu Shilala,19:08,12,2,3,66.7,0,0,0.0,2,3,66.7,8,8,100.0,3,3,6,0,1,0,0,0,1,3,6,4,19,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,1148
HESTIA MENORCA,0,1,E. Vicedo Ayala,20:23,6,0,2,0.0,2,5,40.0,2,7,28.6,0,0,0.0,0,5,5,1,1,0,0,0,0,2,1,-6,5,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1223
HESTIA MENORCA,1,0,J. Cone,15:14,2,1,1,100.0,0,2,0.0,1,3,33.3,0,0,0.0,0,0,0,2,2,0,0,1,0,2,2,-8,0,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,914
HESTIA MENORCA,3,0,N. Galette,19:37,10,0,0,0.0,3,6,50.0,3,6,50.0,1,2,50.0,0,1,1,0,2,1,0,0,0,3,1,-1,4,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,1177
HESTIA MENORCA,8,0,F. Schott,10:26,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,2,2,1,0,0,0,0,1,3,0,-10,2,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,626
HESTIA MENORCA,10,1,F. Zurbriggen,25:08,13,2,4,50.0,2,5,40.0,4,9,44.4,3,4,75.0,0,2,2,3,1,0,0,1,0,5,5,-4,11,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1508
HESTIA MENORCA,11,0,S. Littleson,26:55,13,3,8,37.5,1,6,16.7,4,14,28.6,4,4,100.0,0,1,1,2,3,0,0,1,0,3,3,-10,3,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1615
HESTIA MENORCA,13,1,J. Lobo Martorell,21:35,12,3,5,60.0,1,3,33.3,4,8,50.0,3,3,100.0,1,1,2,1,2,0,0,0,0,3,4,0,10,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,1295
HESTIA MENORCA,15,0,P. Molins Calderon,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,0
HESTIA MENORCA,23,1,E. Wembi,22:08,8,4,4,100.0,0,0,0.0,4,4,100.0,0,0,0.0,0,2,2,1,0,1,1,0,2,2,1,1,12,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,1328
